"Respondent","Bx","By","EC"
1,0.3672241734,0.4042810563,1.88440255
2,0.6906299941,0.7151608149,2.090000017
3,0.4401967438,0.6608903024,1.931400464
4,0.7460889056,0.3526879332,2.633405815
5,0.5621117945,0.3991502257,1.263437942
6,0.7756003618,0.3604264351,1.97222365
7,0.4122975711,0.6330345785,1.558132976
8,0.6679259183,0.6162726814,2.383469031
9,0.5322508777,0.5137956457,1.62526616
10,0.4675844541,0.6517095746,2.199532453
11,0.4436850398,0.3995909948,1.491179797
12,0.3899413172,0.404960688,1.816778514
13,0.5516842003,0.6803404264,1.728088599
14,0.5813076944,0.5388423618,1.970915534
15,0.5053425959,0.3485584633,1.900253731
16,0.7661229539,0.5846503595,1.904525114
17,0.3829304655,0.3002630872,1.86754919
18,0.5055503164,0.6041604533,1.882141636
19,0.4943175927,0.556032763,2.087929026
20,0.6296981049,0.5313503038,1.580867048
21,0.6541311938,0.7917526958,1.595098795
22,0.6867182975,0.4946715993,2.465165519
23,0.5010750453,0.4938882413,1.663324332
24,0.6915234733,0.5401669014,1.904622933
25,0.6268869949,0.5642330304,1.934842075
26,0.6103919719,0.6584265773,1.739393552
27,0.684956588,0.553994459,2.019985034
28,0.6961088661,0.6497172608,1.795793275
29,0.4259490024,0.4478249804,2.071372736
30,0.6785163527,0.6301564059,2.318485339
31,0.5906782322,0.5440937421,1.728143985
32,0.6632490159,0.6527497013,2.145758349
33,0.6451839553,0.5186349118,2.184963778
34,0.6351735131,0.7158493207,1.941364456
35,0.6592646004,0.4366868076,2.089401894
36,0.3736867618,0.5111264441,1.657096494
37,0.6069092259,0.5557075801,2.437503325
38,0.7143811268,0.4842874906,1.334168847
39,0.8326858991,0.6561449773,1.904406332
40,0.4873248151,0.5915960953,2.044274066
41,0.5353783501,0.7018967054,1.840984381
42,0.2582066984,0.7233253288,1.270551175
43,0.6581089086,0.5307247008,1.827593351
44,0.6877776153,0.5193467712,1.728931499
45,0.3541567655,0.3251780686,2.015026438
46,0.6525850084,0.6336286074,2.423533428
47,0.5600749908,0.6759075956,2.0461477
48,0.5442741228,0.4598081813,2.066313999
49,0.550214755,0.5461162742,2.230606311
50,0.5933092901,0.4261713631,1.493867197
51,0.5594949252,0.6657054279,2.277328328
52,0.2838030409,0.6015723248,1.440222252
53,0.3612090881,0.6665396019,1.696706229
54,0.3808040196,0.5871926025,1.557908468
55,0.6415890992,0.6626827738,2.667694583
56,0.601213693,0.6809919402,1.931790755
57,0.7082752343,0.661221787,2.127262514
58,0.6100561406,0.3283143331,1.601783677
59,0.5881999217,0.5511306217,1.75559013
60,0.4432419643,0.65609789,1.975832523
61,0.7335383122,0.5544519075,1.718757646
62,0.6728091937,0.6000994918,1.728803782
63,0.6934272096,0.4955284316,1.650551958
64,0.5350277616,0.5214875515,1.908476189
65,0.3462378817,0.2884327843,1.386859253
66,0.6253941807,0.6066175417,1.818583083
67,0.4721940412,0.4621760101,2.041916897
68,0.5764548376,0.4719046836,2.384072747
69,0.6321542052,0.7218415016,1.943163754
70,0.4730394489,0.6314972356,2.343461071
71,0.39433657,0.6500358448,2.158059459
72,0.5707658536,0.3696820691,2.060330601
73,0.6892785862,0.5662968528,2.466533038
74,0.5854987673,0.4427446393,1.88167405
75,0.5595722308,0.4448541388,2.639253625
76,0.5254785281,0.5620036925,1.513618428
77,0.5198268785,0.5326006162,2.220921587
78,0.7023615749,0.4492853178,1.726698634
79,0.4349068242,0.4055261236,1.708271054
80,0.3696724978,0.4295795452,1.638952916
81,0.6370672739,0.5222703537,1.748139009
82,0.4215514371,0.6209821337,1.951898282
83,0.4223791307,0.431517525,1.839770875
84,0.7395196198,0.3660610245,1.973556176
85,0.6193358144,0.5462923166,1.764273169
86,0.5417089146,0.5010378115,2.194005685
87,0.4843731616,0.5778663856,1.929959681
88,0.7090421125,0.6067148928,2.174257272
89,0.5376324677,0.5637115943,2.231416646
90,0.5416666314,0.2983204288,1.441810118
91,0.3323598841,0.375075954,1.746710217
92,0.5146231147,0.5786710682,2.188498928
93,0.6382987813,0.5888453021,2.171709234
94,0.4532629728,0.5526381667,1.748108751
95,0.753878011,0.6808710639,2.262453776
96,0.4321179513,0.4838653078,1.826475709
97,0.7249213015,0.4135667544,1.504980852
98,0.5222630582,0.4045084156,1.525541475
99,0.6583848033,0.3966073003,2.04446912
100,0.6931305688,0.6462764799,2.523339808
101,0.5270725556,0.5680537984,1.775622793
102,0.7146268733,0.7180767648,1.90898806
103,0.5881597192,0.6899390081,1.675168854
104,0.6543841869,0.3916363242,2.043246778
105,0.6151251905,0.6548744951,2.467382251
106,0.4591022516,0.8121395221,2.079985842
107,0.6937113266,0.6560282524,1.934275741
108,0.4386341633,0.5596372074,2.005702487
109,0.5419092825,0.4907643024,1.865953572
110,0.7258111677,0.474445167,1.574216052
111,0.4253400438,0.5968900711,1.52436838
112,0.5613548071,0.4165086512,2.039824746
113,0.5064129996,0.5393827225,1.827779504
114,0.375465428,0.6785457796,2.03831896
115,0.4070662256,0.5126713244,1.879272685
116,0.7142378265,0.7349312771,2.161868839
117,0.4793379923,0.3677938981,1.317634335
118,0.6545228771,0.6207592568,2.08045439
119,0.6007482606,0.6615574051,2.265304197
120,0.4515868443,0.5558432314,1.957774387
121,0.2514058542,0.3399665595,1.385282646
122,0.630152616,0.5336411448,1.936199242
123,0.6688383872,0.5993273123,2.455873149
124,0.4546447895,0.4703908365,1.928579385
125,0.6787793416,0.6801853301,2.075775064
126,0.6050514883,0.4648458654,1.98463833
127,0.5984030772,0.5890303512,2.359684743
128,0.6223608353,0.6161341364,2.340301617
129,0.468629525,0.3344440804,1.812362081
130,0.444389947,0.6723661165,1.543339308
131,0.634381466,0.4677074006,1.652576407
132,0.6460291493,0.4218097323,1.987420961
133,0.3649890465,0.6819154959,2.189661712
134,0.4906251939,0.6012476949,2.223181683
135,0.5698057492,0.5680479797,1.752872342
136,0.5686901168,0.6111707928,1.935030845
137,0.5229230653,0.6959394379,1.765624141
138,0.5524265406,0.5803265129,2.140441923
139,0.5523643621,0.5988484908,1.633820556
140,0.4758930552,0.5350754784,2.076190787
141,0.8176603235,0.6345864044,1.834084666
142,0.7189433384,0.6272699072,2.219763792
143,0.6355294728,0.5325278371,1.707675957
144,0.6110018452,0.4874762087,1.609404256
145,0.391089522,0.72610903,1.603350061
146,0.6060941633,0.5688553554,2.062485239
147,0.5950428784,0.6976250871,2.400839155
148,0.6902126659,0.4852309427,2.032786509
149,0.5191799308,0.6029543922,1.880389528
150,0.5343199082,0.573418413,1.869946495
151,0.4718958233,0.4635834968,2.484431977
152,0.3473830266,0.5708030887,1.766928866
153,0.5661494569,0.5989804612,2.365418112
154,0.3555730194,0.7248327076,2.153862643
155,0.4376807456,0.690346421,1.890572765
156,0.5468584652,0.4533185027,1.573414301
157,0.525597698,0.5268967973,1.797315666
158,0.5559611005,0.6460723899,2.164741488
159,0.571606198,0.6066572557,1.925981286
160,0.637556327,0.3660972561,1.669424148
161,0.492342508,0.6509209414,1.733046437
162,0.7041229283,0.5062831597,2.231197181
163,0.6418210232,0.5951901951,2.463014445
164,0.5085724574,0.6343771888,1.651346267
165,0.6288923971,0.6503178005,1.940767267
166,0.4229426554,0.4590655482,1.706999375
167,0.5675034015,0.4271939102,1.734710947
168,0.661397785,0.4973056857,2.520229562
169,0.4313348395,0.5797304614,1.808326471
170,0.5253027658,0.6189514072,2.449444337
171,0.5335121715,0.5490225115,1.998474047
172,0.6676059562,0.6917239619,1.695362859
173,0.5775884698,0.5781005667,1.888421019
174,0.6141976611,0.4263671699,1.246929442
175,0.5601079587,0.2826844644,1.554425724
176,0.5388103828,0.6451891019,1.674107038
177,0.633701942,0.437017666,1.802931371
178,0.4481485428,0.6388770153,1.833659203
179,0.4104804298,0.5453368485,1.986996086
180,0.6541835942,0.8178097209,2.051183908
181,0.4938328973,0.444701331,1.729558597
182,0.5995143317,0.4977844264,2.50960851
183,0.6440687935,0.5734184188,1.918058165
184,0.5622258954,0.6917478435,1.913606005
185,0.5862935455,0.5532201893,1.92404267
186,0.5335681727,0.6514766026,1.545931253
187,0.6373036086,0.7559733422,1.526405696
188,0.4759458811,0.4821234979,1.911829477
189,0.543610585,0.3978585813,2.286113071
190,0.5026575833,0.3796198441,1.860626038
191,0.6144576395,0.6936627289,2.208128954
192,0.5503875949,0.6390108183,1.940284797
193,0.7135567474,0.6511428599,1.748478706
194,0.7032057553,0.6364420004,1.936089091
195,0.4549536371,0.5826987295,1.885078745
196,0.5067961896,0.6513756744,1.718690499
197,0.4313547906,0.67323131,1.85566618
198,0.8010851978,0.5118186079,1.731201984
199,0.7147077437,0.4118516006,1.684296021
200,0.6831640308,0.4929637669,1.602310577
201,0.6464926481,0.5050733951,1.724762438
202,0.4964766419,0.4641043145,2.200119196
203,0.6215298738,0.8269356168,2.573385533
204,0.4131375221,0.5263159363,1.430372945
205,0.6464231509,0.5275893185,2.22045248
206,0.5215128007,0.38087152,1.890260363
207,0.5650092604,0.5454213475,2.340158199
208,0.5676619411,0.4342558096,2.048155367
209,0.658174849,0.4373677505,2.048494886
210,0.733117986,0.7425226607,1.746442862
211,0.7409984178,0.5708043667,2.076541021
212,0.5591625767,0.4705619208,2.436804159
213,0.522289076,0.4588164471,2.237379615
214,0.6814095932,0.5588164529,1.92968294
215,0.5729179086,0.4535437381,1.673526614
216,0.5678638508,0.3502928065,1.859472265
217,0.6070647222,0.3443657945,1.757957959
218,0.5463509285,0.4960147923,1.777492393
219,0.6152714138,0.578705726,2.219872486
220,0.5647462328,0.4576326291,1.782453754
221,0.3892420262,0.3836327221,1.302076884
222,0.7314384046,0.7320549786,2.439569052
223,0.3693673354,0.4114064989,1.601197993
224,0.4804601687,0.434866296,1.573293509
225,0.6644783628,0.532316339,1.931068895
226,0.6051802284,0.6392202124,2.164419305
227,0.5402572012,0.7115087255,2.253811136
228,0.3670944582,0.4635644524,1.342916937
229,0.602248907,0.6275123501,2.180390693
230,0.4842552693,0.6272740966,1.584287453
231,0.5461699458,0.5747351686,1.428199593
232,0.6801241543,0.6167517748,1.900627003
233,0.6328066595,0.4516466047,1.804858832
234,0.6497826468,0.5972151389,2.427843363
235,0.460870338,0.3733933879,1.717418403
236,0.5415902994,0.3000389226,2.29679005
237,0.4801248549,0.6115375863,2.278184602
238,0.3279089193,0.4804190664,1.574697311
239,0.5616453094,0.4736498471,1.56478899
240,0.6787669394,0.4997446968,1.987628439
241,0.5109931471,0.6572631617,1.842579055
242,0.4961436107,0.4735710914,1.76566682
243,0.538570388,0.5948321525,1.88571049
244,0.6031347554,0.6799554319,2.130314199
245,0.5987826369,0.3199798638,1.765758988
246,0.428631101,0.3597876579,2.035870931
247,0.5840066923,0.4603662283,1.890737876
248,0.256542334,0.5982379759,1.780682219
249,0.5919901461,0.4641856544,1.38848068
250,0.7425162833,0.5815667164,1.962118077
251,0.4284201702,0.3378231955,2.008825279
