"Iteration","Bx x Bx","By x Bx","By x By","EC x Bx","EC x By","EC x EC"
1,0.9004192134,-0.01569618005,0.9273051498,0.03259743322,0.0540798496,8.244034987
2,0.9030796282,-0.04551612331,0.9620186044,0.1203871382,-0.04439381518,7.93670098
3,0.926666244,-0.02564735836,0.9612183001,0.07442079654,0.004726489009,7.838440384
4,0.9230492483,-0.007225182643,0.9372067602,0.1717245968,0.03351993563,8.101367667
5,0.9189986446,-0.05099981594,0.9579445005,0.1258106723,-0.005575673933,7.924539006
6,0.9339098668,-0.0187095797,0.9275263513,0.03782717321,-0.009167544646,7.926663304
7,0.9124930443,-0.04929057153,0.9079335164,0.05732936626,0.02897957412,8.238320801
8,0.9101723965,-0.02953170188,0.9598821945,0.1076502583,0.04845533303,8.261819664
9,0.898440948,-0.02147285254,0.9495432348,0.02615422198,0.04343409252,8.333703594
10,0.9497569126,-0.04910724516,0.9098491945,0.07559578252,0.01022490491,8.283523797
11,0.9412422715,-0.03709676314,0.920010289,0.06754954973,-0.01020003817,8.42202278
12,0.981273296,-0.03309240246,0.9374949459,0.1483927193,0.05163476676,8.416638555
13,0.9318736082,-0.01633240384,0.9236641519,0.1308700086,0.03920479539,8.694288692
14,0.9401311528,-0.04020502277,0.9314798523,0.09156270345,0.07806937853,8.645505158
15,0.9342681479,-0.05570424099,0.9272045232,0.02656436409,0.0842366134,8.285489801
16,0.9418199613,-0.03343975328,0.9341846703,0.03966438828,0.1408765003,7.922558375
17,0.9573290709,-0.02894345546,0.9589306233,0.1334666728,0.03833013112,8.243095739
18,0.9554642342,-0.05221831942,0.9306701206,0.0425114761,0.09906872074,8.136384648
19,0.9798611262,-0.03878200836,0.9525594789,0.1749820687,0.06343907277,8.105900381
20,0.9455354225,-0.04246811982,0.9467382464,0.1432804676,0.01939155279,8.315902817
21,0.9498082803,-0.02330161376,0.9286071848,0.08994680962,0.06595158784,8.310376267
22,0.9694860213,-0.04710112306,0.9502269838,0.07466590159,0.1039786174,8.000656984
23,0.9441114206,-0.02847942492,0.9696921715,0.1557077036,0.05331433304,7.981406745
24,0.9657961687,-0.02272418119,0.9711321237,0.1278550589,0.08480548965,7.833772873
25,0.9854654466,-0.04216462475,0.9705840549,0.1048633402,0.02014494243,7.564635781
26,0.9592421557,0.002619131119,0.9860247036,0.1623910753,0.1200135304,7.667169031
27,0.9473999501,0.001824462688,0.9729211489,0.1011172666,0.05886166385,8.251469127
28,0.9457934206,-0.01887820392,0.9938535063,0.1189579927,0.06332776462,7.93761409
29,0.950838958,-0.003210692927,0.9410899167,0.1395866791,0.05166128834,7.922468086
30,0.9567722562,0.005933116992,0.9641938593,0.05371224816,-0.03207100025,7.958230798
31,0.9463929057,-0.009715487645,0.9656099013,0.1161941373,0.05033393361,7.84138144
32,0.9828388328,0.004967856992,0.9704292138,0.1549555659,-0.02024488427,8.062130246
33,0.9391440125,-0.0008563042877,0.9759084845,0.1250553527,0.04843461796,7.958507269
34,0.9485971438,0.006808681488,0.920289905,0.1129709665,-6.129914585e-05,8.089216162
35,0.9429740748,-0.01054869949,0.943358153,0.1325217537,0.01105168946,7.887439686
36,0.9575505497,0.007713129641,0.9400936844,0.1535677111,-0.02079660243,8.282192029
37,0.9682144552,-0.00734596327,0.9076846822,0.1112035457,0.05044078278,8.170326389
38,0.9935231828,-0.04249736476,0.9610157364,0.06220892882,0.01294113446,7.967009244
39,0.9117118438,-0.03455224911,0.893952249,0.0355022396,0.01766283562,8.011215449
40,0.9137171881,-0.04803041166,0.9295242353,0.07193281851,0.0218659795,8.296490963
41,0.9417463484,-0.05915040706,0.9453600244,0.1176152455,0.01723716057,8.231522254
42,0.9451164779,-0.03581892285,0.9013520842,0.0218989239,0.05615863441,8.241013998
43,0.9335934753,-0.07936704887,0.9217024429,0.07627465111,0.001959698327,8.004375343
44,0.9452770168,-0.0584660495,0.9135114252,0.1204620388,-0.004411323311,8.180854026
45,0.9566803035,-0.0785480778,0.8992264253,0.08281303986,-0.01354683776,8.27960947
46,0.9286977635,-0.04884839376,0.9301045816,0.1514939121,0.01554748659,8.100229739
47,0.9190480992,-0.06476412346,0.9092036171,0.09939520511,0.07470603545,8.057143463
48,0.9029624655,-0.08913421698,0.9169932743,0.1491681737,0.05783733341,8.244903205
49,0.8949949917,-0.08973490974,0.8968253621,0.03978038666,0.07391077862,8.269230737
50,0.9140758469,-0.07012805375,0.9061061311,0.1190746665,0.1099906748,8.008919669
51,0.9262795139,-0.06815499697,0.8753096976,0.1499716206,0.02905708941,8.210895174
52,0.8945533029,-0.06050489294,0.8566437617,0.0967338261,0.0660901629,8.472223325
53,0.9160688201,-0.04794850143,0.8542995121,0.1063671906,0.003686721786,8.582791284
54,0.8903255713,-0.04793832845,0.8531408496,0.02464387367,0.03024746612,8.519150509
55,0.9031276747,-0.03069755402,0.8813345991,0.1025529494,0.0538070678,8.704302147
56,0.8995216155,-0.04116627935,0.9022242869,0.08293733076,0.08763269042,8.277539875
57,0.9072005496,-0.04607173956,0.8911702419,0.1172364695,0.04907642728,8.368419707
58,0.9027474361,-0.06185801943,0.8688814585,0.1883006855,0.007654087095,8.090194476
59,0.9257234595,-0.04696151292,0.8641584677,0.2015247703,0.06042819566,8.134767157
60,0.8878003254,-0.05009600859,0.8692662091,0.1298217958,0.01875138594,8.060764457
61,0.8744734211,-0.02473044568,0.8755946708,0.1379374548,0.04912367804,7.848633541
