"Respondent","Bx","By","EC"
1,-0.30621979,0.8135304125,2.456857997
2,0.7172639351,-1.296713115,-1.614821863
3,0.4449151352,-1.461464388,-1.831329981
4,1.232057172,-0.106005858,1.721937205
5,-0.9050227983,0.6974303698,-1.633829905
6,1.391016867,-0.3987329846,2.886310661
7,-0.3950861294,-1.408972973,1.759076114
8,1.44515139,-0.6436156002,0.1270155294
9,0.9858306516,0.961367036,1.090314954
10,0.7259017123,-1.556848959,0.4376747296
11,0.707441256,-0.3753697838,-0.03992610044
12,0.7994831002,-0.5203271497,0.613090638
13,0.8796400933,-1.218084434,2.040550844
14,1.187258145,-0.4360541001,3.132948643
15,0.3418114028,0.5797586614,0.6093648669
16,1.131197138,0.7526768227,-0.1396461241
17,0.6144135298,-0.3149984796,-2.73031236
18,0.08969843585,0.7427618309,2.467517254
19,-0.9174841698,-0.6104483715,1.860110682
20,1.129497918,0.5282190121,-2.10526506
21,1.413541093,-0.7375081806,-1.343294041
22,-0.7185142189,-0.907972402,1.226161166
23,-0.8255356231,-0.9371676973,-0.06410690512
24,1.649901666,-0.4130936605,0.3480424431
25,1.252266048,-0.3176530585,2.880272371
26,1.183272198,-1.084441199,0.5964636434
27,-0.4252219351,-0.3090444185,-3.838195629
28,0.9917071725,-1.427895414,0.9839113655
29,-0.6350712669,0.09834622203,3.078511902
30,0.5416263233,-1.524937889,0.3373171026
31,1.280261249,0.6026518036,-0.7449421508
32,0.5645886117,-1.654847051,-0.008016236179
33,0.2678090853,1.008323642,1.966006936
34,1.494538725,-0.4262085468,1.231426725
35,1.473295351,-0.4761946072,-1.588425943
36,-0.5115668241,-1.003109463,1.723686418
37,1.398335287,-0.4210180647,1.201136243
38,1.219439982,-0.8529729919,-1.950094735
39,0.7295552466,-0.6105394545,-3.432146291
40,-0.1155491541,1.131532172,-0.31571082
41,0.4706077623,-0.5092668929,-3.807079604
42,0.03611058143,-1.237948833,-0.5286079277
43,1.335682525,-1.046647821,0.4788013428
44,-0.0894879028,-0.7942516057,-2.544285021
45,0.3975429008,0.3075958323,3.948600908
46,1.240412427,-1.12707912,0.6045816204
47,-1.090478555,0.1752034338,-1.982168888
48,0.7706843597,-0.5929292664,3.948470519
49,-0.8300794126,-0.4609087624,2.343074444
50,0.4726857597,-0.3713290583,-1.113774247
51,0.6771972542,-1.51268313,1.07233379
52,-0.118535717,-1.128153897,0.7079929426
53,0.7494200929,-0.5503954587,-2.015626869
54,0.6792708726,-1.541637859,-1.313735809
55,1.331478961,-0.735229706,0.5640792377
56,0.9335240996,-1.092886901,2.974430063
57,0.2476021946,-1.560037576,1.126796732
58,-1.279653096,0.03447884413,-0.2556890509
59,1.246047002,0.4313851458,-1.495219442
60,0.4344535738,-1.562411739,0.9120599157
61,1.515923813,-0.701251572,-1.365859917
62,0.9462943469,-1.185820136,-2.022191871
63,1.366409719,0.2266035247,-1.644944266
64,-0.1723839021,-0.2392264032,-4.475675647
65,-0.1495973737,-0.1332787106,0.3138648918
66,0.6296242022,-1.395102658,-2.293214647
67,-0.9016999209,-0.1530402204,-2.156706444
68,-1.190350919,0.2187248007,-0.5740303426
69,0.7116942574,-0.6607279966,-3.748918482
