"iteration","Bx","By"
5001,0.5214122332,-0.5643608445
5002,0.5175193177,-0.5358297501
5003,0.5291012286,-0.5452293081
5004,0.5141446109,-0.493016287
5005,0.5112254213,-0.5298493456
5006,0.5235534959,-0.5349163726
5007,0.5606040599,-0.494501027
5008,0.5308433123,-0.4726607547
5009,0.533954922,-0.5078292486
5010,0.5030546031,-0.4951923229
5011,0.5336777113,-0.5399998874
5012,0.5353369485,-0.5027363436
5013,0.5304625503,-0.5171534703
5014,0.5173713892,-0.5322266654
5015,0.5313650609,-0.532822708
5016,0.5111059741,-0.5363276769
5017,0.5143406452,-0.5158156639
5018,0.5412808156,-0.5121810263
5019,0.520455313,-0.513356458
5020,0.5045954744,-0.530180508
5021,0.5130488631,-0.5272139916
5022,0.4970896886,-0.5057417951
5023,0.5005401743,-0.5240892043
5024,0.5072040087,-0.5016995052
5025,0.5339834082,-0.5327177079
5026,0.5411888866,-0.5037774422
5027,0.5222398234,-0.5325408658
5028,0.5464174658,-0.5508685648
5029,0.5221614693,-0.4992254041
5030,0.5145837923,-0.5393863705
5031,0.5215713234,-0.5246945569
5032,0.5084681433,-0.527652989
5033,0.5147183963,-0.5263613086
5034,0.5306053265,-0.5367954066
5035,0.5134735502,-0.5269063333
5036,0.539848546,-0.549951373
5037,0.5150257384,-0.5261031694
5038,0.5449701235,-0.5453849557
5039,0.5410150439,-0.4973296554
5040,0.5751905534,-0.5437628438
5041,0.5432677482,-0.51903587
5042,0.5404806621,-0.5346127064
5043,0.5355131053,-0.4873413089
5044,0.5424719944,-0.4984893489
5045,0.5576038124,-0.516674633
5046,0.5265535256,-0.517767818
5047,0.5156795538,-0.4906168079
5048,0.5096485903,-0.5028035053
5049,0.5246173043,-0.5080517368
5050,0.5310092606,-0.5259434179
5051,0.5052734001,-0.5141902381
5052,0.5001866367,-0.5379710451
5053,0.5278283743,-0.5214244067
5054,0.5263756353,-0.4581297224
5055,0.503916853,-0.5235954748
5056,0.5230535555,-0.543500006
5057,0.4999083124,-0.4968725541
5058,0.5369576323,-0.5194740469
5059,0.5006286424,-0.5299127402
5060,0.5362992058,-0.5254100788
5061,0.5415316919,-0.5357822267
5062,0.5291927711,-0.4845176072
5063,0.5412337598,-0.5226630256
5064,0.5378663168,-0.4935777177
5065,0.521776629,-0.4992549778
5066,0.5287531128,-0.5336603195
5067,0.546999824,-0.517885524
5068,0.5102221977,-0.4969146967
5069,0.522943809,-0.5162883661
5070,0.5274650485,-0.4943085824
5071,0.5260192552,-0.5375387739
5072,0.5684988594,-0.5095392603
5073,0.5121993243,-0.523486124
5074,0.5425762839,-0.5069563747
5075,0.5311672418,-0.5173401929
5076,0.5244160838,-0.4938092716
5077,0.5554698445,-0.4889751323
5078,0.5319481409,-0.5054051859
5079,0.5171194153,-0.5304432399
5080,0.5192552572,-0.5242445746
5081,0.516359589,-0.5055054578
5082,0.538735252,-0.4971208182
5083,0.5209335205,-0.4586416096
5084,0.5137647573,-0.5434458201
5085,0.5352875064,-0.4937344124
5086,0.5140812906,-0.5177820391
5087,0.518754986,-0.4868116905
5088,0.5318190739,-0.516616574
5089,0.5313074018,-0.5263122131
5090,0.5255808822,-0.4921438789
5091,0.4931857797,-0.4912303799
5092,0.5315926446,-0.5121499871
5093,0.5109027977,-0.5065547479
5094,0.5129613248,-0.4950260634
5095,0.5289816675,-0.4631715756
5096,0.5422194488,-0.5004681359
5097,0.5139838389,-0.4717668164
5098,0.5530681868,-0.4973803098
5099,0.5566691941,-0.4718573751
5100,0.5526185744,-0.4771945331
5101,0.5401963675,-0.4994038496
5102,0.5310154554,-0.4973023543
5103,0.5492247702,-0.4960465132
5104,0.5520022054,-0.4995205707
5105,0.5407399851,-0.4793968919
5106,0.5296059768,-0.4931635184
5107,0.5239019014,-0.4597038792
5108,0.5497932027,-0.4856196314
5109,0.5120189678,-0.4895892778
5110,0.5137087744,-0.5016695123
5111,0.5085163651,-0.4613518821
5112,0.5231969113,-0.4924547465
5113,0.5396681313,-0.4924476619
5114,0.5119175587,-0.479237473
5115,0.5364709504,-0.4844765103
5116,0.5404110846,-0.4896292265
5117,0.5355228077,-0.4927288846
5118,0.5528280204,-0.4968686008
5119,0.5232053201,-0.4907904728
5120,0.5466480173,-0.479948034
5121,0.5289327939,-0.4998818126
5122,0.5294724067,-0.5083664558
5123,0.5514691947,-0.537026856
5124,0.5486045775,-0.5420279716
5125,0.5619041594,-0.5272076816
5126,0.5363277774,-0.5106868301
5127,0.5267831302,-0.5224469359
5128,0.5580284363,-0.5429814035
5129,0.5829872701,-0.5184613297
5130,0.5507455269,-0.5172928542
5131,0.548368739,-0.5352663288
5132,0.5554720413,-0.5750065037
5133,0.5555972688,-0.5302027993
5134,0.5340121822,-0.5297033684
5135,0.5356063483,-0.5181824656
5136,0.5425070123,-0.554662782
5137,0.5593870216,-0.5434449254
5138,0.5363342804,-0.5271861089
5139,0.5371398591,-0.5127591442
5140,0.5508156705,-0.5149551084
5141,0.5692218025,-0.5494454208
5142,0.5931352561,-0.5238294506
5143,0.5335525075,-0.536286093
5144,0.5526295053,-0.5470957397
5145,0.5169726006,-0.5535746805
5146,0.5099122618,-0.5275358594
5147,0.5207118301,-0.5473420755
5148,0.5175592922,-0.5372895123
5149,0.5483668444,-0.5169418928
