"iteration","threshold1","threshold2"
5001,1.166393084,4.282736475
5002,1.160774983,4.266712503
5003,1.158903808,4.289255102
5004,1.158903808,4.289255102
5005,1.172523227,4.28869708
5006,1.161470251,4.288542276
5007,1.153093266,4.258297353
5008,1.149561285,4.268458835
5009,1.145879315,4.257675353
5010,1.157966369,4.235990256
5011,1.17494306,4.225896171
5012,1.154194557,4.23028089
5013,1.136632941,4.259803946
5014,1.136225308,4.247620665
5015,1.115698195,4.250739324
5016,1.115698195,4.250739324
5017,1.115698195,4.250739324
5018,1.115698195,4.250739324
5019,1.114594193,4.235767706
5020,1.114594193,4.235767706
5021,1.118207757,4.274480149
5022,1.118207757,4.274480149
5023,1.139902567,4.273057961
5024,1.156496345,4.254824111
5025,1.156496345,4.254824111
5026,1.182181491,4.256288586
5027,1.17715899,4.252801892
5028,1.17715899,4.252801892
5029,1.17715899,4.252801892
5030,1.185032292,4.243159697
5031,1.187238418,4.25408766
5032,1.187238418,4.25408766
5033,1.178640546,4.245985002
5034,1.18880483,4.263391154
5035,1.187273654,4.270952886
5036,1.187273654,4.270952886
5037,1.187273654,4.270952886
5038,1.187273654,4.270952886
5039,1.187273654,4.270952886
5040,1.17208128,4.278920841
5041,1.199489675,4.271973412
5042,1.189922655,4.271854273
5043,1.203611865,4.293079601
5044,1.210995259,4.307817368
5045,1.198193137,4.322716446
5046,1.198193137,4.322716446
5047,1.198193137,4.322716446
5048,1.198434023,4.312650387
5049,1.198434023,4.312650387
5050,1.200143223,4.334646627
5051,1.200143223,4.334646627
5052,1.200143223,4.334646627
5053,1.186842357,4.349427796
5054,1.183870125,4.323160629
5055,1.202108499,4.334796465
5056,1.187231095,4.321599286
5057,1.187231095,4.321599286
5058,1.207013592,4.340557833
5059,1.195091731,4.361801025
5060,1.186558401,4.351056992
5061,1.186558401,4.351056992
5062,1.198274243,4.352259719
5063,1.171868427,4.366564587
5064,1.207823199,4.363086458
5065,1.186159601,4.364792046
5066,1.174709186,4.325900969
5067,1.174709186,4.325900969
5068,1.174709186,4.325900969
5069,1.191152344,4.295158702
5070,1.181960823,4.317884483
5071,1.196040593,4.348340057
5072,1.196040593,4.348340057
5073,1.194301816,4.369072834
5074,1.223603012,4.347920812
