"iteration","lambda1","lambda2"
5001,0.3769492754,0.5355076065
5002,0.3713311739,0.5194836345
5003,0.3694599988,0.5420262338
5004,0.3694599988,0.5420262338
5005,0.3694599988,0.5420262338
5006,0.3584070231,0.5418714294
5007,0.3584070231,0.5418714294
5008,0.3548750422,0.5520329111
5009,0.3548750422,0.5520329111
5010,0.3548750422,0.5520329111
5011,0.3548750422,0.5520329111
5012,0.3341265399,0.5564176301
5013,0.3165649232,0.5859406858
5014,0.3161572901,0.573757405
5015,0.2956301779,0.5768760643
5016,0.2962528596,0.5629504513
5017,0.2962528596,0.5629504513
5018,0.2962528596,0.5629504513
5019,0.2951488575,0.5479788332
5020,0.2951488575,0.5479788332
5021,0.2951488575,0.5479788332
5022,0.2951488575,0.5479788332
5023,0.3168436674,0.5465566456
5024,0.3168436674,0.5465566456
5025,0.3168436674,0.5465566456
5026,0.3168436674,0.5465566456
5027,0.311821167,0.5430699509
5028,0.311821167,0.5430699509
5029,0.3300485436,0.5313878612
5030,0.3379218452,0.5217456661
5031,0.3401279709,0.5326736299
5032,0.3401279709,0.5326736299
5033,0.3315300993,0.5245709712
5034,0.3416943834,0.5419771235
5035,0.3401632068,0.5495388553
5036,0.3401632068,0.5495388553
5037,0.3363697425,0.5611241935
5038,0.3363697425,0.5611241935
5039,0.3363697425,0.5611241935
5040,0.3211773689,0.5690921489
5041,0.3211773689,0.5690921489
5042,0.3116103495,0.56897301
5043,0.3116103495,0.56897301
5044,0.3189937435,0.5837107765
5045,0.3189937435,0.5837107765
5046,0.3189937435,0.5837107765
5047,0.3189937435,0.5837107765
5048,0.3192346302,0.5736447179
5049,0.3192346302,0.5736447179
5050,0.3209438301,0.5956409574
5051,0.3209438301,0.5956409574
5052,0.326940287,0.5783692819
5053,0.3136394209,0.5931504515
5054,0.3106671884,0.5668832839
5055,0.3106671884,0.5668832839
5056,0.2957897851,0.5536861044
5057,0.2957897851,0.5536861044
5058,0.2957897851,0.5536861044
5059,0.283867924,0.5749292965
5060,0.2753345934,0.5641852634
5061,0.2753345934,0.5641852634
5062,0.287050436,0.5653879909
5063,0.287050436,0.5653879909
5064,0.287050436,0.5653879909
5065,0.287050436,0.5653879909
5066,0.287050436,0.5653879909
5067,0.287050436,0.5653879909
5068,0.287050436,0.5653879909
5069,0.3034935933,0.5346457241
5070,0.2943020732,0.557371505
5071,0.2943020732,0.557371505
5072,0.2943020732,0.557371505
5073,0.2943020732,0.557371505
5074,0.2943020732,0.557371505
5075,0.2889159661,0.5441806825
5076,0.3056502707,0.517788353
5077,0.2999318575,0.5192310654
5078,0.2878267362,0.5103742338
5079,0.2878267362,0.5103742338
5080,0.2941105826,0.5354074391
5081,0.2941105826,0.5354074391
5082,0.2941105826,0.5354074391
5083,0.288622524,0.5424935933
5084,0.2821757569,0.5307274057
5085,0.2862131484,0.5344018028
5086,0.2634062321,0.5456281809
5087,0.2708511175,0.550587125
5088,0.2708511175,0.550587125
5089,0.280375115,0.5433134865
5090,0.280375115,0.5433134865
5091,0.2658542483,0.5503683717
5092,0.269387557,0.5525208555
5093,0.2609594727,0.5464304376
5094,0.2609594727,0.5464304376
5095,0.2609594727,0.5464304376
5096,0.2775921586,0.550286624
5097,0.2801280039,0.5412841611
5098,0.2801280039,0.5412841611
5099,0.2801280039,0.5412841611
5100,0.2801280039,0.5412841611
5101,0.2893053532,0.5657998536
5102,0.2893053532,0.5657998536
5103,0.2893053532,0.5657998536
5104,0.2893053532,0.5657998536
5105,0.2893053532,0.5657998536
5106,0.2893053532,0.5657998536
5107,0.2893053532,0.5657998536
5108,0.2893053532,0.5657998536
5109,0.2893053532,0.5657998536
5110,0.3009643912,0.56290037
5111,0.3009643912,0.56290037
5112,0.3009643912,0.56290037
5113,0.3038361806,0.5652613551
5114,0.3038361806,0.5652613551
5115,0.2742889779,0.5498648902
5116,0.2742889779,0.5498648902
5117,0.2873422708,0.5484766376
5118,0.2873422708,0.5484766376
5119,0.2756489666,0.5659698481
5120,0.2979448537,0.5602474406
5121,0.3027698929,0.5661575063
5122,0.2921147294,0.5530988108
5123,0.2921147294,0.5530988108
5124,0.2842244396,0.5636496728
5125,0.2842244396,0.5636496728
5126,0.2842244396,0.5636496728
5127,0.2842244396,0.5636496728
5128,0.2787394245,0.5696719062
5129,0.2687775328,0.5580981214
5130,0.2871001165,0.5627106461
5131,0.2871001165,0.5627106461
5132,0.2904717286,0.5540641383
5133,0.2904717286,0.5540641383
5134,0.2904717286,0.5540641383
5135,0.2904717286,0.5540641383
5136,0.2904717286,0.5540641383
5137,0.3016979978,0.5688438258
5138,0.3016979978,0.5688438258
5139,0.3016979978,0.5688438258
5140,0.3097123654,0.5674400699
5141,0.3097123654,0.5674400699
5142,0.3032384423,0.5674407753
5143,0.3124570947,0.5471886857
5144,0.3057950454,0.5402564755
5145,0.3267164853,0.5483622119
5146,0.3267164853,0.5483622119
5147,0.3025338371,0.5482447349
5148,0.3025338371,0.5482447349
5149,0.304722922,0.5561813884
5150,0.2968850389,0.5333844577
5151,0.3032186855,0.5273609168
5152,0.3032186855,0.5273609168
5153,0.3032186855,0.5273609168
5154,0.3206951691,0.5365396705
5155,0.3152971341,0.5368933703
5156,0.3071023949,0.529027416
5157,0.3071023949,0.529027416
5158,0.3071023949,0.529027416
5159,0.2948508335,0.5400088389
5160,0.2948508335,0.5400088389
5161,0.3051573551,0.5358225874
5162,0.3059296915,0.5352377062
5163,0.3059296915,0.5352377062
5164,0.3059296915,0.5352377062
5165,0.3059296915,0.5352377062
5166,0.2982157086,0.5251996988
5167,0.2855957934,0.5282789861
5168,0.2857462943,0.524451698
5169,0.2857462943,0.524451698
5170,0.2857462943,0.524451698
5171,0.2857462943,0.524451698
5172,0.2872229309,0.5367729973
5173,0.3197969898,0.5373896467
5174,0.3197969898,0.5373896467
5175,0.3013741844,0.5607098896
5176,0.3013741844,0.5607098896
5177,0.3013741844,0.5607098896
5178,0.3013741844,0.5607098896
5179,0.2840236699,0.56881693
5180,0.3047012158,0.5924505728
5181,0.3047012158,0.5924505728
5182,0.2890598503,0.5785822774
5183,0.2890598503,0.5785822774
5184,0.2890598503,0.5785822774
5185,0.3041066945,0.5641625888
5186,0.3041066945,0.5641625888
5187,0.3041066945,0.5641625888
5188,0.3041066945,0.5641625888
5189,0.3070429445,0.547027937
5190,0.3125923923,0.5320863806
5191,0.3125923923,0.5320863806
5192,0.3125923923,0.5320863806
5193,0.3125923923,0.5320863806
5194,0.3074835807,0.5461414938
5195,0.3074835807,0.5461414938
5196,0.3163330306,0.5322832746
5197,0.3305885144,0.5235872984
5198,0.3305885144,0.5235872984
5199,0.3305885144,0.5235872984
5200,0.3305885144,0.5235872984
5201,0.3234215507,0.527311315
5202,0.3234215507,0.527311315
5203,0.3234215507,0.527311315
5204,0.3202384878,0.5260320342
5205,0.3202384878,0.5260320342
5206,0.3353676764,0.5417971528
5207,0.3353676764,0.5417971528
5208,0.3428307491,0.5229503827
5209,0.3428307491,0.5229503827
5210,0.3428307491,0.5229503827
5211,0.3428307491,0.5229503827
5212,0.3428307491,0.5229503827
5213,0.3380949901,0.5469447205
5214,0.337555362,0.552026268
5215,0.340868431,0.5582583664
5216,0.340868431,0.5582583664
5217,0.3438654692,0.5634682418
5218,0.3438654692,0.5634682418
5219,0.3438654692,0.5634682418
5220,0.3438654692,0.5634682418
5221,0.3438654692,0.5634682418
5222,0.3404687764,0.5477768237
5223,0.3404687764,0.5477768237
5224,0.3404687764,0.5477768237
5225,0.3346205676,0.5664322815
5226,0.339488685,0.5778900902
5227,0.339488685,0.5778900902
5228,0.339488685,0.5778900902
