"iteration","lambda1","lambda2"
5229,0.339488685,0.5778900902
5230,0.339488685,0.5778900902
5231,0.3244799668,0.5602144324
5232,0.3244799668,0.5602144324
5233,0.3419897176,0.5744939586
5234,0.3396062973,0.5850463683
5235,0.335626385,0.574858318
5236,0.3262107822,0.5628270259
5237,0.3202944364,0.5549522916
5238,0.3202944364,0.5549522916
5239,0.3202944364,0.5549522916
5240,0.3119340798,0.5303047242
5241,0.3091404513,0.5282297743
5242,0.2917736012,0.5363750325
5243,0.2917736012,0.5363750325
5244,0.291697466,0.5419760176
5245,0.291697466,0.5419760176
5246,0.291697466,0.5419760176
5247,0.291697466,0.5419760176
5248,0.291697466,0.5419760176
5249,0.2958097062,0.5531082046
5250,0.2958097062,0.5531082046
5251,0.2906394073,0.5470390989
5252,0.2922016061,0.5408165374
5253,0.2943257853,0.5515637234
5254,0.2943257853,0.5515637234
5255,0.2943257853,0.5515637234
5256,0.2943257853,0.5515637234
5257,0.2943257853,0.5515637234
5258,0.2943257853,0.5515637234
5259,0.2943257853,0.5515637234
5260,0.2912566213,0.5665550978
5261,0.2912566213,0.5665550978
5262,0.2912566213,0.5665550978
5263,0.2912566213,0.5665550978
5264,0.2939527443,0.5415143096
5265,0.3130431759,0.5414777735
5266,0.3130431759,0.5414777735
5267,0.3130431759,0.5414777735
5268,0.3130431759,0.5414777735
5269,0.3015777609,0.5455334078
5270,0.3015777609,0.5455334078
5271,0.3015777609,0.5455334078
5272,0.3015777609,0.5455334078
5273,0.3015777609,0.5455334078
5274,0.3015777609,0.5455334078
5275,0.3015777609,0.5455334078
5276,0.2963937464,0.5528793761
5277,0.2963937464,0.5528793761
5278,0.3071426829,0.526659977
5279,0.3071426829,0.526659977
5280,0.3071426829,0.526659977
5281,0.3069584312,0.5321474364
5282,0.3069584312,0.5321474364
5283,0.3069584312,0.5321474364
5284,0.3069584312,0.5321474364
5285,0.3008793963,0.5269907743
5286,0.3008793963,0.5269907743
5287,0.3016468418,0.5111174999
5288,0.3016468418,0.5111174999
5289,0.3016468418,0.5111174999
5290,0.3038086047,0.5405444311
5291,0.3038086047,0.5405444311
5292,0.3186566866,0.5374842917
5293,0.3319747084,0.5250510121
5294,0.3319747084,0.5250510121
5295,0.3319747084,0.5250510121
5296,0.3319747084,0.5250510121
5297,0.3319747084,0.5250510121
5298,0.3319747084,0.5250510121
5299,0.3456122115,0.5415963474
5300,0.3456122115,0.5415963474
5301,0.3391150643,0.5489481671
5302,0.3404602325,0.5362119
5303,0.3404602325,0.5362119
5304,0.3293465338,0.5056209382
5305,0.3479435709,0.5354251815
5306,0.3479435709,0.5354251815
5307,0.3479435709,0.5354251815
5308,0.3600789904,0.5580408221
5309,0.3540317636,0.5289169094
5310,0.3404421865,0.52689244
5311,0.330009804,0.5316826147
5312,0.330009804,0.5316826147
5313,0.3468167148,0.5323245728
5314,0.3468167148,0.5323245728
5315,0.3468167148,0.5323245728
5316,0.3521079652,0.5521844884
5317,0.3521079652,0.5521844884
5318,0.3433331204,0.5514399729
5319,0.3433331204,0.5514399729
5320,0.3231354835,0.5571131619
5321,0.3231354835,0.5571131619
5322,0.3231354835,0.5571131619
5323,0.3231354835,0.5571131619
5324,0.3421598178,0.5642499667
5325,0.3310793789,0.5833784059
5326,0.3144975995,0.5968766408
5327,0.3144975995,0.5968766408
5328,0.3144975995,0.5968766408
5329,0.3144975995,0.5968766408
5330,0.3152910647,0.6154989399
5331,0.3295591237,0.6260030733
5332,0.3260678296,0.5963727617
5333,0.3260678296,0.5963727617
5334,0.3413640733,0.5936975065
5335,0.3288623514,0.5963023677
5336,0.320734633,0.5938839728
5337,0.3230593204,0.6178917303
5338,0.3391218255,0.6042169889
5339,0.326393318,0.585620906
5340,0.326393318,0.585620906
5341,0.3287371651,0.5736319195
5342,0.3287371651,0.5736319195
5343,0.3509246874,0.5689797734
5344,0.3509246874,0.5689797734
5345,0.3509246874,0.5689797734
5346,0.3509246874,0.5689797734
5347,0.3509246874,0.5689797734
5348,0.3515501484,0.5547023933
5349,0.3455221561,0.5609263747
5350,0.3455221561,0.5609263747
5351,0.3467025552,0.5706031922
5352,0.3467025552,0.5706031922
5353,0.3467025552,0.5706031922
5354,0.3467025552,0.5706031922
5355,0.3467025552,0.5706031922
5356,0.3552616416,0.5632774735
5357,0.3431370077,0.5800768641
5358,0.3431370077,0.5800768641
5359,0.3431370077,0.5800768641
5360,0.3431370077,0.5800768641
5361,0.3431370077,0.5800768641
5362,0.3431370077,0.5800768641
5363,0.3431370077,0.5800768641
5364,0.3431370077,0.5800768641
5365,0.362976012,0.572529357
5366,0.3691143226,0.5667111906
5367,0.3576502099,0.5772878408
5368,0.3562109664,0.5767381548
5369,0.3569244844,0.554855752
5370,0.3424202497,0.557926924
5371,0.3424202497,0.557926924
5372,0.3424202497,0.557926924
5373,0.3369263103,0.5703702352
5374,0.3450805253,0.5727017658
5375,0.3450805253,0.5727017658
5376,0.3450805253,0.5727017658
5377,0.3285555613,0.5232618697
5378,0.3407060738,0.5341969621
5379,0.3407060738,0.5341969621
5380,0.3476482889,0.5516467223
5381,0.3476482889,0.5516467223
5382,0.3476482889,0.5516467223
5383,0.3384738147,0.554960733
5384,0.3384738147,0.554960733
5385,0.3198507293,0.5408899233
5386,0.3198507293,0.5408899233
5387,0.3198507293,0.5408899233
5388,0.3071820732,0.550592899
5389,0.3071820732,0.550592899
5390,0.3208260831,0.5702416579
5391,0.3356379554,0.5668404181
5392,0.3356379554,0.5668404181
5393,0.3469111246,0.5605896587
5394,0.3469111246,0.5605896587
5395,0.3469111246,0.5605896587
5396,0.335114653,0.5478444787
5397,0.335114653,0.5478444787
5398,0.335114653,0.5478444787
5399,0.3162979869,0.5170916197
5400,0.3197745261,0.5292787351
5401,0.3197745261,0.5292787351
5402,0.3311723458,0.5173158495
5403,0.3311723458,0.5173158495
5404,0.3311723458,0.5173158495
5405,0.3311723458,0.5173158495
5406,0.3311723458,0.5173158495
5407,0.317277857,0.5181523146
5408,0.3066203245,0.5345890363
5409,0.3066203245,0.5345890363
5410,0.3066203245,0.5345890363
5411,0.2958890951,0.571922614
5412,0.3110254277,0.5685325586
5413,0.3191124,0.5756486224
5414,0.3191124,0.5756486224
5415,0.3212398949,0.5726503759
5416,0.3212398949,0.5726503759
5417,0.3155927629,0.576154475
5418,0.3155927629,0.576154475
5419,0.3018509449,0.5659567887
5420,0.3018509449,0.5659567887
5421,0.3018509449,0.5659567887
5422,0.3201688219,0.5695636915
5423,0.3135191071,0.5800510717
5424,0.3135191071,0.5800510717
5425,0.3135191071,0.5800510717
5426,0.3140629553,0.5671594691
5427,0.3062844254,0.5694897747
5428,0.3062844254,0.5694897747
5429,0.3019287752,0.5773295718
5430,0.3019287752,0.5773295718
5431,0.3019287752,0.5773295718
5432,0.3019287752,0.5773295718
5433,0.3019287752,0.5773295718
5434,0.3019287752,0.5773295718
5435,0.3008978837,0.5982509459
5436,0.2945894328,0.6004903256
5437,0.3059240976,0.5888884901
5438,0.3009074022,0.5865417227
5439,0.3009074022,0.5865417227
5440,0.3009074022,0.5865417227
5441,0.2921217672,0.5650569382
5442,0.3103855995,0.5665147424
5443,0.3103855995,0.5665147424
5444,0.3103855995,0.5665147424
5445,0.3103855995,0.5665147424
5446,0.3034826131,0.5704815213
5447,0.3034826131,0.5704815213
5448,0.306885406,0.5852798782
5449,0.2947505093,0.5806279809
5450,0.3295106375,0.568536241
5451,0.3258496737,0.5604419877
5452,0.3161517939,0.5588926337
5453,0.3161517939,0.5588926337
5454,0.3161517939,0.5588926337
5455,0.3232409149,0.553799924
5456,0.318896267,0.5756556142
5457,0.318896267,0.5756556142
5458,0.318896267,0.5756556142
5459,0.318896267,0.5756556142
5460,0.318896267,0.5756556142
5461,0.318896267,0.5756556142
5462,0.3221566607,0.5593428008
5463,0.3146815721,0.5622433601
5464,0.3146815721,0.5622433601
5465,0.3375441007,0.5655170227
5466,0.3375441007,0.5655170227
5467,0.3338681549,0.5517423713
5468,0.3273444529,0.534122926
5469,0.3273444529,0.534122926
5470,0.3273444529,0.534122926
5471,0.3238982933,0.5493088467
5472,0.3099071572,0.5457300613
5473,0.3099071572,0.5457300613
5474,0.3099071572,0.5457300613
5475,0.3071604164,0.5574704757
5476,0.3071604164,0.5574704757
5477,0.3018605716,0.5551748106
5478,0.3082808877,0.5510269739
5479,0.3243562742,0.569053457
5480,0.3243562742,0.569053457
5481,0.3243562742,0.569053457
5482,0.3243562742,0.569053457
5483,0.3243562742,0.569053457
5484,0.307440439,0.5778069644
5485,0.307440439,0.5778069644
5486,0.307440439,0.5778069644
5487,0.307440439,0.5778069644
5488,0.2856524721,0.5774240887
5489,0.2856524721,0.5774240887
5490,0.2933368007,0.5832253844
5491,0.2923947383,0.5650514221
5492,0.3123466649,0.5519555903
5493,0.3102366782,0.5457622812
5494,0.3102366782,0.5457622812
5495,0.3102366782,0.5457622812
5496,0.3032613677,0.5412915389
5497,0.2979267268,0.5804096992
5498,0.3093452337,0.5770020009
5499,0.3093452337,0.5770020009
5500,0.2989956002,0.5697424721
5501,0.3131481916,0.5670307947
5502,0.3131481916,0.5670307947
5503,0.3131481916,0.5670307947
5504,0.3131481916,0.5670307947
5505,0.3131481916,0.5670307947
5506,0.3137600021,0.5607173334
5507,0.3137600021,0.5607173334
5508,0.3137600021,0.5607173334
5509,0.3137600021,0.5607173334
5510,0.3338709552,0.5616487607
5511,0.3371945416,0.5531674593
5512,0.3381148291,0.5464996177
5513,0.3095307116,0.5566566867
5514,0.3095307116,0.5566566867
5515,0.3095307116,0.5566566867
5516,0.2959990067,0.554625226
5517,0.2959990067,0.554625226
5518,0.2977370029,0.5681690727
5519,0.3017660213,0.5692818482
5520,0.2790489561,0.5533616166
5521,0.2790489561,0.5533616166
5522,0.3024993524,0.5368759063
5523,0.3024993524,0.5368759063
5524,0.3024993524,0.5368759063
5525,0.3013649494,0.5490339076
5526,0.3013649494,0.5490339076
5527,0.3013649494,0.5490339076
5528,0.3013649494,0.5490339076
5529,0.3146670061,0.5375945062
5530,0.3055070768,0.5189991328
5531,0.3055070768,0.5189991328
5532,0.3055070768,0.5189991328
5533,0.3086531495,0.5177142912
5534,0.299338223,0.5234417676
5535,0.2936082702,0.5227760928
5536,0.3197648448,0.51232141
5537,0.3197648448,0.51232141
5538,0.3197648448,0.51232141
5539,0.3197648448,0.51232141
5540,0.3197648448,0.51232141
5541,0.3197648448,0.51232141
5542,0.2983774097,0.5185814656
5543,0.2990560044,0.520714046
5544,0.3028572349,0.5340128662
5545,0.2915839796,0.5398905949
5546,0.2915839796,0.5398905949
5547,0.289686297,0.5292053646
5548,0.2916788639,0.5437366808
5549,0.2915616348,0.5277779415
5550,0.2915616348,0.5277779415
5551,0.3276074007,0.5234765768
5552,0.3334379445,0.5278520137
5553,0.3420241201,0.5037750826
5554,0.3420241201,0.5037750826
5555,0.3420241201,0.5037750826
5556,0.3420241201,0.5037750826
5557,0.3420241201,0.5037750826
5558,0.3366369098,0.5241394843
5559,0.3366369098,0.5241394843
5560,0.3311192667,0.5442123742
5561,0.3311192667,0.5442123742
5562,0.3294059827,0.5636974502
5563,0.3246998402,0.5664503055
5564,0.315887243,0.5907449488
5565,0.315887243,0.5907449488
5566,0.315887243,0.5907449488
5567,0.315887243,0.5907449488
5568,0.3192109731,0.5643978801
5569,0.3192109731,0.5643978801
5570,0.310988194,0.5632413834
5571,0.310988194,0.5632413834
5572,0.310988194,0.5632413834
5573,0.310988194,0.5632413834
5574,0.310988194,0.5632413834
5575,0.310988194,0.5632413834
5576,0.310988194,0.5632413834
5577,0.2843342669,0.5694087113
5578,0.2843342669,0.5694087113
5579,0.2843342669,0.5694087113
5580,0.2843348613,0.5746376997
5581,0.2843348613,0.5746376997
5582,0.2843348613,0.5746376997
5583,0.2843348613,0.5746376997
5584,0.2843348613,0.5746376997
5585,0.2832204765,0.5544048498
5586,0.2894643225,0.5654230082
5587,0.2894643225,0.5654230082
5588,0.2894643225,0.5654230082
5589,0.2894643225,0.5654230082
5590,0.3151136743,0.5999032733
5591,0.3101916633,0.5770952268
5592,0.3101916633,0.5770952268
5593,0.3101916633,0.5770952268
5594,0.3101916633,0.5770952268
5595,0.3101916633,0.5770952268
5596,0.3101916633,0.5770952268
5597,0.3101916633,0.5770952268
5598,0.3101916633,0.5770952268
5599,0.3101916633,0.5770952268
5600,0.2908008362,0.5999390292
5601,0.2901424015,0.6136647786
5602,0.2901424015,0.6136647786
5603,0.3031524639,0.6048888437
5604,0.2984838761,0.6101752275
5605,0.2956857559,0.5882228788
5606,0.2956857559,0.5882228788
5607,0.2956857559,0.5882228788
5608,0.2956857559,0.5882228788
5609,0.2914069324,0.5763266623
5610,0.2914069324,0.5763266623
5611,0.2914069324,0.5763266623
5612,0.2914069324,0.5763266623
5613,0.2861529658,0.5893561491
5614,0.3177670145,0.6041028414
5615,0.3217733225,0.6142132767
5616,0.3217733225,0.6142132767
5617,0.2962958188,0.6010145806
5618,0.3047509322,0.5876417286
5619,0.3072959343,0.5891575856
5620,0.3031743929,0.6086060358
5621,0.3031743929,0.6086060358
5622,0.3031743929,0.6086060358
5623,0.3031743929,0.6086060358
5624,0.3046312143,0.6189949592
5625,0.3046312143,0.6189949592
5626,0.3046312143,0.6189949592
5627,0.2949435577,0.6148933467
5628,0.2881116893,0.5956730305
5629,0.2896984881,0.5582036347
5630,0.2896984881,0.5582036347
5631,0.2896984881,0.5582036347
5632,0.2853689167,0.5620756664
5633,0.2771790297,0.571536227
5634,0.2899783573,0.5461345039
5635,0.2984379858,0.5728029201
5636,0.2984379858,0.5728029201
5637,0.2984379858,0.5728029201
5638,0.2987983544,0.586606176
5639,0.3251214794,0.5906786714
5640,0.3251214794,0.5906786714
5641,0.3277080928,0.5872133598
5642,0.3275342671,0.5723106521
5643,0.3275342671,0.5723106521
5644,0.3275342671,0.5723106521
5645,0.3275342671,0.5723106521
5646,0.3275342671,0.5723106521
5647,0.3275342671,0.5723106521
5648,0.3442069093,0.5777222659
5649,0.3442069093,0.5777222659
5650,0.3442069093,0.5777222659
5651,0.3442069093,0.5777222659
5652,0.3307759949,0.5790458432
5653,0.3373322169,0.5935159386
5654,0.3241013898,0.5740522296
5655,0.3241013898,0.5740522296
5656,0.3241013898,0.5740522296
5657,0.3178327202,0.5748361865
5658,0.3312414957,0.5897136914
5659,0.3306336237,0.5926781204
5660,0.3152842867,0.5985870825
5661,0.3152842867,0.5985870825
5662,0.3152842867,0.5985870825
5663,0.3073555342,0.5816589865
5664,0.3293398246,0.569994256
5665,0.3293398246,0.569994256
5666,0.3293398246,0.569994256
5667,0.3293398246,0.569994256
5668,0.3434945919,0.5599037169
5669,0.3434945919,0.5599037169
5670,0.3434945919,0.5599037169
5671,0.3434945919,0.5599037169
5672,0.3355746106,0.5317254972
5673,0.3623367491,0.5533072569
5674,0.3623367491,0.5533072569
5675,0.3386256789,0.5667820796
5676,0.322976029,0.5509995491
5677,0.3281602276,0.5544676924
5678,0.3281602276,0.5544676924
5679,0.3231500562,0.558693288
5680,0.3231500562,0.558693288
5681,0.3259560835,0.5487504757
5682,0.3259560835,0.5487504757
5683,0.3259560835,0.5487504757
5684,0.3448274743,0.5546070681
5685,0.3448274743,0.5546070681
5686,0.3448274743,0.5546070681
5687,0.3232738609,0.5695662183
5688,0.3232738609,0.5695662183
5689,0.3232738609,0.5695662183
5690,0.3284546235,0.5894535722
5691,0.3338391049,0.5810937762
5692,0.3338391049,0.5810937762
5693,0.3338391049,0.5810937762
5694,0.3338391049,0.5810937762
5695,0.3338391049,0.5810937762
5696,0.3338391049,0.5810937762
5697,0.3338391049,0.5810937762
5698,0.3338391049,0.5810937762
5699,0.3338391049,0.5810937762
5700,0.3338391049,0.5810937762
5701,0.3362469011,0.5714785701
5702,0.3362469011,0.5714785701
5703,0.324311434,0.5749016103
5704,0.324311434,0.5749016103
5705,0.3354819271,0.5581054862
5706,0.3295504642,0.5538889387
5707,0.3295504642,0.5538889387
5708,0.3295504642,0.5538889387
5709,0.3295504642,0.5538889387
5710,0.3256927292,0.5546152838
5711,0.3174553611,0.5541400535
5712,0.3262368876,0.554208068
5713,0.3262368876,0.554208068
5714,0.3262368876,0.554208068
5715,0.3262368876,0.554208068
5716,0.3184884006,0.5835252133
5717,0.3116825331,0.5820245837
5718,0.3116825331,0.5820245837
5719,0.3119438749,0.5666829249
5720,0.3119438749,0.5666829249
5721,0.3119438749,0.5666829249
5722,0.2931353115,0.5625294726
5723,0.2931655675,0.5450490096
5724,0.2931655675,0.5450490096
5725,0.2931655675,0.5450490096
5726,0.3045931182,0.534364176
5727,0.3045931182,0.534364176
5728,0.3045931182,0.534364176
5729,0.3045931182,0.534364176
5730,0.3045931182,0.534364176
5731,0.2943596338,0.5479368645
5732,0.2943596338,0.5479368645
5733,0.2943596338,0.5479368645
5734,0.2973526945,0.5701281148
5735,0.3166758228,0.5579070925
5736,0.3166758228,0.5579070925
5737,0.3234838183,0.5567528085
5738,0.3234838183,0.5567528085
5739,0.3234838183,0.5567528085
5740,0.3234838183,0.5567528085
5741,0.3234838183,0.5567528085
5742,0.3266740734,0.5599464972
5743,0.3271142459,0.55300526
5744,0.3186596924,0.5644657016
5745,0.3186596924,0.5644657016
5746,0.3225964816,0.5611270599
5747,0.3225964816,0.5611270599
5748,0.3296451467,0.5748842392
5749,0.3296451467,0.5748842392
5750,0.3286079721,0.5636441732
5751,0.3286079721,0.5636441732
5752,0.3056649895,0.5810020434
5753,0.3056649895,0.5810020434
5754,0.3056649895,0.5810020434
5755,0.3184156723,0.5779886822
5756,0.3184156723,0.5779886822
5757,0.3184156723,0.5779886822
5758,0.3184156723,0.5779886822
5759,0.3184156723,0.5779886822
5760,0.3145958613,0.5705565178
5761,0.3136332775,0.5621435875
5762,0.299756261,0.5752781782
5763,0.2909540727,0.569038152
5764,0.2909540727,0.569038152
5765,0.2980905072,0.5562738367
5766,0.2980905072,0.5562738367
5767,0.3184478733,0.568586056
5768,0.3184478733,0.568586056
5769,0.308499994,0.5775930183
5770,0.3182473363,0.5569623937
5771,0.3182473363,0.5569623937
5772,0.3182473363,0.5569623937
5773,0.3177448154,0.5645013732
5774,0.3162316252,0.5827975209
5775,0.3162316252,0.5827975209
5776,0.3162316252,0.5827975209
5777,0.3162316252,0.5827975209
5778,0.3162316252,0.5827975209
5779,0.3119026943,0.5781022419
5780,0.3119026943,0.5781022419
5781,0.3119026943,0.5781022419
5782,0.3119026943,0.5781022419
5783,0.3071194516,0.5894472849
5784,0.2935302044,0.5834009576
5785,0.2977598889,0.5936966
5786,0.2977598889,0.5936966
5787,0.2977598889,0.5936966
5788,0.2977598889,0.5936966
5789,0.2977598889,0.5936966
5790,0.2977598889,0.5936966
5791,0.2977598889,0.5936966
5792,0.2873072822,0.6094011173
5793,0.2758381667,0.5896671805
5794,0.2758381667,0.5896671805
5795,0.2742120143,0.5746550209
5796,0.2742120143,0.5746550209
5797,0.2867236815,0.5682017465
5798,0.2913446758,0.5721673691
5799,0.2974090009,0.5744482147
5800,0.2871464455,0.5672904983
5801,0.2871464455,0.5672904983
5802,0.2871464455,0.5672904983
5803,0.2871464455,0.5672904983
5804,0.2871464455,0.5672904983
5805,0.2871464455,0.5672904983
5806,0.310374404,0.5515326206
5807,0.3120248928,0.5700595013
5808,0.3053666377,0.5843222711
5809,0.3053666377,0.5843222711
5810,0.3053666377,0.5843222711
5811,0.3053666377,0.5843222711
5812,0.3053666377,0.5843222711
5813,0.3053666377,0.5843222711
5814,0.3069084766,0.5833817989
5815,0.3069084766,0.5833817989
5816,0.3069084766,0.5833817989
5817,0.3185051798,0.5526857955
5818,0.3185051798,0.5526857955
5819,0.3121191273,0.5505936798
5820,0.3099043829,0.5725249084
5821,0.3319879956,0.5983944779
5822,0.3319879956,0.5983944779
5823,0.3319879956,0.5983944779
5824,0.3319879956,0.5983944779
5825,0.3319879956,0.5983944779
5826,0.3319879956,0.5983944779
5827,0.3319879956,0.5983944779
5828,0.3349174429,0.6090248575
5829,0.3205792208,0.5888350874
5830,0.3193705722,0.5785391514
5831,0.3219546646,0.5880746075
