"Respondent","Bx","By"
1,0.4489837304,1.208780428
2,4.386459685,0.3943989231
3,4.131378304,0.4677785198
4,2.256602439,0.7263179809
5,3.719039439,1.22809947
6,0.4262390194,2.596680175
7,4.061672387,1.202945939
8,0.7707245782,1.44954194
9,3.3011576,0.7158813188
10,1.28696505,0.8617990214
11,3.841824896,0.4780108527
12,5.420899303,0.2685328546
13,1.653184445,0.6238671033
14,0.6610365381,0.520330423
15,4.707455043,0.3827764055
16,4.260689246,0.3813659893
17,0.5610181459,0.2315270081
18,0.4377128983,2.035281505
19,0.8366447495,1.422138362
20,0.4005535845,0.1974744133
21,4.161351666,0.7619799837
22,0.6762768204,0.852551912
23,5.617228739,0.3367024379
24,0.5010026854,0.4326175989
25,3.549201322,0.5300546511
26,1.609185689,0.5286835251
27,0.1559169107,0.195654236
28,3.693430539,0.4751728088
29,3.428198837,0.5657240112
30,1.138386125,1.385991748
31,4.994025247,0.5477213553
32,1.228886613,0.5959517877
33,0.4052515392,1.777066343
34,3.627518557,0.9696572391
35,3.852541023,0.4869271614
36,0.9303680832,0.3362581359
37,5.168976024,0.4439160985
38,3.963473438,0.5187985151
39,4.097273066,0.5133316409
40,4.200697379,0.5311555617
41,1.126353867,0.9014918674
42,3.478499338,1.1913435
43,0.3576081328,0.1304555587
44,4.234630274,0.6794990669
45,0.2084228899,1.929849051
46,0.7670758699,1.560767033
47,3.65822349,0.5401401635
48,4.315636115,0.6380053619
49,1.567591362,0.7212926109
50,1.912104607,0.7596865457
51,3.7784805,0.5734810566
52,0.5863652228,0.5907718008
53,0.2762622097,1.242550698
54,0.7689726215,0.3079441819
55,2.147568035,0.5399592238
56,1.939663077,0.5011521784
57,0.9863156102,1.445829616
58,4.599231625,0.9186441126
59,5.698862125,0.3777754381
60,0.4873078414,0.6909921915
61,4.002759643,0.316135396
62,4.309305507,0.5506855671
63,4.071947758,0.3958063232
64,1.594741604,0.5781253822
65,0.7052269969,1.606091569
66,0.5712889255,1.211384781
67,4.219867922,0.7346930883
68,0.3109815395,1.653152907
69,4.168903495,0.490558026
70,3.010645007,1.262900916
71,0.6279610113,0.4846504606
72,3.75387792,0.4898468646
73,3.199929388,1.098412842
74,3.777266997,0.5539366414
75,0.4333852139,0.9214139727
76,4.866256901,0.340188882
77,3.494856134,0.5975211648
78,4.305245103,0.7625587005
79,3.866985632,0.5153189449
80,4.189560854,0.5171373718
81,0.4581918575,0.4710410297
82,0.7571728997,1.500904399
83,4.021437443,0.7899903687
84,1.095985458,0.8653294586
85,1.122308634,1.419578159
86,3.896416601,0.5972080245
87,0.5189580108,1.870693167
88,4.496819975,0.6665247948
89,1.656802508,0.9838937438
90,0.2424062634,2.556990063
91,3.740408701,1.050259781
92,4.6371286,0.4345938149
93,0.7582424786,0.4352915276
94,4.278618061,0.4086269267
95,4.182481823,0.4777765341
96,4.225684552,0.4773965493
97,3.703191912,0.144380438
98,1.562578819,1.183557116
99,0.3665605249,2.118246495
100,4.533372038,0.5599743607
101,3.770972501,0.1573601807
102,0.3461659661,0.7959521879
103,4.298631549,0.6807542437
104,5.292017419,0.3117894582
105,1.734449413,0.719110543
106,5.086494355,0.3039903203
107,5.02774305,0.4298967009
108,1.171590852,0.5710128309
109,1.355271917,1.062079178
110,0.681826287,1.33418339
111,3.923647463,0.6413641876
112,5.489578907,0.3921191483
113,0.9003615471,2.062985442
114,0.7195775052,1.390800102
115,5.395723211,0.2957785998
116,3.717108057,1.067382896
117,4.685781087,0.4830293713
118,4.209031868,0.5224398974
119,0.4011560862,0.2753144517
120,1.192688028,0.6347506814
121,1.18268724,1.483214943
122,1.571927614,0.9008852753
123,3.734608895,0.2424992326
124,1.773057101,0.6262164629
125,3.326272249,0.4856102146
126,4.042389289,0.5939334702
127,1.783772995,0.7243736585
128,0.4264396383,1.257683139
129,3.040475698,0.815430077
130,4.340602511,0.4012947269
131,3.909584013,0.648578857
132,4.43403798,0.4331424551
133,5.725243455,0.3095663342
134,1.657487585,0.7198149658
135,1.345241951,1.403041784
136,0.3729499578,2.285304436
137,4.343273714,0.5827767287
138,3.395083535,0.5263493358
139,4.109037346,0.7156709786
140,3.723107482,0.6472879114
141,1.267558626,1.19318729
142,1.147490965,1.100508556
143,4.512501762,0.9631393553
144,0.8847612545,0.8654658617
145,0.7728994969,1.642728425
146,0.4488180418,1.811057204
147,3.41598439,0.769371872
148,4.229600157,0.4192808278
149,0.2733768907,0.1258327291
150,0.8835018755,1.364944303
151,3.709061076,0.3772114222
152,0.981299958,1.013288578
153,3.562000722,0.6916355701
154,1.843448447,0.7015279347
155,0.5571412794,1.419149002
156,4.139917516,0.5663771295
157,4.079260815,0.4340661806
158,3.585514321,0.7457730763
159,3.698841326,0.1880036132
160,4.126516068,0.3284649116
161,4.090539183,0.6732263751
162,1.412597534,1.469848992
163,3.977102377,0.5422031243
164,0.3879348479,2.466345934
165,5.511374234,0.3685122625
166,4.751841143,0.4077074386
167,2.070499311,0.669016695
168,1.557328848,0.3114185673
169,4.663998369,0.4248164315
170,0.3867048921,0.462373143
171,0.7801354939,0.3827163487
172,1.352850117,0.5799553481
173,0.2286348762,0.5222224064
174,0.550110883,1.684061959
175,3.742411187,0.4677942961
176,1.650996132,0.9627399072
177,1.185809046,1.046493884
178,4.588264925,0.3376359228
179,1.139983728,1.094825516
180,4.634784533,0.4370628957
181,3.037711754,1.011095119
182,2.881689592,0.7129700821
183,4.322544149,0.4088013154
184,0.9945205802,1.228349085
185,4.829927591,0.2970378574
186,0.6012849735,2.05322777
187,5.265695713,0.4702162778
188,1.052452321,1.589738084
189,0.5277228317,0.5272586553
190,1.290462375,0.8320615462
191,1.808461885,0.4907087663
192,4.226838686,0.5090431781
193,0.2242530788,2.8544258
194,0.2180444255,0.2354459421
195,3.325164451,0.9546416524
196,4.541998312,0.4748431239
197,0.6087444136,1.644510364
198,1.528186296,0.9395957244
199,3.658301174,0.771367571
200,4.14233786,0.4499110171
201,3.220646083,0.7184479017
202,4.486767333,0.1939050077
203,3.973875171,0.5105346156
204,4.957096356,0.732157793
205,0.7525145492,0.441839115
206,1.597237544,0.7780400518
207,5.779823551,0.3682541752
208,3.539879908,0.3610871884
209,3.959938678,0.5338006623
210,5.649653635,0.2557004022
211,5.648912906,0.4292037648
212,1.22816156,0.4171759876
213,3.500912677,0.8802224368
214,4.077441579,0.470346494
215,0.2324958214,0.2223598884
216,1.767727688,0.7142771618
217,0.3469514866,0.3767346694
218,4.374879843,0.6145224872
219,3.172667485,1.167267803
220,3.766496258,0.6505986065
221,0.5296525729,2.221590726
222,4.381622157,0.5603008119
223,0.1115532124,0.5265459923
224,3.514986615,0.7999368316
225,4.707772473,0.4107769188
226,1.737240697,1.217085384
227,4.124663167,0.3412659837
228,5.011391592,0.4227906759
229,0.3379605701,0.1265045792
230,3.547120881,1.191478877
231,1.246746624,1.245336335
232,0.6207213234,1.407875183
233,0.6360937835,0.6962340067
234,3.368476594,0.1711223234
235,0.3025012063,2.815413606
236,1.790487275,0.5735620914
237,4.355802693,0.5631077455
238,0.264366858,0.2420746823
239,1.601075421,0.3407013067
240,1.7304248,0.7476590237
241,4.421396393,0.1632217737
242,1.179539705,0.5904599533
243,1.589479616,0.8312845689
244,3.464635587,0.2940574367
245,3.12209633,0.3370336318
246,1.772801333,1.185830825
247,4.452787859,0.3308569261
248,3.495231712,0.5344024839
249,3.381232472,0.392999872
250,0.5488693816,0.3219439887
251,1.074777101,1.30918247
252,3.325886782,0.6646094482
253,1.625300161,0.753488362
254,0.3969730209,0.5502231963
255,4.323532637,0.8242630097
256,4.938264147,0.6465432992
257,0.9045112488,2.400543753
258,0.704935814,1.234227951
