"iteration","Bx","By"
5001,0.4568400585,-0.5612844506
5002,0.4747957848,-0.5880669923
5003,0.4736335303,-0.5401970221
5004,0.4783392,-0.5430542922
5005,0.4586496727,-0.5687275791
5006,0.4691976724,-0.5540515556
5007,0.4499270541,-0.5386977907
5008,0.4663559339,-0.545057065
5009,0.4535103105,-0.5321340433
5010,0.4458844962,-0.5346855089
5011,0.4650208525,-0.5307475536
5012,0.4576071155,-0.5551538371
5013,0.4468564337,-0.5205765207
5014,0.4468923299,-0.5148451399
5015,0.4385012867,-0.5335178926
5016,0.4547340338,-0.5382758993
5017,0.4686417289,-0.5394426688
5018,0.4428470153,-0.5573389935
5019,0.4532684219,-0.5570102884
5020,0.4637173614,-0.5394514533
5021,0.4923459937,-0.5736993331
5022,0.4596225645,-0.5418557206
5023,0.4736901791,-0.5397107012
5024,0.429145764,-0.5276004951
5025,0.4601205495,-0.5735902554
5026,0.4901234825,-0.5709221873
5027,0.4489554569,-0.565552433
5028,0.4392341419,-0.5715278722
5029,0.4405988358,-0.5591324504
5030,0.4252483682,-0.5415148602
5031,0.4434909537,-0.5420168135
5032,0.4464469588,-0.5613462891
5033,0.4381849354,-0.5697739991
5034,0.4387848354,-0.5699276164
5035,0.4609391502,-0.5598467566
5036,0.4306673098,-0.5907824059
5037,0.4651160585,-0.5929840692
5038,0.4551174138,-0.5732851464
5039,0.4178834208,-0.5707484939
5040,0.4280151034,-0.5782068098
5041,0.429253471,-0.5588925029
5042,0.4279384345,-0.5467951348
5043,0.4325101367,-0.5158576104
5044,0.45011956,-0.545058735
5045,0.4263604203,-0.5225472981
5046,0.4248328279,-0.5352487012
5047,0.4142825684,-0.5613898027
5048,0.4355866533,-0.5474589431
5049,0.4460198561,-0.530017556
5050,0.4190716296,-0.5352024628
5051,0.4307643317,-0.5498659111
5052,0.4216176826,-0.5517107794
5053,0.4446488696,-0.5390112565
5054,0.4206292925,-0.5418422584
5055,0.4450624833,-0.5460393888
5056,0.4456490165,-0.5496431408
5057,0.4282873624,-0.5556729252
5058,0.4853683018,-0.5174273545
5059,0.4475077026,-0.5517307185
5060,0.4827014359,-0.5312527761
5061,0.4508130033,-0.5301732327
5062,0.4410282933,-0.5355035985
5063,0.4461473335,-0.5294307069
5064,0.4710266606,-0.5299763366
5065,0.4570997514,-0.5202291842
5066,0.4571364399,-0.5243820523
5067,0.4676702353,-0.5286275752
5068,0.4373593613,-0.54396977
5069,0.432046841,-0.5199539545
5070,0.4444776723,-0.558220336
5071,0.4195189878,-0.5226795164
5072,0.4726302754,-0.508723722
5073,0.4542796479,-0.5253258856
5074,0.4599659458,-0.5197637475
5075,0.4235419008,-0.5189909339
5076,0.4295275277,-0.5313813602
5077,0.4212719879,-0.5420448303
5078,0.4371053596,-0.5258548311
5079,0.4455018566,-0.5222721093
5080,0.4109250391,-0.5189388323
5081,0.4585012703,-0.5130945575
5082,0.4716034422,-0.5156237446
5083,0.4597426033,-0.5302614331
5084,0.4402281237,-0.5025466471
5085,0.44286159,-0.4934576047
5086,0.4475998708,-0.5358538182
5087,0.4381720498,-0.5132200747
5088,0.4572113682,-0.4888701894
5089,0.4474065875,-0.4909608778
5090,0.4410086113,-0.493890807
5091,0.4615611253,-0.4814496543
5092,0.5155936675,-0.5270501995
5093,0.465467821,-0.5215927221
5094,0.4490274075,-0.50804408
5095,0.4506699352,-0.5212591774
5096,0.4740442538,-0.5386212686
5097,0.493561831,-0.547043164
5098,0.4802502855,-0.5252898682
5099,0.4781976723,-0.518972508
5100,0.4870790092,-0.5087195447
5101,0.4881615792,-0.4911273112
5102,0.4611288442,-0.5021567526
5103,0.4484314524,-0.5229767394
5104,0.4305440971,-0.4999520556
5105,0.4508616325,-0.4930346294
5106,0.4441386976,-0.4987640129
5107,0.4503343776,-0.5123624741
5108,0.4715309441,-0.4927058051
5109,0.4553934659,-0.4919597099
5110,0.4678728139,-0.5213274436
5111,0.4450061592,-0.5245050457
5112,0.4688877207,-0.5152874151
5113,0.4625215383,-0.4950786939
5114,0.4471794504,-0.5116347162
5115,0.4626755687,-0.5060107707
5116,0.4516234186,-0.509766235
5117,0.4566543156,-0.4982267445
5118,0.4493586912,-0.5101634734
5119,0.4633944622,-0.4880689438
5120,0.4873599339,-0.4950061866
5121,0.457793989,-0.4726308206
5122,0.440855334,-0.4923259967
5123,0.481219396,-0.493357383
5124,0.4671014333,-0.4889227207
5125,0.4884151192,-0.5201914718
5126,0.4577182872,-0.4985349137
5127,0.4316614201,-0.5208106949
5128,0.4309392438,-0.5196611732
5129,0.4488680632,-0.5173823288
5130,0.4522531278,-0.5237600428
5131,0.4581142846,-0.5253145507
5132,0.483983342,-0.5113311548
5133,0.4580398935,-0.5085421114
5134,0.4683909833,-0.5337724554
5135,0.4821170216,-0.5034957634
5136,0.4607265063,-0.5151737745
5137,0.4571758768,-0.5241299822
5138,0.4481623437,-0.5176859763
5139,0.4717551494,-0.5199506798
5140,0.4217411027,-0.5046579831
5141,0.4698856914,-0.4909373636
5142,0.4697186813,-0.4953724654
5143,0.4605949517,-0.4962737545
5144,0.4657432936,-0.503520483
5145,0.4715985859,-0.5112041498
5146,0.4585489503,-0.5052410179
5147,0.4544351028,-0.497995488
5148,0.4606814432,-0.5099909685
5149,0.4720741796,-0.5106579987
5150,0.4728859406,-0.5003022109
5151,0.447622002,-0.5152967303
5152,0.4771090982,-0.5116590201
5153,0.4656043135,-0.5179716414
5154,0.454733916,-0.5293777436
5155,0.46326266,-0.5112411899
5156,0.4663966667,-0.5138011322
5157,0.4752650289,-0.5299159945
5158,0.4481364635,-0.5349341573
5159,0.4759611775,-0.5390111252
5160,0.4584736547,-0.5268377771
5161,0.4734236964,-0.5280693327
5162,0.4557557727,-0.5427404518
5163,0.4549966407,-0.5445893613
5164,0.4289553743,-0.5295122726
5165,0.4676818896,-0.5226571283
5166,0.4679148528,-0.5291088437
5167,0.4552352815,-0.5142079284
5168,0.4706813313,-0.531888761
5169,0.449011167,-0.4908447507
5170,0.44937337,-0.5164850366
5171,0.4378116852,-0.5263694993
5172,0.4679550502,-0.5288028232
5173,0.4358924159,-0.5329870332
5174,0.4449518374,-0.5313879094
5175,0.4378207723,-0.5253493726
5176,0.4301648303,-0.5255817801
