"Respondent","Bx","By"
1,-0.3992953967,0.00026208812
2,1.208512745,-0.9731598192
3,1.289677113,-0.8490808938
4,0.7209878864,-0.4473433891
5,0.7776385276,-0.4421257939
6,-0.7326644493,0.7763932675
7,0.7574027111,-0.4563380927
8,-0.2488680196,0.2342260743
9,0.8101668623,-0.5961004405
10,0.3514644373,-0.1081444561
11,1.163489811,-0.8624882647
12,1.467906597,-1.232487186
13,0.6837384355,-0.3809280591
14,-0.1586796477,-0.2470195351
15,1.113820775,-0.966408863
16,1.181754315,-0.9802823768
17,-0.05067863057,-1.164655972
18,-0.7364219357,0.5948786067
19,-0.2750567293,0.4435425374
20,-0.5455678647,-0.9655461184
21,0.8390959309,-0.5098064167
22,-0.3205771468,0.1407573356
23,1.449018402,-0.9089683671
24,-0.3464828459,-0.4911696048
25,0.8757782844,-0.6070460487
26,0.5721427324,-0.526218015
27,-1.221402401,-1.275021485
28,1.081694479,-0.8713624315
29,1.066505392,-0.6980775712
30,-0.09404141774,0.2906092745
31,0.9786011695,-0.7060641003
32,0.5101566654,-0.4492253311
33,-0.6282277814,0.4341685041
34,0.7254059204,-0.2316637809
35,1.006557811,-0.8422152228
36,0.3012838092,-0.8320283668
37,1.085629994,-0.9079565828
38,0.9513124354,-0.6815910809
39,1.089558114,-0.731082613
40,0.9580262965,-0.7244352095
41,0.2342483533,-0.4271774529
42,0.6368089416,-0.4466976723
43,-0.6040375644,-1.52585072
44,0.7885530742,-0.5216517159
45,-1.094948269,0.2560560187
46,-0.4396852547,0.4968924682
47,1.136188407,-0.8053689742
48,0.9028465454,-0.5681025503
49,0.4193949397,-0.26193761
50,0.6345281493,-0.3656984842
51,0.9820908494,-0.7783351825
52,-0.3123688303,-0.3951916167
53,-0.9130685498,-0.06890258868
54,0.0435501957,-0.7605439958
55,0.8104636097,-0.5486199112
56,0.8297633137,-0.5288638614
57,-0.1109483939,0.1068080851
58,0.9632799529,-0.3958740578
59,1.35838744,-0.9247551723
60,-0.4681003115,-0.4298173671
61,1.010047731,-1.083302363
62,1.03323247,-0.7000325167
63,1.263388955,-0.9919389289
64,0.7953524731,-0.6469628003
65,-0.415468568,0.411097772
66,-0.2335976179,0.1834670945
67,0.8083010049,-0.4537910213
68,-0.8511165279,0.371808921
69,1.104969665,-0.6031567935
