"Iteration","Bx x Bx","By x Bx","By x By"
1,0.9348477361,-0.1027865704,0.9203345436
2,0.9470275643,-0.1029002163,0.8869656574
3,0.9830437544,-0.09273851365,0.9181321248
4,0.9355158605,-0.06596495123,0.8652542441
5,0.9109265563,-0.06556649864,0.9246718034
6,0.9180658247,-0.1009578389,0.9279726342
7,0.9341851168,-0.06589965114,0.9153002593
8,0.9434997193,-0.05987062397,0.8880055197
9,0.9330433379,-0.05081078359,0.8453263212
10,0.9459220776,-0.06854398924,0.8687630928
11,0.9563809328,-0.05549663567,0.9117784537
12,0.8929942186,-0.05132121955,0.9111018561
13,0.9493618105,-0.08493418654,0.8994098332
14,0.9224886808,-0.06647610574,0.8877409881
15,0.9107781935,-0.08834093558,0.9252933251
16,0.9314065013,-0.09676026784,0.8740623766
17,0.9316658823,-0.08306195852,0.8968366183
18,0.9195861392,-0.06144157236,0.8860384594
19,0.9439439325,-0.05142475764,0.8895713415
20,0.9086636545,-0.05648448435,0.8651685124
21,0.9177796492,-0.05431862287,0.8784587723
22,0.938073344,-0.06217839781,0.9058313702
23,0.9541818879,-0.06943506552,0.9083086895
24,0.9325073777,-0.07742505252,0.9366126028
25,0.953720889,-0.04130760627,0.8844161257
26,0.920820846,-0.05288973522,0.9000462734
27,0.9325043695,-0.05045091724,0.8791938786
28,0.9058207614,-0.04502737096,0.8751084744
29,0.9036923068,-0.06096347691,0.8639713066
30,0.9284549494,-0.04927775638,0.84183652
31,0.8927850393,-0.05150098264,0.8287695716
32,0.8949878513,-0.0479303696,0.8490302247
33,0.9579590379,-0.05845239187,0.8294559061
34,0.942103579,-0.0579868818,0.8792837194
35,0.9081054105,-0.06615907598,0.8370786397
36,0.8971603139,-0.08116608744,0.8522830833
37,0.9097628196,-0.1095846356,0.8612049883
38,0.941422227,-0.09424647791,0.8697071574
39,0.8956506851,-0.06154655246,0.8128780532
40,0.9176653804,-0.03451723261,0.8464224808
41,0.8674489898,-0.05237911137,0.8424248197
42,0.925906741,-0.06623808612,0.8244113187
43,0.9478878296,-0.08068662011,0.8436980768
44,0.966700949,-0.09575456009,0.8286158022
45,0.9261078078,-0.0757002386,0.7940912599
46,0.907940427,-0.07538920226,0.8381301969
47,0.8912663984,-0.06191352307,0.8234288889
48,0.8979032472,-0.07224993904,0.81879627
49,0.9000852643,-0.1077769554,0.8626257468
50,0.9049721492,-0.07827592245,0.8269852404
51,0.9254546314,-0.0684976663,0.8249398333
52,0.9199632214,-0.08663457303,0.819731153
53,0.939919097,-0.05366004318,0.8049497379
54,0.9131390225,-0.08946851915,0.8271680666
55,0.9105417935,-0.07983421747,0.7836333895
56,0.9120215323,-0.08578867952,0.7764345741
57,0.9325289393,-0.07162070882,0.7568504069
58,0.9126493653,-0.06141068624,0.7692036303
59,0.9125204396,-0.06142822357,0.7569289337
60,0.8901181717,-0.07383763284,0.7480299507
61,0.9095608478,-0.01587819713,0.7406530074
62,0.9369441832,-0.04391298325,0.7315737387
63,0.9395952779,-0.06969817346,0.7304612851
64,0.9287282875,-0.08309575185,0.7375839614
65,0.9561177755,-0.08571942144,0.7383154041
66,0.9324281182,-0.06951359847,0.7331398569
67,0.9127637125,-0.06920612688,0.7064967895
68,0.9011811914,-0.05969769859,0.6949577664
69,0.8973057207,-0.0657220147,0.725034022
70,0.9114814942,-0.05506771774,0.7184685972
71,0.9141049439,-0.05554601927,0.7761732011
72,0.9626031597,-0.06184232533,0.7890968872
73,0.8988046676,-0.0519827906,0.7686711979
74,0.8906049379,-0.06216199614,0.7502330121
75,0.8769006956,-0.04610134922,0.7843885416
76,0.8511643493,-0.04020532971,0.7263754833
77,0.8895267061,-0.08374207719,0.7644834709
78,0.8813365216,-0.05783919573,0.7988601062
79,0.8897102408,-0.07636333634,0.7872343903
80,0.8875786438,-0.05363168201,0.8139520134
81,0.8791410086,-0.04997667255,0.8042997626
82,0.8606957146,-0.05583866209,0.8178874532
83,0.8765444757,-0.05187227171,0.7895385694
84,0.8471019536,-0.03158446964,0.8079950808
85,0.8812759047,-0.04291139701,0.819467484
86,0.8878553582,-0.06643204581,0.7943822334
87,0.8999142337,-0.05527425515,0.7864305681
88,0.9256609199,-0.07211231529,0.8053559557
89,0.9131566617,-0.04965686742,0.8087798469
90,0.9321678231,-0.08665902132,0.8394373869
91,0.9014517413,-0.06960501271,0.8135431884
92,0.8929089863,-0.06921713959,0.840231936
93,0.8769458181,-0.0657724406,0.8347135958
94,0.9200820006,-0.07069033522,0.8122822606
95,0.8811453345,-0.1145783643,0.8255826033
96,0.867986024,-0.08564904956,0.8407127115
97,0.9045612381,-0.06410910742,0.7911730276
98,0.887393041,-0.1022212806,0.7947161316
99,0.8668091536,-0.07079428373,0.8076128115
100,0.8392852987,-0.07058266115,0.8108567967
101,0.8475770842,-0.0957477364,0.8237065856
102,0.8745452124,-0.07467611517,0.7781296168
103,0.8561177271,-0.06977444814,0.7953043975
104,0.8598453558,-0.07311424388,0.7898355767
105,0.8580342442,-0.08247313231,0.7979834061
106,0.9066213693,-0.086507141,0.8198916039
107,0.8882545705,-0.08649034502,0.817648337
108,0.9135197728,-0.1017042699,0.8097852299
109,0.9170303611,-0.1001193428,0.7912793891
110,0.9021673451,-0.108742229,0.7873710947
111,0.8742015428,-0.09430256677,0.7857183786
112,0.9011843048,-0.0987870679,0.7325808621
113,0.8978886394,-0.08672901675,0.7501325402
114,0.8887040497,-0.0869768386,0.7082577455
115,0.9227141533,-0.07909873985,0.6908101508
116,0.9264070311,-0.08836725009,0.7104401089
117,0.9084417178,-0.08247258824,0.7047535642
118,0.9174946161,-0.08124690788,0.7161468999
119,0.9186058481,-0.09199319269,0.6948003392
120,0.9678895596,-0.1211043596,0.7150170815
121,0.9202373509,-0.1091294478,0.6832527202
122,0.9134830908,-0.106242718,0.6963502969
123,0.9252688907,-0.1321958335,0.7278362131
124,0.9406157212,-0.1151253039,0.7053017339
125,0.9179326558,-0.1374021337,0.7548734601
126,0.8824520528,-0.1270205941,0.7341829032
127,0.9222754868,-0.1301197892,0.7589010095
128,0.9585175736,-0.120957889,0.7150104889
129,0.8808401561,-0.09609418798,0.71124641
130,0.8933415995,-0.1156322635,0.7071968585
131,0.9022601864,-0.1011614186,0.7098892685
132,0.8696336168,-0.118182262,0.7226266475
133,0.9340052926,-0.1283904493,0.7316203414
134,0.921862415,-0.110243513,0.7481923792
135,0.9355106892,-0.1038754727,0.7355828791
136,0.9353572764,-0.1189002866,0.7005437619
137,0.9640012924,-0.1307926689,0.7033707599
138,0.9645921752,-0.1101752897,0.7326366551
139,1.007215333,-0.1127327215,0.7201666938
140,1.009093828,-0.1045832112,0.7015978176
141,0.9776660805,-0.09897973039,0.7150852031
142,0.9610535745,-0.1011102224,0.7213493068
143,0.960618458,-0.1077109463,0.6951977186
144,0.9551557866,-0.08603144268,0.6975488066
145,0.9637600554,-0.08357317087,0.7258879539
146,0.9335582254,-0.08967696036,0.7419105918
147,0.9610445401,-0.07459630352,0.7304969758
148,0.9671041166,-0.07705210896,0.7206912858
149,0.9771649592,-0.06668079578,0.7114835929
150,0.9707790298,-0.03425147463,0.7191905074
151,0.9769513403,-0.04955351184,0.7368740061
152,0.9985372205,-0.06605804281,0.7059021564
153,0.9870752769,-0.05726887507,0.7083152942
154,0.9714432647,-0.06189623661,0.7273239591
155,0.9501122319,-0.06957752336,0.7479357481
156,0.9556638985,-0.03827869328,0.7088627668
157,1.001262834,-0.07850000535,0.738064498
158,1.032752423,-0.05536862812,0.7395221751
159,1.039638715,-0.07420330154,0.7350523807
160,1.006399451,-0.06575297465,0.7270490261
161,0.9988904311,-0.09057278688,0.7601750667
162,0.9966024666,-0.07786978514,0.7331563599
163,0.9571761412,-0.06526003333,0.743950136
164,0.9363724251,-0.06918598466,0.7685947412
165,0.9936924523,-0.07236461986,0.7631076338
166,1.006344025,-0.07333588214,0.78661952
167,0.9638130588,-0.1161378421,0.7765701963
168,0.9967553724,-0.09128563588,0.785360441
169,0.9581099404,-0.07624315353,0.7826611373
170,0.968015184,-0.05417623834,0.7676373572
171,0.9210081389,-0.06109968626,0.7434760992
172,0.9810327785,-0.05925293677,0.7662888746
173,1.009812845,-0.06154783104,0.7516216263
174,0.9770317157,-0.07082143853,0.7341702404
175,0.9727631741,-0.0736969132,0.7493962993
176,0.9874558515,-0.07526157744,0.7292149706
177,0.9767142217,-0.07854597768,0.7370218605
178,0.9199922054,-0.07168788116,0.7561535412
179,0.9360056126,-0.0856545965,0.7447198037
180,0.9225194951,-0.06844106767,0.7486310272
181,0.9014674797,-0.07921493657,0.7525826272
182,0.9366601052,-0.07807242812,0.7298540658
183,0.8987050066,-0.09374786944,0.7306463872
184,0.9298528385,-0.09253486433,0.7223043131
185,0.9211285065,-0.1032486622,0.7415295145
186,0.9182400167,-0.1112398318,0.7393212939
187,0.9483004252,-0.120907697,0.7329017427
188,0.9153782722,-0.1374940863,0.7366972915
189,0.9565691222,-0.1599050667,0.7732552161
190,0.9423593385,-0.1315694834,0.7287276376
191,0.9466418627,-0.1312290337,0.7456684245
192,0.9101049542,-0.1221420707,0.7132734102
193,0.9289723472,-0.128792366,0.7145766358
194,0.968661829,-0.1374797217,0.7288051379
195,0.9000266509,-0.1067795343,0.7330472139
196,0.8948824513,-0.1274008221,0.7161539664
197,0.8823857403,-0.106242533,0.6987996004
198,0.9281025569,-0.1057077681,0.6801901864
199,0.918727023,-0.1097239809,0.6739110766
200,0.8996571521,-0.1115355072,0.6846740469
201,0.9256026045,-0.1142077707,0.705702067
202,0.9138061509,-0.1081921565,0.681974819
203,0.9418824912,-0.09685021752,0.6858910065
204,0.9422962326,-0.1312976768,0.6592856363
205,0.9534042186,-0.1329727417,0.6541454881
206,0.9376497118,-0.122617521,0.6616419959
207,0.9814498596,-0.1347720201,0.645601007
208,0.978906079,-0.148009553,0.6719094454
209,0.9793023909,-0.1404457957,0.6568357313
210,0.9759917044,-0.1354343228,0.6522332901
211,0.9572869347,-0.1088124943,0.65870997
212,0.9598838761,-0.130494795,0.6604380175
213,0.9784813672,-0.1155705366,0.6555437564
214,0.9498239807,-0.1116928171,0.6480011338
215,1.022675935,-0.1357348168,0.6391128318
216,1.029124838,-0.1276386265,0.6613756701
217,1.011763608,-0.1622003504,0.6637964031
218,0.999487438,-0.1525085087,0.6692422295
219,0.9517053273,-0.1411213912,0.6712942397
220,0.9824629424,-0.1355685945,0.6419134212
221,0.9694605152,-0.1351661231,0.6805243708
222,0.9921139339,-0.1328821546,0.6510324828
223,0.9962304231,-0.1366775476,0.6436763366
224,0.9928866231,-0.1095147398,0.6474367261
225,0.9618577943,-0.1396421189,0.6335658077
226,1.003774271,-0.1346648704,0.6306374942
227,0.9890840018,-0.09328439765,0.6085251159
228,0.9707315103,-0.1282529449,0.6417559679
229,0.9317346234,-0.1160815448,0.6395754639
230,0.9642879843,-0.1245258925,0.6546801527
231,0.9813255153,-0.1275087605,0.6475481574
232,1.00079582,-0.1189202289,0.6562887661
233,0.9709339008,-0.106089616,0.6616057511
234,0.9577874391,-0.104546891,0.6754065021
