"Respondent","Bx","By"
1,0.6320856415,0.4923053072
2,0.5273404753,0.4606832557
3,0.393897609,0.5098668063
4,0.455551644,0.6406329916
5,0.7099619091,0.3431938751
6,0.5471607976,0.4974738448
7,0.4357601431,0.2714007492
8,0.5281351478,0.4643700217
9,0.2877742159,0.4729273657
10,0.6033562629,0.7318523886
11,0.4828346005,0.6513366793
12,0.3613789183,0.2738167203
13,0.64865053,0.446202858
14,0.4803249239,0.6548293601
15,0.61515802,0.4423834148
16,0.4758997445,0.4418086385
17,0.4261211519,0.4073337202
18,0.6179199753,0.6503841525
19,0.6522359579,0.4292525831
20,0.7098619198,0.4821208318
21,0.1896069862,0.3667795184
22,0.6714120585,0.4596305602
23,0.5517876895,0.3474818385
24,0.6190828259,0.5585880375
25,0.6542064911,0.292613086
26,0.551850333,0.3459747709
27,0.2912854959,0.5524999007
28,0.235667665,0.3871725575
29,0.547764721,0.4294500824
30,0.4060524982,0.551340618
31,0.6677505147,0.6242257447
32,0.5839207651,0.393888999
33,0.6907016365,0.2989969642
34,0.5055480846,0.6486454727
35,0.4364625637,0.6133864969
36,0.6373229513,0.5512547279
37,0.3849745616,0.6114660536
38,0.5211117216,0.6519630902
39,0.4653739665,0.6906172644
40,0.4506978218,0.7290643886
41,0.2327658619,0.519651558
42,0.5862303383,0.3198232418
43,0.5781328832,0.7487283189
44,0.643437191,0.508868041
45,0.1761177057,0.2195235854
46,0.3751875185,0.5263613299
47,0.6020937931,0.292696217
48,0.6422051327,0.6170044905
49,0.6610753706,0.6851497917
50,0.5253208089,0.3825250287
51,0.6491554334,0.6948956979
52,0.5314285791,0.480927288
53,0.6328808388,0.6172829589
54,0.6099339414,0.3723238465
55,0.385717443,0.2485069629
56,0.6880401819,0.5163534811
57,0.7512860235,0.6986626949
58,0.4704400221,0.3937493658
59,0.2855437166,0.5594941349
60,0.5124161657,0.6304516305
61,0.4636674585,0.298484948
62,0.6131500375,0.5575838407
63,0.2634806896,0.4811688352
64,0.6154084801,0.6551968437
65,0.4193826484,0.509575868
66,0.5639911657,0.4805022489
67,0.4935261021,0.6073137905
68,0.4147465207,0.2495252503
69,0.4216229573,0.6062256967
70,0.3277571933,0.2717766341
71,0.6412087637,0.3787395664
72,0.6716628796,0.3469185619
73,0.1461202355,0.2135628339
74,0.3295605918,0.378333673
75,0.6564016656,0.3807610049
76,0.5367237402,0.4482024352
77,0.4582573521,0.6018595959
78,0.3602354003,0.4547641275
79,0.3120830716,0.2371508998
80,0.4293768406,0.6180054762
81,0.7054286223,0.6492216762
82,0.4931300638,0.5497300752
83,0.6721721976,0.64570152
84,0.6473915233,0.6319748288
85,0.2243353201,0.5680665093
86,0.1567331085,0.1481811101
87,0.4508257402,0.397211778
88,0.5293210165,0.4994256924
89,0.5637248777,0.343398914
90,0.4057243938,0.5738627101
91,0.5243418585,0.4297797162
92,0.5862416826,0.6417175494
93,0.6151580424,0.3561065514
94,0.560649918,0.6986357662
95,0.1980586513,0.2021623168
96,0.4879534547,0.5825280618
97,0.6469557245,0.5326575081
98,0.4103382777,0.711703105
99,0.6542115151,0.5254740697
100,0.5408528185,0.6927930428
101,0.4090688753,0.2168780891
102,0.5178629305,0.4904330255
103,0.3692431439,0.4837409479
104,0.4964627834,0.4966974947
105,0.4030368751,0.6467212185
106,0.5543379167,0.3279799816
107,0.4122673907,0.6547244048
108,0.7303407253,0.684520367
109,0.4594273023,0.6176605641
110,0.6571969262,0.5285002002
111,0.5110675451,0.4001545103
112,0.405731665,0.5856264325
113,0.3542295699,0.2982772576
114,0.4942482851,0.5422696138
115,0.2816396129,0.2468732196
116,0.5167950812,0.3813808238
117,0.2416045467,0.6486751208
118,0.5883934826,0.6591265607
119,0.5454157162,0.5335576064
120,0.6537118855,0.4717106576
121,0.6478559321,0.3730621637
122,0.5475107194,0.3879165027
123,0.5443239215,0.5640022584
124,0.7033985973,0.3266642307
125,0.4160227712,0.6814551996
126,0.2701252427,0.4228791458
127,0.5573378087,0.5170053417
128,0.4117819023,0.2842439574
129,0.3088077904,0.3266842824
130,0.3049476296,0.5239315107
131,0.658681242,0.2534297248
132,0.5619824958,0.4564925832
133,0.5888633738,0.4376048656
134,0.4713808977,0.6256500372
135,0.6561275155,0.4567839436
136,0.6269036834,0.5819486025
137,0.4094350172,0.6634210476
138,0.5043671114,0.6301663231
139,0.5017375631,0.5442004359
140,0.3268235064,0.6892574816
141,0.6568218388,0.3396931673
142,0.3666417707,0.6881957566
143,0.5435590268,0.5593102273
144,0.6589719153,0.3573659624
145,0.5707192683,0.5977934183
146,0.7459987764,0.2247388651
147,0.47462431,0.5922844384
148,0.8317007565,0.631022508
149,0.6299972204,0.4357221907
150,0.7080793251,0.3557133084
151,0.6353317303,0.4540649922
152,0.44399284,0.5189200519
153,0.5540589338,0.2857708674
154,0.4226700554,0.5667521203
155,0.730839434,0.3483349531
156,0.4219677489,0.5263060343
157,0.5650545825,0.4198972844
158,0.2388313882,0.6800780615
159,0.2737391444,0.4580605552
160,0.4798304652,0.5466695021
161,0.4433244643,0.6357709701
162,0.379997224,0.5897069637
163,0.5417745425,0.6549929328
164,0.6610394261,0.2926070538
165,0.5062339891,0.6820212811
166,0.2913092541,0.4658423377
167,0.4250198682,0.2590780657
168,0.5437763866,0.6270320657
169,0.4905387361,0.6855406339
170,0.6431615346,0.6328768411
171,0.6362099117,0.473483377
172,0.4231028525,0.6885227429
173,0.5099815069,0.6177843899
174,0.6999580423,0.3398823086
175,0.3294804554,0.6109552142
176,0.6623550338,0.5256591711
177,0.5131877122,0.3629977457
178,0.5404422449,0.2820847855
179,0.5477611449,0.5479082085
180,0.4624180507,0.5463437441
181,0.380807521,0.3493569972
182,0.3102840495,0.724688594
183,0.3265333243,0.2630477233
184,0.4787983285,0.4068670578
185,0.5858485852,0.6275700606
186,0.4201499731,0.6254480869
187,0.6943636862,0.2020754615
188,0.5360106872,0.2719678499
189,0.643410805,0.5299545001
190,0.4718911884,0.6021317229
191,0.5393632416,0.3248711269
192,0.1824202255,0.2509373701
193,0.2484975635,0.5568768265
194,0.4546327895,0.4316707066
195,0.3195849492,0.6692975005
196,0.5910880428,0.3546988479
197,0.6176527623,0.6518829226
198,0.6763681669,0.5107045228
199,0.6213727691,0.1823535219
200,0.2099345005,0.1791147101
201,0.5095228091,0.2118856788
202,0.5717759977,0.3557907839
203,0.4743993416,0.4895440151
204,0.3100319119,0.6811889779
205,0.5740484072,0.6556000948
206,0.2951156047,0.3721925285
207,0.5266996406,0.5241506789
208,0.6296060304,0.5347628452
209,0.2570888451,0.4752852556
210,0.682168693,0.2953231344
211,0.3455683155,0.5775481434
212,0.453551796,0.5861762705
213,0.5273131007,0.6341875463
214,0.1703241453,0.2437862154
215,0.2838526736,0.6269625695
216,0.6490082545,0.6102381211
217,0.5112624708,0.7009064547
218,0.6424736339,0.4040572371
219,0.6745965192,0.6543601499
220,0.4473891284,0.582456812
221,0.4512513315,0.6150290001
222,0.4620945983,0.6373774049
223,0.7437009273,0.2996821686
224,0.6993241602,0.4254494475
225,0.4085529871,0.5212347703
226,0.7276162724,0.6224616045
227,0.4083966873,0.6058164214
228,0.632002014,0.4124620153
229,0.5567179197,0.6530687456
230,0.3597104655,0.5937215437
231,0.6542584473,0.6340423307
232,0.4951669231,0.6425530915
233,0.5534836179,0.460456338
234,0.6662832216,0.5084565536
235,0.43819132,0.539101297
236,0.4047238925,0.6962025155
237,0.5700511877,0.670608627
238,0.6602551398,0.5587819159
239,0.5135143434,0.6442611959
240,0.465157451,0.5532722198
241,0.707830661,0.2538147339
242,0.4376005849,0.6383042317
243,0.2533871664,0.4009441337
244,0.5402688931,0.3398285012
245,0.6103440721,0.5628884544
246,0.6258912491,0.5216050009
247,0.6541975102,0.4677966602
248,0.4864052666,0.5603252267
249,0.5763217114,0.4652275802
250,0.6755482957,0.5355157367
251,0.4814957662,0.3572155214
252,0.6273979086,0.4959830992
253,0.2205300475,0.2681499156
254,0.155397896,0.5455181162
255,0.5336513213,0.6377457419
256,0.5062215098,0.6416691691
257,0.735321554,0.3720151244
258,0.6125675412,0.4588375209
259,0.6288369245,0.498686567
260,0.6732602164,0.6522507635
261,0.6421748901,0.679361178
262,0.4464491293,0.6231435413
263,0.6520807061,0.3867441974
264,0.5175874968,0.5575829387
265,0.3013323048,0.6828051607
266,0.4542388608,0.5385892154
267,0.4505702278,0.7123188123
268,0.7202004413,0.3076153556
269,0.4672066783,0.6956968942
270,0.5385528404,0.5775494269
271,0.6329644335,0.5584547979
272,0.3979959904,0.7450020465
273,0.6555879842,0.458947541
274,0.6553269559,0.7173844959
275,0.5449820144,0.6229806078
276,0.4645822998,0.6448302904
277,0.5743758961,0.4232894898
278,0.658131319,0.6728624967
279,0.1237101271,0.1584111317
280,0.4475875833,0.5604003144
281,0.672846081,0.5172424553
282,0.6637201871,0.4277347924
283,0.4388895238,0.7169954242
284,0.2107668633,0.1674897174
285,0.4276228558,0.6280834127
286,0.6425606348,0.6023488496
287,0.4615056175,0.704408464
288,0.4714407437,0.3671303128
289,0.6183328705,0.2983965595
290,0.5049671577,0.4741004452
291,0.4935086414,0.630493021
292,0.2258974157,0.3221807763
293,0.5733934168,0.4013070382
294,0.6011713084,0.4317722296
295,0.2654618458,0.1730464107
296,0.5924624898,0.6611664129
297,0.5123302369,0.5596326479
298,0.3184374501,0.5801850949
299,0.2459319096,0.231258224
300,0.4972131951,0.664856524
301,0.217218826,0.4117771635
302,0.5509710221,0.5023566722
303,0.4144993869,0.7122365351
304,0.6722020835,0.6430345639
305,0.2123005142,0.2525909149
306,0.5832332961,0.382496423
307,0.3720462667,0.6942554096
308,0.2812110334,0.6871647638
309,0.4923406388,0.4929589637
310,0.6877045664,0.7789279713
311,0.668937948,0.4852063062
312,0.5541710743,0.5295343649
313,0.1694537242,0.3129611015
314,0.339971947,0.6582366919
315,0.329210988,0.541073409
316,0.3794927305,0.5246385769
317,0.3047969037,0.5026739391
318,0.2344766116,0.4853568826
319,0.64424714,0.4966217737
320,0.4500929423,0.6907667392
321,0.5712816745,0.3516168084
322,0.565829886,0.4942969001
323,0.6286069271,0.5777273442
324,0.6641643708,0.7177759404
325,0.6382390525,0.2988517182
326,0.3113495883,0.562982643
327,0.6666472991,0.4723235302
328,0.6464379019,0.6788980751
329,0.565215192,0.6246817224
330,0.586340871,0.4100590935
331,0.2664493821,0.7115482486
332,0.584032691,0.5626017818
333,0.5066693818,0.591402098
334,0.3154072489,0.6543318741
335,0.4128007394,0.7720850374
336,0.5670108315,0.6737776341
337,0.5558355677,0.6964670036
338,0.42837269,0.3793578298
339,0.5161530171,0.635166546
340,0.6708063433,0.3614227865
341,0.4968798999,0.5104196207
342,0.3223407138,0.61667933
343,0.6364369656,0.4545954724
344,0.5644977414,0.6074472096
345,0.5840465779,0.5911790799
346,0.2720636783,0.4411315539
347,0.3671264598,0.7283865894
348,0.6408799331,0.6838070017
349,0.3417910507,0.5306621896
350,0.5913874074,0.6555397791
351,0.4468683287,0.3968421544
352,0.4802943081,0.6562261448
353,0.6443935895,0.2184470177
354,0.6596319317,0.4429692543
355,0.5815162486,0.6769917054
356,0.6561562875,0.2893838578
357,0.5300884927,0.6767780799
358,0.6630305118,0.3072047527
359,0.4607376693,0.3671477467
360,0.5284766717,0.3765855308
361,0.6609092759,0.6686511492
362,0.2848611349,0.5678036261
363,0.5595968796,0.4917515258
364,0.4496074919,0.5032575037
