"iteration","Bx","By"
5001,0.5106732196,-0.5255664625
5002,0.5070864273,-0.502366265
5003,0.5141079187,-0.5151418324
5004,0.4984887443,-0.4712009641
5005,0.4957394562,-0.5095571832
5006,0.5033731482,-0.5152317914
5007,0.5315120023,-0.4863717213
5008,0.5055065524,-0.4648457417
5009,0.5055255414,-0.4890436672
5010,0.4782197394,-0.4742775058
5011,0.50214565,-0.5173045847
5012,0.5075639359,-0.4749961351
5013,0.5031050389,-0.4890721349
5014,0.4873042967,-0.4936616828
5015,0.4947422889,-0.492545764
5016,0.4794738229,-0.4984614929
5017,0.486799363,-0.4851688462
5018,0.5141572698,-0.4826072796
5019,0.5001855961,-0.4794147232
5020,0.4931760287,-0.4900062931
5021,0.5029231553,-0.4874549901
5022,0.4860261953,-0.4691989695
5023,0.4747537113,-0.481682974
5024,0.4728338127,-0.4662809428
5025,0.5017634308,-0.4883842458
5026,0.5040357256,-0.468618931
5027,0.4752784617,-0.4900368575
5028,0.5029849358,-0.5118314905
5029,0.4808429868,-0.4646537225
5030,0.473377142,-0.4979171159
5031,0.4814346105,-0.4924980836
5032,0.4622841135,-0.4893709285
5033,0.4713726565,-0.493894618
5034,0.4858014668,-0.5070991518
5035,0.4703165341,-0.4961525331
5036,0.4961660838,-0.5147189421
5037,0.4685910247,-0.4936001649
5038,0.4939015024,-0.511528078
5039,0.4869480589,-0.4718838694
5040,0.5240748939,-0.5053318937
5041,0.4947696119,-0.4921555792
5042,0.494199756,-0.5080434362
5043,0.4857076654,-0.470913755
5044,0.4924251546,-0.4822796956
5045,0.5106040354,-0.5009209094
5046,0.4828255095,-0.5090454667
5047,0.4832696809,-0.4842898824
5048,0.4783086835,-0.4931004491
5049,0.4913144566,-0.4923130178
5050,0.4992751335,-0.5096431695
5051,0.4765842029,-0.5006263056
5052,0.461915283,-0.524422137
5053,0.4867860744,-0.5029593089
5054,0.483686029,-0.4530625838
5055,0.4647915755,-0.5160243293
5056,0.489680032,-0.5349117187
5057,0.4756357092,-0.4881064725
5058,0.5091723752,-0.5008769574
5059,0.4733745161,-0.5038200747
5060,0.5046550285,-0.5096620465
5061,0.5095175861,-0.5172258043
5062,0.499679356,-0.4695078198
5063,0.5131808946,-0.5107570354
5064,0.5066183477,-0.4771864516
5065,0.4904517206,-0.4801932215
5066,0.4936116016,-0.503768049
5067,0.5150426663,-0.487186121
5068,0.4772969968,-0.4745243081
5069,0.4891577772,-0.4939505881
