"Iteration","Bx x Bx","By x Bx","By x By"
1,0.9768554916,-0.02132379971,0.9928706976
2,0.9797488128,-0.01113285063,0.9550671365
3,1.023514236,-0.01047252653,1.012807839
4,1.01068417,0.003479939627,0.9823035038
5,0.999306196,-0.01076564954,0.9517487156
6,0.9763670623,-0.03061761414,1.000317878
7,0.986780549,-0.01995846838,0.9609050892
8,0.9887493277,-0.0300428381,0.9950692843
9,0.9925352746,0.009026657273,0.9510768449
10,0.9835872109,0.005528718973,0.9590430731
11,0.9881998778,-0.01907131115,0.9534852263
12,1.007968538,0.01942836633,0.9655123425
13,0.9910980683,0.03240945246,0.9402564963
14,0.9838082043,0.03369676421,0.9271701192
15,0.9906719686,0.04012630151,0.9241381288
16,0.9391993809,-0.0007211377155,0.9500773425
17,0.944714926,0.03931998063,0.9585669254
18,0.9633087586,0.02478281258,0.9497546844
19,0.9584036314,0.008208383136,0.9633146845
20,0.9813821214,0.01642909405,0.9282034384
21,0.9553545067,-0.002485366615,0.9183019366
22,0.8940962007,0.01144820104,0.9298697038
23,0.9240813185,0.02292774888,0.9282215737
24,0.9359105261,0.0393240249,0.9317385192
25,0.9284916136,0.02036000207,0.8906598382
26,0.9299323811,0.004245671688,0.958891905
27,0.9461542494,-0.003977291763,0.9472137255
28,0.9646924339,0.02684666723,0.9522968887
29,0.942846204,0.01835516207,0.9549487886
30,0.9117849575,0.02700298873,0.9491981693
31,0.9306037095,0.0126791114,0.9160824539
32,0.9198003703,0.0120533571,0.9522993659
33,0.9441173938,0.03495208427,0.9568513627
34,0.9323347378,0.02408678698,0.928803607
35,0.8802242193,0.03186816429,0.9326619775
36,0.8988875509,0.01562333721,0.9077473073
37,0.9154377233,0.02716939609,0.9200842379
38,0.9409084675,0.03311354336,0.9435865818
39,0.9561987999,0.03126208236,0.9444180871
40,0.9061685216,-0.01276247072,0.9128737363
41,0.9363851652,-0.002872166414,0.9312699078
42,0.9473448662,-0.009688981454,0.9331133309
43,0.9448840149,-0.01106960362,0.9099815227
44,0.9861280466,-0.004875827438,0.9219342677
45,0.9766807917,-0.01799912659,0.9360260596
46,0.9539944133,-0.01086058348,0.9386077855
47,0.9825354873,-0.04501296857,0.9436970576
48,0.9349995486,0.005513975191,0.9443685509
49,0.9344067824,-0.02206131868,0.9211373639
