"iteration","B0","Bx1","Bx2"
5001,2.073622502,0.5649182814,-1.53399143
5002,2.061464395,0.5576004359,-1.552042737
5003,2.061464395,0.5576004359,-1.552042737
5004,2.061464395,0.5576004359,-1.552042737
5005,2.061464395,0.5576004359,-1.552042737
5006,2.061464395,0.5576004359,-1.552042737
5007,2.061464395,0.5576004359,-1.552042737
5008,2.072096636,0.5581456317,-1.561549584
5009,2.047049602,0.5364873065,-1.535292784
5010,2.061085839,0.5566650841,-1.506834658
5011,2.081258015,0.5603084561,-1.48702686
5012,2.10454955,0.5637114639,-1.460887257
5013,2.103812131,0.5558124038,-1.460622838
5014,2.103812131,0.5558124038,-1.460622838
5015,2.103812131,0.5558124038,-1.460622838
5016,2.103812131,0.5558124038,-1.460622838
5017,2.084822414,0.5415020371,-1.455748323
5018,2.078970238,0.5801238217,-1.464959374
5019,2.078970238,0.5801238217,-1.464959374
5020,2.069937608,0.5730229591,-1.439101513
5021,2.096998347,0.582040325,-1.443773816
5022,2.085676415,0.566771418,-1.448299512
5023,2.066240166,0.5629553794,-1.426650856
5024,2.066240166,0.5629553794,-1.426650856
5025,2.058748851,0.5734483931,-1.420831404
5026,2.070605995,0.5650654161,-1.429803737
5027,2.077316053,0.5511683904,-1.446937831
5028,2.077316053,0.5511683904,-1.446937831
5029,2.077316053,0.5511683904,-1.446937831
5030,2.06801068,0.5665327189,-1.42201887
5031,2.070187046,0.5461164474,-1.431884048
5032,2.088897638,0.5615025359,-1.439895849
5033,2.068873441,0.5586671952,-1.444212486
5034,2.068873441,0.5586671952,-1.444212486
5035,2.067647495,0.548916088,-1.468609465
5036,2.066271102,0.5493794908,-1.474514209
5037,2.066271102,0.5493794908,-1.474514209
5038,2.053042625,0.5532961366,-1.48805631
5039,2.04481788,0.549766186,-1.493812508
5040,2.023358132,0.5568545407,-1.492715977
5041,2.03193973,0.5616467099,-1.496160608
5042,2.03193973,0.5616467099,-1.496160608
5043,2.034330763,0.5585007476,-1.513844881
5044,2.034330763,0.5585007476,-1.513844881
5045,2.034330763,0.5585007476,-1.513844881
5046,2.000247764,0.5953503767,-1.49942494
5047,2.005574276,0.6035683305,-1.499892726
5048,2.005574276,0.6035683305,-1.499892726
5049,2.005574276,0.6035683305,-1.499892726
5050,2.027559027,0.6149673711,-1.455118991
5051,2.013353176,0.609051245,-1.471428221
5052,1.983791035,0.59895741,-1.480836753
5053,1.988373421,0.5970935969,-1.507587137
5054,2.004766235,0.6001311236,-1.514821929
5055,2.004766235,0.6001311236,-1.514821929
5056,1.99179348,0.5788214141,-1.511657443
5057,2.01045269,0.5975024659,-1.500128625
5058,2.01045269,0.5975024659,-1.500128625
5059,2.01045269,0.5975024659,-1.500128625
5060,2.01045269,0.5975024659,-1.500128625
5061,2.004867785,0.5989271638,-1.499105718
5062,2.008458242,0.6178574527,-1.50450769
5063,2.002977185,0.6065585222,-1.50264222
5064,2.005820312,0.5884037426,-1.460392362
5065,2.028257439,0.5758754493,-1.442878915
5066,2.027383247,0.5755080048,-1.464530696
5067,2.027383247,0.5755080048,-1.464530696
5068,2.046161253,0.575046722,-1.493336109
5069,2.017582626,0.5708622548,-1.47566675
5070,2.030475502,0.5793143772,-1.451506017
5071,2.058725519,0.5724655553,-1.44711476
5072,2.05710866,0.5711692079,-1.460652284
5073,2.058534287,0.5637287165,-1.450890507
5074,2.066625075,0.5786843565,-1.457897412
5075,2.080512379,0.5695468242,-1.483226532
5076,2.101623977,0.5458963086,-1.479924876
5077,2.085860063,0.5628522928,-1.474890646
5078,2.085860063,0.5628522928,-1.474890646
5079,2.063977728,0.5685188152,-1.473773507
5080,2.063977728,0.5685188152,-1.473773507
5081,2.063977728,0.5685188152,-1.473773507
5082,2.098967303,0.5759426833,-1.481872888
