"iteration","Bx","By","EC"
5100,0.4720564435,-0.4390173201,0
5101,0.4478784241,-0.4464190946,0
5102,0.4365805475,-0.4374065309,0
5103,0.4634159435,-0.4268495501,0
5104,0.4526973911,-0.4476130062,0
5105,0.4415323336,-0.4388328551,0
5106,0.4256456986,-0.4340437369,0
5107,0.4696308582,-0.4525837368,0
5108,0.451196999,-0.4474416358,0
5109,0.4418084861,-0.4610442276,0
5110,0.4552696706,-0.4696470425,0
5111,0.454230275,-0.4593564371,0
5112,0.4650205709,-0.4530345225,0
5113,0.4827395288,-0.451069568,0
5114,0.502212041,-0.4339871662,0
5115,0.4915779622,-0.4314100899,0
5116,0.4733327361,-0.4163322149,0
5117,0.4331487607,-0.4307765122,0
5118,0.4641325741,-0.4344179291,0
5119,0.4727156438,-0.4314633894,0
5120,0.4537092859,-0.4271457488,0
5121,0.4634400027,-0.4769289341,0
5122,0.4663003474,-0.4700974914,0
5123,0.4526587835,-0.4651587862,0
5124,0.4499034715,-0.467953126,0
5125,0.4386706434,-0.4307388923,0
5126,0.45275542,-0.4670165787,0
5127,0.433435323,-0.4369307787,0
5128,0.4708502702,-0.4655037522,0
5129,0.4414355916,-0.4603155078,0
5130,0.4407781199,-0.4599840485,0
5131,0.4523264682,-0.4713325622,0
5132,0.4542065325,-0.4404906185,0
5133,0.4470019673,-0.4465190204,0
5134,0.467002819,-0.4403925962,0
5135,0.4546606137,-0.4434577887,0
5136,0.4611382914,-0.443851909,0
5137,0.446663044,-0.4557553571,0
5138,0.4579049938,-0.4720631746,0
5139,0.4446808016,-0.4482197814,0
5140,0.4624439037,-0.4497825599,0
5141,0.4547815052,-0.4448968564,0
5142,0.4404945854,-0.4500858774,0
5143,0.4639788439,-0.4514192797,0
5144,0.4567079418,-0.464525998,0
5145,0.4590999038,-0.456249785,0
5146,0.448936623,-0.4609531875,0
5147,0.4365396567,-0.4408480674,0
5148,0.4465574777,-0.4563687352,0
5149,0.4367425303,-0.4739119539,0
5150,0.4591667567,-0.4607726965,0
5151,0.4541762072,-0.4696130221,0
5152,0.470062906,-0.4763651103,0
5153,0.4356048511,-0.4492765739,0
5154,0.4367726519,-0.4482333656,0
5155,0.4458245274,-0.469237691,0
5156,0.4532686857,-0.4683642101,0
5157,0.4375084942,-0.4862617617,0
5158,0.4491261728,-0.4949324712,0
5159,0.4252150429,-0.4605637873,0
5160,0.4675709072,-0.457523719,0
5161,0.4584843545,-0.4445577234,0
5162,0.4755545461,-0.4860868022,0
5163,0.440073474,-0.470128973,0
5164,0.4401402287,-0.4595609774,0
5165,0.4665656752,-0.4504225827,0
5166,0.4306075635,-0.431357863,0
5167,0.4340314588,-0.4403116171,0
5168,0.4415494697,-0.4369144625,0
5169,0.4600239424,-0.4580396111,0
5170,0.4637403103,-0.4295514305,0
5171,0.4404888765,-0.4324429144,0
5172,0.458027015,-0.4197712373,0
5173,0.4354752309,-0.447551347,0
5174,0.4436356123,-0.4456721241,0
5175,0.4549968425,-0.4150332914,0
5176,0.4512780465,-0.4577402521,0
5177,0.4193781124,-0.433823071,0
5178,0.4260868677,-0.4351365205,0
5179,0.4581942362,-0.452973941,0
5180,0.4435439143,-0.4245388757,0
5181,0.4539257075,-0.4445194928,0
5182,0.4559459566,-0.4426949057,0
5183,0.4535516948,-0.453594564,0
5184,0.4425630301,-0.458347843,0
5185,0.4416174243,-0.4573833345,0
5186,0.4285536926,-0.4853417121,0
5187,0.4292655976,-0.4602384671,0
5188,0.4385415697,-0.4528970409,0
5189,0.4737722302,-0.4731764156,0
5190,0.4375834451,-0.4400616413,0
5191,0.4528345328,-0.4678452688,0
5192,0.4835234825,-0.4478237019,0
5193,0.4625805343,-0.4610959881,0
5194,0.4361883867,-0.436602133,0
5195,0.449715266,-0.4418769826,0
5196,0.4704267107,-0.4269262182,0
5197,0.4277938654,-0.4384243986,0
5198,0.4992619901,-0.4268019734,0
5199,0.4629479114,-0.4452326504,0
5200,0.4680117871,-0.44273163,0
5201,0.4379322843,-0.4301298653,0
5202,0.4394484508,-0.4479136826,0
5203,0.4529191037,-0.4358890998,0
5204,0.4596559926,-0.4302856958,0
5205,0.4744736581,-0.4432849569,0
5206,0.4610798064,-0.438981499,0
5207,0.4813510866,-0.4360902102,0
5208,0.4671019605,-0.4258848169,0
5209,0.4528038461,-0.4309625521,0
5210,0.4604124556,-0.4296900432,0
5211,0.4638729638,-0.4306576645,0
5212,0.4659548339,-0.4636232711,0
5213,0.4489253895,-0.4357803532,0
5214,0.4668503027,-0.4421263824,0
5215,0.4939734353,-0.4238348258,0
5216,0.4707020829,-0.4400092028,0
5217,0.4744976154,-0.4541488623,0
5218,0.4439934416,-0.4429496563,0
5219,0.4473564838,-0.4404596869,0
5220,0.4445750902,-0.4565447787,0
5221,0.4780801078,-0.4532854898,0
5222,0.4672210309,-0.4445750433,0
5223,0.4460301897,-0.4620186848,0
5224,0.4567057376,-0.4601103983,0
5225,0.4594314914,-0.4445367588,0
5226,0.4698669173,-0.4391603416,0
5227,0.454830655,-0.459517239,0
5228,0.4519937451,-0.4856150002,0
5229,0.4513100147,-0.4688938966,0
5230,0.4466477543,-0.4856610826,0
5231,0.4332427543,-0.4541390862,0
5232,0.453788494,-0.4918045814,0
5233,0.4588463306,-0.4584240106,0
5234,0.4395698716,-0.4538188479,0
5235,0.4532935191,-0.4896774387,0
5236,0.4604620604,-0.4958351299,0
5237,0.4648406164,-0.4801938307,0
5238,0.4712656278,-0.4838642504,0
5239,0.4305107931,-0.488061834,0
5240,0.4660747811,-0.4708105936,0
5241,0.4463262058,-0.4648019579,0
5242,0.4181645365,-0.4575933443,0
5243,0.4277344631,-0.4826906865,0
5244,0.4275161852,-0.4617335009,0
5245,0.4635019397,-0.4483758605,0
5246,0.4293099799,-0.4767013492,0
5247,0.4716111683,-0.4611084763,0
5248,0.4497570946,-0.4539652997,0
5249,0.4723378218,-0.4604443248,0
5250,0.466129576,-0.4537526202,0
5251,0.4513838303,-0.4671580394,0
5252,0.448907886,-0.4509532918,0
5253,0.435170737,-0.4645717618,0
5254,0.4545500845,-0.4660109496,0
5255,0.4459803183,-0.4582161985,0
5256,0.4404094824,-0.4527832337,0
5257,0.4528184251,-0.4579385688,0
5258,0.4616609054,-0.4458475784,0
5259,0.4732324167,-0.4709145182,0
5260,0.4611948156,-0.4537461551,0
5261,0.4497626349,-0.4572897516,0
5262,0.4472863591,-0.4533775091,0
5263,0.4620276004,-0.4413494758,0
5264,0.4620377373,-0.4589296478,0
5265,0.4505680096,-0.4381772019,0
5266,0.45609103,-0.4614024305,0
5267,0.4488819976,-0.4396757945,0
5268,0.4602299727,-0.4719845488,0
5269,0.4420413557,-0.4580130274,0
5270,0.4551283882,-0.4596385837,0
5271,0.4507188726,-0.4639769254,0
5272,0.4453709094,-0.4531871272,0
5273,0.44726307,-0.473395414,0
5274,0.4406102874,-0.4640270066,0
5275,0.4802391181,-0.4814817919,0
5276,0.4556938997,-0.4624006666,0
5277,0.4307552115,-0.4669350904,0
5278,0.4512391008,-0.4582464346,0
5279,0.4366913106,-0.4663333705,0
5280,0.4261309003,-0.4570776929,0
5281,0.4151238977,-0.4734218839,0
5282,0.4493052857,-0.4611749357,0
5283,0.4471594152,-0.4817459462,0
5284,0.4257759883,-0.4658680421,0
5285,0.4623863544,-0.4740478415,0
5286,0.4384504915,-0.4723310569,0
5287,0.4546967047,-0.4763998348,0
5288,0.4606338363,-0.4847971924,0
5289,0.4420193361,-0.460761399,0
5290,0.4764400173,-0.4544077608,0
5291,0.4616178202,-0.4522245245,0
5292,0.4608549971,-0.4676287107,0
5293,0.4519390979,-0.4455856443,0
5294,0.4560808948,-0.4628703448,0
5295,0.4734829441,-0.4777274111,0
5296,0.4358146345,-0.4587695595,0
5297,0.4523673359,-0.4660931145,0
5298,0.4492161279,-0.4445989182,0
5299,0.4348191316,-0.4855103467,0
5300,0.4687903936,-0.4764284467,0
5301,0.4884631624,-0.4511548859,0
5302,0.4414783298,-0.4567970588,0
5303,0.4485258628,-0.4645034386,0
5304,0.4470221949,-0.46553179,0
5305,0.4482773641,-0.4716253726,0
5306,0.4430844322,-0.459839179,0
5307,0.4501565321,-0.4755925358,0
