"Respondent","Bx","By"
1,0.41690989,0.327668299
2,0.7833343135,0.9218974249
3,0.2134844988,0.1338751314
4,0.3353065966,0.3032168592
5,0.1596042101,0.1428728753
6,0.4824783581,0.7836125361
7,0.7758428201,0.9210832469
8,0.7835301761,0.60550538
9,0.2415985566,0.7470352347
10,0.6769998667,0.8821116737
11,0.5894773738,0.562011235
12,0.7879082768,0.9232470901
13,0.3194782753,0.5633010697
14,0.6229698087,0.3711433439
15,0.3663897742,0.4976607528
16,0.3230594579,0.3489784577
17,0.5668788955,0.5052079334
18,0.9199402181,0.8664463765
19,0.8094295462,0.7249715228
20,0.6070912483,0.9079859159
21,0.5070111624,0.3596400474
22,0.6825940719,0.9872448421
23,0.2480350674,0.4413453538
24,0.7008956988,0.8909596293
25,0.6160834768,0.4606903109
26,0.9460134874,0.5951001978
27,0.7080816496,0.5956498445
28,0.3444692483,0.4388242929
29,0.242461604,0.179997956
30,0.5522261223,0.6283690879
31,0.6523600533,0.9036451048
32,0.7253140078,0.7865757303
33,0.6913577229,0.9180561374
34,0.7661011785,0.794875207
35,0.8522040606,0.8435199298
36,0.7450460529,0.9346977759
37,0.75595483,0.8589528731
38,0.4123594245,0.3834914322
39,0.3278830215,0.4886646811
40,0.6696208056,1.04666007
41,0.6361643644,0.376575719
42,0.8488628597,0.8573128763
43,0.8433702775,0.890507865
44,0.557214805,0.2918598999
45,0.8499079606,0.3945711348
46,0.6226859614,0.8862869965
47,0.7567939125,0.9011868343
48,0.383328599,0.4770850574
49,0.8017456639,0.8912423959
50,0.8951534301,0.8837650484
51,0.7945764217,0.7726106229
52,0.6379816933,0.8746504262
53,0.6793299977,0.7202030826
54,0.2876127504,0.6752911419
55,0.6449677435,0.9104701015
56,0.740970879,0.9591972089
57,0.5913694892,0.6035996016
58,0.8307592554,0.6478244186
59,0.8481268836,0.8383507819
60,0.6249978905,0.9606366299
61,0.6304491429,0.9111665628
62,0.1390223824,0.6804280445
63,0.4140243816,0.2283002229
64,0.7710264007,0.8868589019
65,0.6061394865,0.9780219396
66,0.4823404634,0.6002347768
67,0.2268065164,0.593401033
68,0.7403544973,0.7924854365
69,0.5994801331,0.5109401201
70,0.3452972115,0.5134460006
71,0.8416879007,0.8112671451
72,0.1748005934,0.2088009337
73,0.5603766196,0.5594653483
74,0.74145,0.9040584605
75,0.6270936578,0.8885942827
76,0.6228718315,0.867226959
77,0.6042870408,0.2898172627
78,0.5665303261,0.9199921088
79,0.5973876059,0.990198371
80,0.7207040286,0.8730932839
81,0.3904197907,0.6934031629
82,0.6385588738,0.8710272353
83,0.5467735622,0.5628788355
84,0.745677053,0.9239279313
85,0.4080118007,0.422089302
86,0.4691606029,0.672201433
87,0.5005676556,0.2759958143
88,0.8487423636,0.671385411
89,0.8335184108,0.7679322543
90,0.7503603332,0.9586325694
91,0.2798408397,0.7262364669
92,0.9172509036,0.9397098578
93,0.4792251817,0.5927670252
94,0.4819076079,0.657180493
95,0.3899538195,0.7034737632
96,0.8043607301,0.8226726054
97,0.3916633277,0.4767089724
98,0.650954209,0.9609422027
99,0.4542070252,0.6106438396
100,0.8274642552,0.731943229
101,0.923561773,0.8098220054
102,0.2820179231,0.6364733683
103,0.4871981403,0.1882852006
104,0.6623195741,0.6789397448
105,0.7514470511,0.8955237507
106,0.8270666327,0.625410336
107,0.7638379081,0.5894033667
108,0.2937551582,0.6781870055
109,0.653343698,0.8815392251
110,0.4749617723,0.2562271878
111,0.7700018018,0.7963611723
112,0.7546374841,0.9065198835
113,0.4739400507,0.4264690197
114,0.6636281564,0.8978496982
115,0.6470548818,0.8332464215
116,0.7222908998,0.7290771527
117,0.6172758598,0.9105952697
118,0.4946369526,0.3227882375
119,0.6114556887,0.9971110717
120,0.7405175015,0.8751340688
121,0.3536093132,0.536412753
122,0.7435924673,0.6325526566
123,0.7827089749,0.8735047227
124,0.7102313398,0.8960338039
125,0.550334072,0.5482951896
126,0.7050807601,0.6960304855
127,0.481433417,0.3833639785
128,0.7697185582,0.6723470901
129,0.6663066549,1.023430018
130,0.7860558415,0.573033907
131,0.5301564771,0.7109135793
132,0.2799105119,0.6666427713
133,0.3081599349,0.307271706
134,0.6588682797,0.9143472963
135,0.6749812805,0.8626442617
136,0.3746695033,0.8080221284
137,0.1751957977,0.5230186392
138,0.882784341,0.9249722995
139,0.392943102,0.636569497
140,0.7644879361,0.9668130376
141,0.8565444767,0.896444048
142,0.8153815787,0.9391298371
143,0.8247769821,0.8550577234
144,0.6568507828,0.8700575103
145,0.7050380401,1.002943591
146,0.594429102,0.3785140422
147,0.7751128031,0.9398112854
148,0.7200042697,0.8934112161
149,0.7546370882,0.9317564414
150,0.6045754747,0.9502699141
151,0.7219975651,0.5667567081
152,0.6347282508,0.4435002735
153,0.6152602754,0.4409023375
154,0.5728479297,0.4738069848
155,0.7633039602,0.341745305
156,0.6590684667,0.9855821629
157,0.7816960822,0.8751060948
158,0.9214302784,0.8701173863
159,0.2016639117,0.2669359966
160,0.812987609,0.906679044
161,0.7429093811,0.8840464954
162,0.6726660276,0.8703573433
163,0.4766023657,0.1495658695
164,0.623239039,0.8288725713
165,0.6855400176,1.024329596
166,0.668078108,0.9293694973
167,0.8136107737,0.6003371672
168,0.774340058,0.9626249801
169,0.246023413,0.3287104028
170,0.8740398915,1.030388669
171,0.6637721152,0.2113358046
172,0.7418087716,0.6690795102
173,0.6710988642,0.8886081629
174,0.7264196924,0.9494605642
175,0.6979554884,0.8195227906
176,0.7849192561,0.9578423462
177,0.5033247597,0.5290636235
178,0.7432221279,0.8856973985
179,0.6520135195,0.9916235512
180,0.25163215,0.7529392006
181,0.2476472703,0.1670466231
182,0.5691154869,0.6236252814
183,0.3598222698,0.5073849939
184,0.5023030434,0.254259296
185,0.8928445931,0.8453957042
186,0.6374391971,0.8855732102
187,0.3261420658,0.4443036849
188,0.6932142046,0.9435166551
189,0.6532095824,0.324138616
190,0.7082196803,0.7931525527
191,0.2580597523,0.5640007763
192,0.5376458333,0.4739695263
193,0.7055503633,0.7641140478
194,0.5955394683,0.5747890247
195,0.6378263576,0.4037719597
196,0.809594798,0.8807759714
197,0.4671647146,0.3420493939
198,0.59591903,0.991562009
199,0.7704971559,0.9266611813
200,0.1432693501,0.5162735246
201,0.5750777923,0.6694899972
202,0.7099012826,0.9823279832
203,0.7127884472,0.2049080309
204,0.7539026379,0.9407928919
205,0.4570415985,0.3946518979
206,0.6966250527,0.9637185088
207,0.7162649145,0.9387519276
208,0.3525316568,0.5244848011
209,0.8489704145,0.7578663077
210,0.4864291434,0.6526672781
211,0.7727744976,0.9798069794
212,0.6984346544,0.4210411967
213,0.3524824352,0.6935975332
214,0.7531707404,0.884924921
215,0.7158141877,0.8821181928
216,0.2364946677,0.6803577339
217,0.7829588268,0.8969341209
218,0.8347889783,0.8801068893
219,0.7008730936,0.8277282983
220,0.4035421547,0.6091653741
221,0.2059718848,0.7156939777
222,0.7046418238,0.8870103926
223,0.442257676,0.6804068347
224,0.9560765863,0.8118004276
225,0.6656220245,0.5056228851
226,0.2885787849,0.7125341557
227,0.4112081931,0.6806132577
228,0.6841359281,0.9233115756
229,0.7561608835,0.6666834015
230,0.7121387573,0.8810272135
231,0.6713371004,0.3159919688
232,0.622398213,0.4104655928
233,0.2569403889,0.6675388238
234,0.3615355793,0.4609136391
235,0.8686205113,0.7640494247
236,0.6407600168,0.8683272198
237,0.9739225258,0.8286571985
238,0.8250900809,0.8924046907
239,0.7144079734,0.9014332202
240,0.5797316204,0.8299351032
241,0.6333680572,0.8301648531
242,0.8909773372,0.6720804262
243,0.7730224819,0.8998013706
244,0.6498784131,1.015148517
245,0.7602616151,0.856363304
246,0.3225057482,0.6884748342
247,0.6591852203,0.6294365764
248,0.6254199396,0.8338842623
249,0.8672719358,0.870407655
250,0.874182622,0.8838968819
251,0.4967446498,0.5768272476
252,0.463876249,0.5644687564
253,0.457410086,0.2320720724
254,0.770888321,0.8834393475
255,1.00399617,0.7574175461
256,0.1723500441,0.5484757353
257,0.4586813016,0.4612467267
258,0.7505563152,0.7525447388
259,0.453246222,0.6600877957
260,0.3600969547,0.5808972195
261,0.8233237684,0.8263318166
262,0.1541568026,0.583881327
263,0.377869863,0.6674793751
264,0.7713258967,0.803013886
265,0.1411412201,0.3437548395
266,0.8589265625,0.855025273
267,0.6817533763,0.8999937476
268,0.704706276,0.8113242549
269,0.7011985103,0.6626714877
270,0.7149895043,0.8559104213
271,0.8680120768,0.8191381044
272,0.7692720318,0.6942756008
273,0.5198672576,0.6383193099
274,0.3688207431,0.2618384762
275,0.4708963897,0.4900324841
276,0.436866725,0.4321158651
277,0.7887050664,0.4642074011
278,0.6350903939,0.8851439511
279,0.6448338856,0.913749934
280,0.7334834634,0.6772703683
281,0.6778535579,0.6194096223
282,0.6964743802,0.6784793386
283,0.7927513138,0.9412755627
284,0.6763058675,0.8842666425
285,0.8755368297,0.8965854502
286,0.7404335754,0.8588426505
287,0.387187573,0.70321343
288,0.1591718551,0.8181436729
289,0.7060452035,0.9163039541
290,0.4522728977,0.322821746
291,0.7381972097,0.92120573
292,0.6645300076,0.9578554685
293,0.808814076,0.8303357504
294,0.6326302919,0.8330668471
295,0.8887381854,0.8675067284
296,0.6159829041,0.8740358172
297,0.6207153907,0.8773322104
298,0.2102168917,0.7277096861
299,0.864309611,0.8650112136
300,0.3566508987,0.5363658724
301,0.3924023713,0.6859400784
302,0.7221835104,0.8733674534
303,0.8174560829,0.315966341
304,0.6010345996,0.3466056317
305,0.7210579784,0.7509291269
306,0.708983969,0.8903675431
307,0.1888993267,0.2523757822
308,0.6023032104,0.3222887708
309,0.4319862045,0.4070341582
310,0.1993572688,0.2348240432
311,0.767087823,0.6770548833
312,0.6240579008,0.9402502123
313,0.7720344764,0.5979540478
314,0.5291535721,0.4998415522
315,0.7144293601,0.9417790478
316,0.8216997942,0.8729835343
317,0.6737233046,0.7930011219
318,0.9584115744,0.7848079073
319,0.6346821236,0.8700233652
320,0.8657842936,0.8240835375
321,0.8850560559,0.8567449654
322,0.6551264345,0.8242514924
323,0.8905018314,0.8851974598
324,0.6952476528,0.8659960473
325,0.6563424773,0.3396716925
326,0.4745465578,0.5162550147
327,0.8562488207,0.9731328122
328,0.871100758,0.6822397969
329,0.6022768722,0.9289985433
330,0.5078735361,0.5326677361
331,0.7307736633,0.9004607609
332,0.5739134141,0.7865042632
333,0.757342696,0.8910286367
334,0.6222706045,0.247996966
335,0.9234701466,0.8852413123
336,0.8994329208,0.9040087156
337,0.3388653583,0.2867752964
338,0.7113580875,0.9045273582
339,0.7373170047,0.9456843204
340,0.6150076979,0.4980013841
341,0.4413488167,0.5321293328
342,0.5091816445,0.4866720681
343,0.2315468685,0.7786821131
344,0.7734471843,0.8704713365
345,0.7423966361,0.8247789483
346,0.5798548506,0.5788613558
