"iteration","threshold1","threshold2"
5001,1.956652267,7.470161104
5002,1.951034165,7.454137132
5003,1.94916299,7.476679731
5004,1.96456427,7.459621104
5005,1.978183689,7.459063082
5006,1.967130713,7.458908278
5007,1.958753728,7.428663356
5008,1.955221747,7.438824837
5009,1.951539777,7.428041355
5010,1.951539777,7.428041355
5011,1.968516468,7.41794727
5012,1.947767966,7.422331989
5013,1.930206349,7.451855044
5014,1.929798716,7.439671764
5015,1.909271604,7.442790423
5016,1.909894285,7.42886481
5017,1.909894285,7.42886481
5018,1.909894285,7.42886481
5019,1.908790283,7.413893192
5020,1.908790283,7.413893192
5021,1.912403847,7.452605634
5022,1.905186759,7.487472365
5023,1.926881569,7.486050177
5024,1.943475348,7.467816327
5025,1.962566722,7.487811524
5026,1.988251867,7.489276
5027,1.983229367,7.485789305
5028,1.983229367,7.485789305
5029,2.001456743,7.474107215
5030,2.009330045,7.46446502
5031,2.01153617,7.475392984
5032,2.01153617,7.475392984
5033,2.002938299,7.467290325
5034,2.013102583,7.484696478
5035,2.011571406,7.492258209
5036,2.011571406,7.492258209
5037,2.007777942,7.503843548
5038,2.0161046,7.511071404
5039,2.023247975,7.531222967
5040,2.008055602,7.539190922
5041,2.035463996,7.532243494
5042,2.025896977,7.532124355
5043,2.039586187,7.553349682
5044,2.046969581,7.568087449
5045,2.046969581,7.568087449
5046,2.062099296,7.585039778
5047,2.062099296,7.585039778
5048,2.062340183,7.57497372
5049,2.075849614,7.563947979
5050,2.077558814,7.585944219
5051,2.077558814,7.585944219
5052,2.083555271,7.568672543
5053,2.070254405,7.583453713
5054,2.067282172,7.557186545
5055,2.085520546,7.568822382
5056,2.070643143,7.555625203
5057,2.070643143,7.555625203
5058,2.09042564,7.57458375
5059,2.078503779,7.595826942
5060,2.069970448,7.585082909
5061,2.069970448,7.585082909
5062,2.081686291,7.586285636
5063,2.055280475,7.600590503
5064,2.091235247,7.597112374
5065,2.069571649,7.598817963
5066,2.058121234,7.559926886
5067,2.058121234,7.559926886
5068,2.045367859,7.554910572
5069,2.061811016,7.524168305
5070,2.052619496,7.546894086
5071,2.066699266,7.577349661
5072,2.066699266,7.577349661
5073,2.064960488,7.598082437
5074,2.064960488,7.598082437
5075,2.059574381,7.584891614
5076,2.076308685,7.558499285
5077,2.070590272,7.559941997
5078,2.058485151,7.551085166
5079,2.050739626,7.542446197
5080,2.057023473,7.567479403
5081,2.057023473,7.567479403
5082,2.062207611,7.544906896
5083,2.056719552,7.55199305
5084,2.050272785,7.540226862
5085,2.054310177,7.543901259
5086,2.054310177,7.543901259
5087,2.061755062,7.548860204
5088,2.061755062,7.548860204
5089,2.07127906,7.541586565
5090,2.089952202,7.521644804
5091,2.075431336,7.528699689
5092,2.078964644,7.530852173
5093,2.07053656,7.524761755
5094,2.081061604,7.558977406
5095,2.047023521,7.545490688
5096,2.063656207,7.549346874
5097,2.066192052,7.540344411
5098,2.075143517,7.534871584
5099,2.075143517,7.534871584
5100,2.036434722,7.532536824
5101,2.045612071,7.557052516
5102,2.030714896,7.545153782
5103,2.014768966,7.541354822
5104,2.014768966,7.541354822
5105,2.012058117,7.549389254
5106,2.006700166,7.585922932
5107,2.019178582,7.582528658
5108,2.019178582,7.582528658
5109,2.015404904,7.61680891
5110,2.027063942,7.613909426
5111,2.0359367,7.614254931
5112,2.022231719,7.639703329
5113,2.025103508,7.642064314
5114,2.025103508,7.642064314
5115,1.995556305,7.626667849
5116,1.981873815,7.66613289
5117,1.994927108,7.664744638
5118,1.994927108,7.664744638
5119,1.983233804,7.682237848
5120,2.005529691,7.676515441
5121,2.01035473,7.682425506
5122,1.999699567,7.669366811
5123,1.987091805,7.654903846
5124,1.979201515,7.665454708
5125,1.979201515,7.665454708
5126,1.968828619,7.687398129
5127,2.004796079,7.688768339
5128,1.999311063,7.694790573
5129,1.989349172,7.683216788
5130,2.007671755,7.687829313
5131,1.997326917,7.686416843
5132,2.000698529,7.677770335
5133,1.992779681,7.653553981
5134,2.030101932,7.652103049
5135,2.00904812,7.662823798
5136,2.052149586,7.699366786
5137,2.063375855,7.714146474
5138,2.067062411,7.743449729
5139,2.067062411,7.743449729
5140,2.075076779,7.742045973
5141,2.058424908,7.741882298
5142,2.051950985,7.741883003
5143,2.061169638,7.721630914
5144,2.054507588,7.714698704
5145,2.054507588,7.714698704
5146,2.06737574,7.713085097
5147,2.043193091,7.71296762
5148,2.013538245,7.718782175
5149,2.01572733,7.726718829
5150,2.007889447,7.703921898
5151,2.014223093,7.697898357
5152,2.014223093,7.697898357
5153,1.996640664,7.697156123
5154,2.014117148,7.706334877
5155,2.008719113,7.706688577
5156,2.000524373,7.698822623
5157,2.001420205,7.67957452
5158,2.007934485,7.663605838
5159,1.995682924,7.674587261
5160,2.004267248,7.702508805
5161,2.014573769,7.698322553
5162,2.015346106,7.697737672
5163,2.058780387,7.700691335
5164,2.058780387,7.700691335
5165,2.058780387,7.700691335
5166,2.051066404,7.690653328
5167,2.038446489,7.693732615
5168,2.03859699,7.689905327
5169,2.067056078,7.679681566
5170,2.088473247,7.654426368
5171,2.068074681,7.643892022
5172,2.069551318,7.656213322
5173,2.102125377,7.656829971
5174,2.102125377,7.656829971
5175,2.083702571,7.680150214
5176,2.083702571,7.680150214
5177,2.083702571,7.680150214
5178,2.094112297,7.701278326
5179,2.076761783,7.709385366
5180,2.097439329,7.733019009
5181,2.079025555,7.770515254
5182,2.063384189,7.756646959
5183,2.063384189,7.756646959
5184,2.042968402,7.732922925
5185,2.058015247,7.718503236
5186,2.083454969,7.708492661
5187,2.060760859,7.730673588
5188,2.060760859,7.730673588
5189,2.063697109,7.713538937
5190,2.069246556,7.69859738
5191,2.088053775,7.681504897
5192,2.088053775,7.681504897
5193,2.088053775,7.681504897
5194,2.082944964,7.69556001
5195,2.082944964,7.69556001
5196,2.091794414,7.681701791
5197,2.106049897,7.673005814
5198,2.121655402,7.64007521
5199,2.121655402,7.64007521
5200,2.121655402,7.64007521
5201,2.114488438,7.643799226
5202,2.146903076,7.613445355
5203,2.168650668,7.621333459
5204,2.165467605,7.620054178
5205,2.197558857,7.63486858
5206,2.212688046,7.650633699
5207,2.212654095,7.67572702
5208,2.220117168,7.65688025
5209,2.243929531,7.640034775
5210,2.258795493,7.620892436
5211,2.238894988,7.613328675
5212,2.238894988,7.613328675
5213,2.234159229,7.637323013
5214,2.233619601,7.64240456
5215,2.23693267,7.648636658
5216,2.23693267,7.648636658
5217,2.239929708,7.653846534
5218,2.239929708,7.653846534
5219,2.250646108,7.658287397
5220,2.278580023,7.683203373
5221,2.284162305,7.700299153
5222,2.280765612,7.684607734
5223,2.280765612,7.684607734
5224,2.290683509,7.660988536
5225,2.284835301,7.679643994
5226,2.289703418,7.691101803
5227,2.313431478,7.704026359
5228,2.313431478,7.704026359
5229,2.312944079,7.727107238
5230,2.310769346,7.734323025
5231,2.295760628,7.716647367
5232,2.295760628,7.716647367
5233,2.313270379,7.730926893
5234,2.310886959,7.741479303
5235,2.306907046,7.731291252
5236,2.297491444,7.71925996
5237,2.291575098,7.711385226
5238,2.291575098,7.711385226
5239,2.291575098,7.711385226
5240,2.283214741,7.686737659
5241,2.280421113,7.684662709
5242,2.263054263,7.692807967
5243,2.241232008,7.686326135
5244,2.241155873,7.69192712
5245,2.262118392,7.697727786
5246,2.262118392,7.697727786
5247,2.237803871,7.695704596
5248,2.23219979,7.710986954
5249,2.23631203,7.722119141
5250,2.213167155,7.736857746
5251,2.207996856,7.73078864
5252,2.209559055,7.724566079
5253,2.211683234,7.735313265
5254,2.224783506,7.696907447
5255,2.224783506,7.696907447
5256,2.225932701,7.676612092
5257,2.225932701,7.676612092
5258,2.22771485,7.684560582
5259,2.218508897,7.695639016
5260,2.215439733,7.710630391
5261,2.187702107,7.725752787
5262,2.189274527,7.730769571
5263,2.166436403,7.734499204
5264,2.169132526,7.709458416
5265,2.188222958,7.70942188
5266,2.206033668,7.735932952
5267,2.184690551,7.727812718
5268,2.190245026,7.733910949
5269,2.178779611,7.737966583
5270,2.178779611,7.737966583
5271,2.178779611,7.737966583
5272,2.178779611,7.737966583
5273,2.180955278,7.761635193
5274,2.196618137,7.740118477
5275,2.221445562,7.716800853
5276,2.216261548,7.724146821
5277,2.192177435,7.722465109
5278,2.202926372,7.69624571
5279,2.202926372,7.69624571
5280,2.202926372,7.69624571
5281,2.20274212,7.701733169
5282,2.173827259,7.709953007
5283,2.161435639,7.698576096
5284,2.177123378,7.698946779
5285,2.171044343,7.693790117
5286,2.155989069,7.704610965
5287,2.156756515,7.688737691
5288,2.176525112,7.675995222
5289,2.150712199,7.646511961
5290,2.152873962,7.675938893
5291,2.138601411,7.728202824
5292,2.153449493,7.725142685
5293,2.166767515,7.712709405
5294,2.157036368,7.738973764
5295,2.156539146,7.704914299
5296,2.170526394,7.704553471
5297,2.146479804,7.718758117
5298,2.137428487,7.709479066
5299,2.137428487,7.709479066
5300,2.101333346,7.729876578
5301,2.101333346,7.729876578
5302,2.102678514,7.717140311
5303,2.109559638,7.717633565
5304,2.098445939,7.687042604
5305,2.117042976,7.716846847
5306,2.117042976,7.716846847
5307,2.108294829,7.732032104
5308,2.120430249,7.754647745
5309,2.114383022,7.725523832
5310,2.100793445,7.723499363
5311,2.090361062,7.728289538
5312,2.069575194,7.721369385
5313,2.086382104,7.722011343
5314,2.098239038,7.727647538
5315,2.105970961,7.738649053
5316,2.111262211,7.758508968
5317,2.139628969,7.755120867
5318,2.130854125,7.754376352
5319,2.147090774,7.737584829
5320,2.126893137,7.743258018
5321,2.126893137,7.743258018
5322,2.107354407,7.768136152
5323,2.107354407,7.768136152
5324,2.126378741,7.775272957
5325,2.126378741,7.775272957
5326,2.109796962,7.788771192
5327,2.109796962,7.788771192
5328,2.109796962,7.788771192
5329,2.079943117,7.775747992
5330,2.080736582,7.794370291
5331,2.095004641,7.804874424
5332,2.091513347,7.775244113
5333,2.109584392,7.771558593
5334,2.124880636,7.768883338
5335,2.112378914,7.771488199
5336,2.104251195,7.769069804
5337,2.106575883,7.793077561
5338,2.122638388,7.77940282
5339,2.10990988,7.760806737
5340,2.119361903,7.782146017
5341,2.12170575,7.770157031
5342,2.103604297,7.756554003
5343,2.125791819,7.751901857
5344,2.125791819,7.751901857
5345,2.125791819,7.751901857
5346,2.13020617,7.736732826
5347,2.144670302,7.719187398
5348,2.145295763,7.704910018
5349,2.139267771,7.711134
5350,2.167157859,7.692316706
5351,2.168338258,7.701993523
5352,2.168338258,7.701993523
5353,2.161645389,7.742145399
5354,2.181388039,7.722085046
5355,2.185475678,7.726935251
5356,2.194034764,7.719609532
5357,2.18191013,7.736408923
5358,2.206288547,7.740326796
5359,2.220010583,7.762251587
5360,2.232997099,7.737128733
5361,2.234863342,7.753956183
5362,2.245786448,7.739213573
5363,2.267872943,7.769290375
5364,2.267872943,7.769290375
5365,2.287711947,7.761742868
5366,2.293850258,7.755924702
5367,2.282386145,7.766501352
5368,2.280946902,7.765951666
5369,2.280946902,7.765951666
5370,2.266442667,7.769022838
5371,2.266442667,7.769022838
5372,2.267715842,7.760026173
5373,2.262221902,7.772469484
5374,2.270376117,7.774801014
5375,2.270376117,7.774801014
5376,2.246158012,7.778397188
5377,2.246158012,7.778397188
5378,2.258308524,7.789332281
5379,2.265932148,7.779716557
5380,2.272874363,7.797166317
5381,2.272874363,7.797166317
5382,2.272874363,7.797166317
5383,2.263699889,7.800480328
5384,2.266927926,7.795712279
5385,2.24830484,7.78164147
5386,2.230722259,7.758517278
5387,2.218167306,7.725127024
5388,2.20549865,7.73483
5389,2.20549865,7.73483
5390,2.21914266,7.754478759
5391,2.233954532,7.751077519
5392,2.233954532,7.751077519
5393,2.245227702,7.74482676
5394,2.245227702,7.74482676
5395,2.245227702,7.74482676
5396,2.23343123,7.73208158
5397,2.220251069,7.720450721
5398,2.220251069,7.720450721
5399,2.201434403,7.689697862
5400,2.204910942,7.701884977
5401,2.205806015,7.690405033
5402,2.205806015,7.690405033
5403,2.226838306,7.68739464
5404,2.176012606,7.695214945
5405,2.176012606,7.695214945
5406,2.176012606,7.695214945
5407,2.162118117,7.69605141
5408,2.151460584,7.712488132
5409,2.151460584,7.712488132
5410,2.152933188,7.75537277
5411,2.142201959,7.792706348
5412,2.157338291,7.789316293
5413,2.165425264,7.796432357
5414,2.165425264,7.796432357
5415,2.167552759,7.79343411
5416,2.167552759,7.79343411
5417,2.161905627,7.796938209
5418,2.161905627,7.796938209
5419,2.161905627,7.796938209
5420,2.173888502,7.766383608
5421,2.173888502,7.766383608
5422,2.173888502,7.766383608
5423,2.167238787,7.776870988
5424,2.157891733,7.801464828
5425,2.157891733,7.801464828
5426,2.158435581,7.788573226
5427,2.150657051,7.790903531
5428,2.150657051,7.790903531
5429,2.146301401,7.798743329
5430,2.13428415,7.797268511
5431,2.13428415,7.797268511
5432,2.146985054,7.826578787
5433,2.147091365,7.847201713
5434,2.147091365,7.847201713
5435,2.146060473,7.868123087
5436,2.139752023,7.870362467
5437,2.151086687,7.858760631
5438,2.146069992,7.856413864
5439,2.146069992,7.856413864
5440,2.138309638,7.879432317
5441,2.129524003,7.857947532
5442,2.129524003,7.857947532
5443,2.144270129,7.838328469
5444,2.148773814,7.879310757
5445,2.127657802,7.872910353
5446,2.120754815,7.876877132
5447,2.109043431,7.876619942
5448,2.112446224,7.891418298
5449,2.100311327,7.886766401
5450,2.100311327,7.886766401
5451,2.100311327,7.886766401
5452,2.090613447,7.885217047
5453,2.11518969,7.895685214
5454,2.11518969,7.895685214
5455,2.122278811,7.890592504
5456,2.117934163,7.912448195
5457,2.106027935,7.886194407
5458,2.110018204,7.891073465
5459,2.110018204,7.891073465
5460,2.110018204,7.891073465
5461,2.080976187,7.911532477
5462,2.084236581,7.895219664
5463,2.076761492,7.898120223
5464,2.076761492,7.898120223
5465,2.099624021,7.901393886
5466,2.112064999,7.90376947
5467,2.108389053,7.889994819
5468,2.101865351,7.872375373
5469,2.101865351,7.872375373
5470,2.124067813,7.863443021
5471,2.120621653,7.878628941
5472,2.106630517,7.875050156
5473,2.077442589,7.830079432
5474,2.077442589,7.830079432
5475,2.074695848,7.841819846
5476,2.087210786,7.860727298
5477,2.081910941,7.858431633
5478,2.088331258,7.854283797
5479,2.104406644,7.87231028
5480,2.104406644,7.87231028
5481,2.139164648,7.859085338
5482,2.155236083,7.857883491
5483,2.150474021,7.894950225
5484,2.133558186,7.903703732
5485,2.132466331,7.927686328
5486,2.111553416,7.941982007
5487,2.119181149,7.970833047
5488,2.097393182,7.970450172
5489,2.097393182,7.970450172
5490,2.10507751,7.976251467
5491,2.104135448,7.958077505
5492,2.124087375,7.944981673
5493,2.121977388,7.938788364
5494,2.130435355,7.943990434
5495,2.134872426,7.937816449
5496,2.127897116,7.933345706
5497,2.122562475,7.972463867
5498,2.133980982,7.969056168
5499,2.095324579,7.972663429
5500,2.084974946,7.965403901
5501,2.099127537,7.962692223
5502,2.108431494,7.971864819
5503,2.111388002,7.990646964
5504,2.121945349,8.008696537
5505,2.122767802,8.025732682
5506,2.123379612,8.019419221
5507,2.09934784,8.044159888
5508,2.088317699,8.033531906
5509,2.072294556,8.038513029
5510,2.092405509,8.039444456
5511,2.095729096,8.030963155
5512,2.096649383,8.024295313
5513,2.068065266,8.034452382
5514,2.073499916,8.049960562
5515,2.073033154,8.077852107
5516,2.059501449,8.075820646
5517,2.06434238,8.11601661
5518,2.066080376,8.129560456
5519,2.070109395,8.130673232
5520,2.047392329,8.114753
5521,2.047392329,8.114753
5522,2.070842726,8.09826729
5523,2.049332356,8.123581147
5524,2.063074195,8.129322087
5525,2.061939792,8.141480089
5526,2.061939792,8.141480089
5527,2.056127468,8.161458836
5528,2.065455731,8.179281312
5529,2.078757788,8.167841911
5530,2.069597858,8.149246538
5531,2.045461895,8.133917025
5532,2.069300177,8.133698081
5533,2.072446249,8.132413239
5534,2.063131323,8.138140716
5535,2.05740137,8.137475041
5536,2.083557945,8.127020358
5537,2.095434087,8.108823118
5538,2.097616974,8.11158865
5539,2.138427248,8.113725667
5540,2.15041265,8.104564093
5541,2.166613621,8.086054999
5542,2.145226186,8.092315054
5543,2.145904781,8.094447634
5544,2.149706011,8.107746455
5545,2.138432756,8.113624183
5546,2.138432756,8.113624183
5547,2.136535073,8.102938953
5548,2.136535073,8.102938953
5549,2.136417844,8.086980214
5550,2.127370652,8.088893423
5551,2.163416418,8.084592058
5552,2.169246962,8.088967495
5553,2.177833138,8.064890564
5554,2.159298825,8.045344894
5555,2.133722134,8.040478258
5556,2.125081254,8.009480176
5557,2.144073425,8.039111112
5558,2.138686214,8.059475514
5559,2.163201515,8.050183405
5560,2.157683872,8.070256295
5561,2.169889673,8.059127232
5562,2.168176389,8.078612308
5563,2.163470247,8.081365163
5564,2.15465765,8.105659807
5565,2.163429312,8.113972762
5566,2.163429312,8.113972762
5567,2.124192612,8.141423149
5568,2.127516342,8.115076081
5569,2.127516342,8.115076081
5570,2.119293563,8.113919584
5571,2.161860587,8.104741664
5572,2.134147372,8.106052892
5573,2.148684249,8.102056595
5574,2.181080951,8.113320691
5575,2.198457984,8.107903903
5576,2.198457984,8.107903903
5577,2.171804057,8.114071231
5578,2.162295091,8.135467335
5579,2.14085774,8.126619479
5580,2.140858334,8.131848467
5581,2.140858334,8.131848467
5582,2.140858334,8.131848467
5583,2.140858334,8.131848467
5584,2.125727393,8.147862162
5585,2.124613009,8.127629312
5586,2.130856855,8.13864747
5587,2.13038672,8.176896714
5588,2.148525361,8.157893213
5589,2.124432997,8.153004522
5590,2.150082349,8.187484787
5591,2.145160338,8.164676741
5592,2.10874927,8.188040486
5593,2.10874927,8.188040486
5594,2.10874927,8.188040486
5595,2.108713938,8.158735041
5596,2.069498014,8.169949046
5597,2.080776953,8.178277745
5598,2.098709334,8.156705956
5599,2.106830569,8.124831701
5600,2.087439742,8.147675503
5601,2.086781307,8.161401253
5602,2.068372142,8.139263262
5603,2.081382204,8.130487327
5604,2.076713616,8.135773711
5605,2.076713616,8.135773711
5606,2.079743165,8.10029029
5607,2.051809086,8.093398288
5608,2.051809086,8.093398288
5609,2.047530262,8.081502072
5610,2.047530262,8.081502072
5611,2.047530262,8.081502072
5612,2.042193992,8.113529111
5613,2.036940026,8.126558597
5614,2.068554074,8.14130529
5615,2.072560382,8.151415725
5616,2.072560382,8.151415725
5617,2.047082879,8.138217029
5618,2.055537992,8.124844177
5619,2.058082994,8.126360034
5620,2.058082994,8.126360034
5621,2.0599053,8.124823364
5622,2.083574938,8.120511758
5623,2.117530834,8.11532454
5624,2.118987656,8.125713463
5625,2.133921347,8.152005478
5626,2.147224008,8.152845126
5627,2.137536351,8.148743513
5628,2.130704483,8.129523197
5629,2.132291282,8.092053801
5630,2.132291282,8.092053801
5631,2.156792866,8.08580108
5632,2.152463294,8.089673112
5633,2.144273407,8.099133672
5634,2.157072735,8.073731949
5635,2.165532363,8.100400365
5636,2.145274748,8.094143633
5637,2.165858628,8.087012699
5638,2.166218997,8.100815955
5639,2.192542122,8.10488845
5640,2.193497898,8.083132036
5641,2.196084512,8.079666725
5642,2.195910686,8.064764017
5643,2.195910686,8.064764017
5644,2.195910686,8.064764017
5645,2.212457733,8.063201419
5646,2.183968859,8.085797495
5647,2.220280355,8.069343603
5648,2.236952998,8.074755217
5649,2.251519675,8.074724793
5650,2.262411332,8.078448975
5651,2.225738197,8.083946696
5652,2.212307282,8.085270273
5653,2.218863505,8.099740369
5654,2.205632677,8.08027666
5655,2.227535266,8.05693097
5656,2.227535266,8.05693097
5657,2.221266596,8.057714927
5658,2.234675372,8.072592432
5659,2.2340675,8.075556861
5660,2.218718163,8.081465823
5661,2.238178433,8.08834378
5662,2.238178433,8.08834378
5663,2.23024968,8.071415684
5664,2.252233971,8.059750953
5665,2.265481396,8.039217143
5666,2.277288897,8.037822018
5667,2.28202978,8.025816845
5668,2.296184547,8.015726306
5669,2.296184547,8.015726306
5670,2.296184547,8.015726306
5671,2.30655126,8.032050262
5672,2.298631279,8.003872042
5673,2.298631279,8.003872042
5674,2.314407792,8.055284802
5675,2.290696722,8.068759625
5676,2.275047072,8.052977095
5677,2.280231271,8.056445238
5678,2.280231271,8.056445238
5679,2.2752211,8.060670834
5680,2.295843751,8.030051074
5681,2.298649778,8.020108262
5682,2.307938494,8.05284574
5683,2.297730615,8.045192576
5684,2.316602006,8.051049168
5685,2.291478999,8.048942261
5686,2.310355453,8.038021197
5687,2.288801839,8.052980347
5688,2.274792403,8.067641976
5689,2.281015895,8.101886908
5690,2.286196658,8.121774262
5691,2.291581139,8.113414466
5692,2.273674291,8.131333375
5693,2.273674291,8.131333375
5694,2.273674291,8.131333375
5695,2.275392315,8.138057752
5696,2.275392315,8.138057752
5697,2.244936351,8.153749614
5698,2.244936351,8.153749614
5699,2.246958285,8.117809038
5700,2.247870307,8.157452395
5701,2.250278103,8.147837189
5702,2.250278103,8.147837189
5703,2.238342636,8.151260229
5704,2.254238065,8.173714273
5705,2.265408559,8.156918149
5706,2.259477096,8.152701601
5707,2.270725016,8.171632457
