"Iteration","Bx x Bx","By x Bx","By x By"
1,3.148452097,-0.2066318541,4.203399126
2,3.061623716,-0.1120464483,4.11577504
3,3.160342413,-0.1183607249,4.322670455
4,3.161519854,-0.03501732227,4.177273036
5,3.181950804,-0.1063061701,4.017760196
6,3.209131919,-0.2127383535,4.272682379
7,3.243033049,-0.1588137629,4.077296916
8,3.227259522,-0.1790882337,4.234306021
9,3.250306716,-0.01017434871,4.094593774
10,3.268695243,-0.02802711093,4.067181762
11,3.263761018,-0.07802941738,4.000099429
12,3.298105765,0.007953257914,4.031976677
13,3.279425617,0.02491020738,3.943550198
14,3.260667079,0.07994577116,3.883117551
15,3.299276033,0.0007679293199,3.835729758
16,3.160381368,-0.1445261595,3.956075327
17,3.164437899,0.01454455018,3.984342203
18,3.259315556,-0.03453644063,3.982866573
19,3.222829627,-0.09436556094,4.075989568
20,3.249718707,-0.06947931014,3.956235549
21,3.134785955,-0.1195414103,3.954341242
22,2.982643177,-0.08691496296,3.995731818
23,3.166417353,-0.03757929113,4.013459569
24,3.197029035,0.01237692109,4.037995339
25,3.255477324,-0.03770435365,3.87936599
26,3.212208154,-0.1255654323,4.070050803
27,3.218124932,-0.2237370587,4.053388535
28,3.221071082,-0.1663976168,4.0169722
29,3.167398853,-0.1275034415,4.027295891
30,3.082293833,-0.1583645807,4.00670865
31,3.175007515,-0.1858446137,3.869323496
32,3.215008346,-0.2253792105,4.014891112
33,3.301407969,-0.1991556052,3.983402055
34,3.272495308,-0.1943932045,3.909233912
35,3.086593091,-0.1998400668,3.931596875
36,3.225542807,-0.2653223669,3.824936729
37,3.26765071,-0.196443601,3.846945247
38,3.277524936,-0.175534893,3.924727444
39,3.351721547,-0.1668694583,3.910601871
40,3.226741345,-0.3083076286,3.876330332
41,3.2885275,-0.2633133811,3.97700149
42,3.337251113,-0.2706248006,4.049846724
43,3.28828127,-0.3119252719,3.941064423
44,3.431052657,-0.2763422426,4.005853717
45,3.452408425,-0.3408507327,3.995591057
46,3.335535764,-0.2830365125,3.999931187
47,3.460669199,-0.4559076419,4.032781668
48,3.351105096,-0.2658547927,4.022961511
49,3.302821517,-0.3391882729,3.946238926
50,3.329440758,-0.2717709749,4.071990396
51,3.290246459,-0.3483147674,4.145854192
52,3.494108845,-0.2509856769,4.112181891
53,3.323946032,-0.3108972639,4.089300149
54,3.317027626,-0.3209622173,4.115689648
55,3.335850651,-0.2796545028,4.170007976
56,3.31609259,-0.4029459837,4.164881138
57,3.285589756,-0.3064536878,4.080407689
58,3.320542021,-0.1938847195,3.94644202
59,3.354760365,-0.1529312055,3.882146669
60,3.265966963,-0.193127195,4.173909481
61,3.236147385,-0.2031423044,4.012350185
62,3.163303817,-0.1630504093,4.05344536
63,3.13436601,-0.07266817372,4.072154413
64,3.136443988,-0.05762636284,3.984837878
65,3.274116507,-0.1360034708,3.985836543
66,3.151895399,-0.1319261695,4.069620692
67,3.267154829,-0.2086078335,4.077331846
68,3.156152018,-0.03975665766,3.988927134
69,3.145202869,-0.06185806437,4.06978367
70,3.292224781,0.07088219868,4.113021177
71,3.156943635,-0.01540633798,3.847532103
72,3.100443675,-0.001185757915,4.075301648
73,2.97577665,0.005729607104,4.178806698
74,3.03771495,-0.102500601,4.055187823
75,2.970805969,-0.06170040445,4.046818187
76,3.000508678,-0.2097025805,4.123936533
77,2.930655929,-0.1086583539,4.086202695
78,2.921684548,-0.04300512873,4.248175454
79,2.9385727,-0.1257062148,4.100142842
80,2.94867186,-0.1421900474,4.077563706
81,3.112567578,-0.09430228356,4.092169508
82,3.093408198,-0.04741651432,4.121000526
83,3.02784675,-0.1169175514,4.107763575
84,2.971025722,-0.05319020809,4.12669604
85,2.977377674,-0.1570557754,4.000183306
86,2.921642571,-0.04111237916,3.920267184
87,3.092789909,-0.1670650722,4.029777197
88,3.069852618,-0.1573154035,3.818832534
89,3.061646491,-0.2861102768,4.199185922
90,3.122946459,-0.1095563799,3.950898369
91,3.201656546,-0.1846825447,3.920419139
92,3.029299775,-0.1759404938,3.848285009
93,3.150157357,-0.1760723587,3.983261738
94,3.116975826,-0.1505653123,3.859879648
95,3.125533478,-0.1518172803,3.901698826
96,3.12293763,-0.1297811694,3.660642277
97,3.051455969,-0.1622565373,3.70917391
98,3.084225346,-0.1643172354,3.946102814
99,3.151028301,-0.1858849323,3.951809032
100,3.055965826,-0.1536834808,3.846486628
101,3.09028876,-0.1519177486,4.072546896
102,3.032386394,-0.1736785401,3.688115743
103,3.091040315,-0.1994181809,3.897001484
104,3.090182758,-0.1666308148,3.916729472
105,3.069370794,-0.206588523,4.02781254
106,3.15986816,-0.1983946464,4.003712434
107,3.217859212,-0.1287265181,3.964711879
108,3.183831733,-0.1944291521,3.919541782
109,3.296231896,-0.10027221,3.927050929
110,3.214556167,-0.1155821359,4.085070191
111,3.200840875,-0.0954578029,4.029906192
112,3.117229052,-0.1832523781,4.04773901
113,3.086563738,-0.0802580493,3.9445079
114,3.198595588,-0.08302790098,3.872899545
115,3.359122596,-0.1041566722,3.934626905
116,3.364644419,-0.005833677164,3.792601396
117,3.236169076,-0.1258250424,3.944356025
118,3.296173433,-0.05965174409,3.537937559
119,3.314042184,-0.02167491101,3.723991867
120,3.579804648,-0.005006954042,3.767096658
121,3.479112796,-0.03773884126,3.706887776
122,3.535212953,-0.01258058749,3.699127323
123,3.479639881,-0.02066108296,3.682085661
124,3.419260153,0.07637938845,3.659810167
125,3.504831098,0.0521503229,3.601720834
126,3.608864459,0.01348064358,3.689692037
127,3.614810888,0.02367395124,3.634792064
128,3.398513015,0.0787955057,3.70238787
129,3.536317551,0.1580710521,3.776443405
130,3.539404176,0.1194904881,3.610327808
131,3.488759446,0.1063279516,3.702230332
132,3.627974892,0.1114714062,3.707801212
133,3.633984324,0.1048608917,3.741316945
134,3.486832936,0.0199436181,3.619153652
135,3.524036598,0.1308964523,3.651223331
136,3.494875131,0.1011936463,3.569710348
137,3.553282882,0.0916382058,3.681441612
138,3.435296342,0.07758475903,3.627356233
139,3.563423846,0.04721919738,3.734353335
140,3.446231947,-0.07192647189,3.769575623
141,3.674974189,0.03050960466,3.883433973
142,3.586390312,-0.07986646908,3.721755598
143,3.651393235,-0.04463195641,3.93397141
144,3.772417482,-0.134849823,3.734164621
145,3.639920555,-0.07723537681,3.748725298
146,3.620734617,0.05669147789,3.710515525
147,3.708822256,0.02344867684,3.898062206
148,3.692288911,0.02774300627,3.988376903
149,3.65720185,-0.1163087573,3.997148008
150,3.537270891,0.01537528645,3.9426186
151,3.601709095,-0.07521415015,3.840441523
152,3.43166453,-0.1889483249,3.941120417
153,3.642122028,-0.1919705054,3.934381375
154,3.562222845,-0.2144067658,4.017094415
155,3.67184465,-0.1125930032,3.975642944
156,3.695868708,-0.08938089366,3.848015627
157,3.541141415,-0.1009281748,3.914562856
158,3.714685822,0.03120828057,4.189980259
159,3.681000712,-0.07875056291,4.095660002
160,3.574421634,-0.09023014783,3.958497831
161,3.781991856,-0.1420689892,4.139309063
162,3.644182407,-0.02249621785,4.104026317
163,3.622668496,-0.1264196065,4.075860336
164,3.638940031,0.0160008189,4.23463837
165,3.811624241,-0.000727104796,4.201567879
166,3.659033586,0.01734852686,4.172291079
167,3.78357278,0.04429389369,4.079050218
168,3.702558126,0.01615859644,4.039977228
169,3.764485097,-0.009858779088,4.053248802
170,3.701339313,-0.02487262268,4.005766527
171,3.631293052,0.02000725934,3.977163705
172,3.685507027,-0.016724039,3.909085118
173,3.730720827,-0.0408255416,4.145506717
174,3.824908145,-0.02408222852,3.974283106
175,3.770180831,-0.1270453637,3.968232659
