"Respondent","Bx","By"
1,-1.413449388,1.78818192
2,-0.123563993,-2.253151943
3,0.6085205585,0.4463003816
4,1.909539658,-1.001419656
5,1.075277948,-0.2270874236
6,2.412806088,-1.906763401
7,-0.2211788256,-2.214056202
8,2.669391645,2.409856294
9,0.9385656816,-2.513770748
10,2.826153421,0.7352615991
11,2.44400912,-0.8682867294
12,-0.426253062,-1.985415967
13,-0.6660346004,3.438947798
14,2.960132423,-0.919414811
15,1.913374274,-1.000525608
16,1.682168575,-1.182819023
17,2.862464157,-1.772425841
18,0.08828324868,-2.266551343
19,2.866215481,1.498880651
20,-0.9263060237,-1.709232296
21,-1.344279259,1.778135815
22,2.684840847,0.06388288523
23,1.064004279,-1.010057982
24,-0.5955404574,-1.974239683
25,2.598420853,-1.146082735
26,1.841609646,2.061694676
27,2.334817426,2.025216038
28,1.632072242,-0.161130001
29,0.7133225524,0.1704737511
30,2.652370728,-2.162830619
31,-0.8197588291,-1.728920052
32,2.673940089,1.116958454
33,-0.6247642586,-1.981815861
34,2.482407962,0.9780983477
35,0.01067047027,-2.213389094
36,-0.3608713197,-2.083575171
37,-0.4218437222,-2.187872478
38,1.815510816,-1.028503604
39,-0.2341535681,2.031509608
40,-0.7669292368,-1.818249669
41,3.355623821,-0.6775415964
42,0.1024166205,-2.304612153
43,-0.2352626454,-2.114499055
44,-2.211943539,1.526972912
45,1.554289988,1.245843599
46,-0.5871526688,-2.121532172
47,-0.4934463701,-2.171405249
48,1.731655197,-0.8328369237
49,-0.3589026306,-2.093487842
50,3.014131962,1.675937186
51,2.687197499,1.208883099
52,-0.8031300421,-1.76457862
53,2.770593286,0.731455345
54,1.392473879,-2.421086427
55,-0.7453686755,-2.014594384
56,-0.5992638812,-1.92852657
57,2.805448465,-2.033409274
58,2.340690123,1.735214794
59,0.02650763319,-2.251874512
60,-0.9415022262,-1.644632816
61,-1.020979395,-1.827630492
62,0.7727379679,-1.6276724
63,-0.3310231378,0.5446582793
64,-0.2721289172,-2.174054015
65,-0.8364608088,-1.818433601
66,3.218964467,-2.77452079
67,-0.2079149372,2.85037507
68,3.182511101,0.9643410716
69,2.916567002,-1.441047488
70,0.7902874002,1.756049368
71,0.1924049374,-2.178002351
72,0.8762646656,-0.104209514
73,2.733130759,-2.231832962
74,-0.4319490375,-2.105022723
75,-0.9644451201,-1.991812944
76,-0.9737155445,-1.665814994
77,2.86809482,-0.6241794783
78,-0.9735934003,-1.802308988
79,-0.9065345075,-1.882924316
80,-0.1660679858,-2.261715205
81,1.641794027,-2.383814173
82,-0.7490025862,-2.040186107
83,1.942307425,-1.756650997
84,-0.3383449061,-2.172477236
85,-1.547357292,2.013532359
86,2.361434,-2.794530664
87,1.333907285,0.005743619306
88,2.345495919,1.427982875
89,2.153685784,1.289265343
90,-0.436371836,-1.997419157
91,1.19978598,-2.130484749
92,0.1399484308,-2.349135678
93,1.945898432,-2.178148726
94,2.229840044,-1.297624117
95,1.563399854,-2.485335441
96,-0.04295279445,-2.260298892
97,0.09435483413,1.66370248
98,-0.8363515983,-1.988309398
99,3.198630434,-3.334947705
100,2.300806568,1.266358336
101,0.1785480535,-2.194634119
102,1.548920829,-2.063263074
103,2.237053512,0.2792704193
104,2.955926073,1.337926607
105,-0.4982887045,-2.205944914
106,2.093491515,1.714196102
107,2.445602501,1.894052187
108,1.312378825,-2.462894385
109,-0.3658618403,-2.236045136
110,0.2508537032,0.3207836293
111,2.782669903,1.220182186
112,2.656504286,0.7580331757
113,-0.814432581,2.332044854
114,-0.7447782316,-2.039825856
115,-0.6503263637,-2.07930142
116,2.883663511,1.111320153
117,-0.8752136043,-1.737266618
