"iteration","Bx","By"
5001,0.9156068942,-0.9768615865
5002,0.9060583737,-0.935923175
5003,0.9198604637,-0.9592838067
5004,0.9002147348,-0.8712537176
5005,0.8904083303,-0.9401639702
5006,0.9067825285,-0.9446483195
5007,0.9689064354,-0.8756491242
5008,0.9254077869,-0.8297872905
5009,0.9316921499,-0.8967282504
5010,0.8832873452,-0.8758385315
5011,0.9400317288,-0.970463178
5012,0.9367230712,-0.897020174
5013,0.9325043244,-0.9158245182
5014,0.9069394294,-0.9483371442
5015,0.9266770399,-0.9459975956
5016,0.896654918,-0.951164905
5017,0.8953397106,-0.9143135548
5018,0.9418478475,-0.9155081262
5019,0.899554937,-0.9048891396
5020,0.8836286779,-0.9333105055
5021,0.9030040126,-0.924316316
5022,0.8785057619,-0.8974460589
5023,0.8780369758,-0.9227444741
5024,0.8877648463,-0.8735327115
5025,0.9318029996,-0.9397757429
5026,0.9473545201,-0.8933378911
5027,0.9196226147,-0.9529449114
5028,0.9621709341,-0.9871652507
5029,0.9190955243,-0.8955234074
5030,0.9094598061,-0.9676539106
5031,0.9233854491,-0.9485519767
5032,0.9000914609,-0.9406985226
5033,0.9187988949,-0.9322477007
5034,0.9417819765,-0.9569925798
5035,0.9134275493,-0.9358893933
5036,0.9581653112,-0.9768246881
5037,0.9070076678,-0.9249672908
5038,0.9546490518,-0.960225646
5039,0.950151382,-0.8816458865
5040,1.009669213,-0.9705621317
5041,0.9657471592,-0.9198662328
5042,0.9620760632,-0.9428051679
5043,0.9539474745,-0.8630818512
5044,0.9632230293,-0.8867504489
5045,0.9955679834,-0.9293686171
5046,0.9340241238,-0.9303737969
5047,0.9143880861,-0.8813199069
5048,0.902943085,-0.8913857277
5049,0.9313023896,-0.897027827
5050,0.940619467,-0.9296126228
5051,0.9020407889,-0.919050631
5052,0.8977618157,-0.9717699379
5053,0.9494209542,-0.9382945491
5054,0.946427982,-0.824929866
5055,0.9062744674,-0.949252756
5056,0.9455779739,-0.9782054533
5057,0.9074721865,-0.8883623817
5058,0.9687664575,-0.9365450971
5059,0.9118836686,-0.9381010556
5060,0.9686486669,-0.9301569684
5061,0.9685315813,-0.9626960429
5062,0.9541506233,-0.8594078048
5063,0.9706312749,-0.9241918895
5064,0.9599699523,-0.8789098535
5065,0.9345073987,-0.8952868973
5066,0.9492005402,-0.9559661358
5067,0.9909267512,-0.9338728342
5068,0.9163301819,-0.9023160533
5069,0.9403264387,-0.9365248436
5070,0.9433141,-0.8999541555
5071,0.9420804069,-0.9787213078
5072,1.004278938,-0.9290562782
5073,0.9081290636,-0.9514001938
5074,0.9503070015,-0.9232118329
5075,0.93722764,-0.9252310773
5076,0.9196535567,-0.8906421261
5077,0.9749444771,-0.8777546913
5078,0.9335461275,-0.9037121122
5079,0.9135716568,-0.9551439477
5080,0.9255942501,-0.9417344279
5081,0.9116838332,-0.9116843952
5082,0.9545872866,-0.9019456502
5083,0.9284813982,-0.8351613946
5084,0.9135795122,-0.9852607654
5085,0.9416157597,-0.8999486353
5086,0.8905514321,-0.9346425655
5087,0.9026033112,-0.8824859096
5088,0.9292741949,-0.9392558452
5089,0.9270192089,-0.9519075821
5090,0.9244071292,-0.8912745199
5091,0.867366296,-0.88717494
5092,0.9344833503,-0.9254832654
5093,0.8907170263,-0.9024320649
5094,0.9003769754,-0.8752656304
5095,0.9334236074,-0.8287171036
5096,0.9561188789,-0.8887977164
5097,0.909657071,-0.8514393179
5098,0.9757941472,-0.8949568665
5099,0.981364426,-0.8458626626
5100,0.9753396224,-0.8627550321
5101,0.9500683812,-0.9043039826
5102,0.9273420817,-0.8942404608
5103,0.9612694175,-0.895706798
5104,0.9689422772,-0.897575197
5105,0.951581946,-0.8560145406
5106,0.925388764,-0.8835721882
5107,0.9102898646,-0.8250789271
5108,0.9618554077,-0.8648582549
5109,0.8971838412,-0.8711343378
5110,0.8966748552,-0.8998143292
5111,0.8818669482,-0.8298718524
5112,0.9022181676,-0.8783349885
5113,0.9290454913,-0.8734913205
5114,0.8708840612,-0.8390309947
5115,0.9162215196,-0.845295135
5116,0.9197940596,-0.8556416703
5117,0.9045254483,-0.8597326568
5118,0.9376591044,-0.8667122696
5119,0.8887949582,-0.8547598522
5120,0.9255687339,-0.8284619838
5121,0.8963309268,-0.8593522877
5122,0.8987336626,-0.8716863214
5123,0.9340326818,-0.9188920259
5124,0.92382708,-0.9259272257
5125,0.9470937777,-0.9007706017
5126,0.8985843227,-0.8857713587
5127,0.8848041752,-0.8979844398
5128,0.9308708798,-0.9227610929
5129,0.9784894283,-0.8702578365
5130,0.9229162819,-0.8715054199
5131,0.9232233307,-0.9097473921
5132,0.9359715502,-0.9833278312
5133,0.9368363981,-0.9109167489
5134,0.9096172461,-0.9118274405
5135,0.9015676432,-0.8807107134
5136,0.9154401246,-0.9451784715
5137,0.9433211047,-0.9277922549
5138,0.8984116703,-0.9054807403
5139,0.9109578478,-0.8917454246
5140,0.9402343778,-0.8790797433
5141,0.9689854793,-0.9323854486
5142,1.005904424,-0.8898937181
5143,0.8988867477,-0.9173381115
5144,0.9380613492,-0.9464679097
5145,0.8806594251,-0.9622731476
5146,0.8681332253,-0.9235359618
5147,0.8911316481,-0.9548301231
5148,0.8917693501,-0.9373622594
5149,0.9435304354,-0.8951507215
5150,0.9384992337,-0.8850236491
5151,0.9367995267,-0.9033025795
5152,0.8926675434,-0.8976930507
5153,0.9092096913,-0.8898796924
5154,0.9086779306,-0.8540114509
5155,0.9673041459,-0.8811613695
5156,0.9354124968,-0.9069310553
5157,0.9701412655,-0.9210244777
5158,0.9274606711,-0.9518782214
5159,0.9460357954,-0.9223799652
5160,0.9410245771,-0.9095675019
5161,0.9539719286,-0.9444058234
5162,0.9673562117,-0.9586575748
5163,0.9299022862,-0.9608586791
5164,0.9084034436,-0.9985886086
5165,0.9006404124,-0.9905856209
5166,0.8997202991,-0.9479357261
5167,0.9175055808,-0.9058260498
5168,0.9687590486,-0.9499243848
5169,0.9223458081,-0.9109246878
5170,0.964969131,-0.9689546817
5171,0.9613258047,-0.9479970432
5172,0.9493846644,-0.9246579072
5173,0.9668630408,-0.8853700089
5174,0.9509300957,-0.9492473887
5175,0.9574174718,-0.8480138826
5176,0.9735661592,-0.8836539517
5177,1.012961946,-0.9516224338
5178,0.9609565285,-0.8693340444
5179,0.9807028144,-0.9466555522
5180,0.9516142836,-0.8664674546
5181,1.001827535,-0.8699674496
5182,0.9531657177,-0.9084969673
5183,1.005503698,-0.9311613732
5184,0.9801211653,-0.9337537233
5185,0.999033391,-0.87046937
5186,0.9630277129,-0.915273367
5187,1.003186357,-0.9270819335
5188,0.9973547455,-0.8884894507
5189,1.015871119,-0.8960662626
5190,0.9419914108,-0.9091790617
5191,0.9139103281,-0.8976708359
5192,1.011670306,-0.9560521824
5193,0.9602218495,-0.8998712169
5194,0.9253450584,-0.9039671127
5195,0.9615288309,-0.866626014
5196,0.9688325171,-0.8837097207
5197,0.9433403033,-0.90932698
5198,0.9898565624,-0.8824845817
5199,0.9619811703,-0.9422098825
5200,0.9063886403,-0.922992728
5201,0.9495267545,-0.9324123277
5202,0.9187446512,-0.9253549256
5203,0.9226206207,-0.9182591119
5204,0.94897032,-0.8736391157
5205,0.9098974125,-0.8999558507
5206,0.9248995552,-0.870066934
5207,0.9296996256,-0.9156765131
5208,0.9633744967,-0.9292249372
5209,0.9830233025,-0.8982468603
5210,0.963620646,-0.8371170031
5211,0.946245661,-0.870515965
5212,0.958117874,-0.9036590659
5213,0.9093681983,-0.8809666889
5214,0.957478892,-0.8371639348
5215,0.9007201124,-0.8396215096
5216,0.8904524897,-0.8484744475
5217,0.9025136112,-0.8153013858
5218,0.8754222036,-0.8199533756
5219,0.8872624987,-0.8451199227
5220,0.8778999361,-0.7663504064
5221,0.9047252579,-0.8353869058
5222,0.9161689724,-0.8315944928
5223,0.8739239226,-0.8397142941
5224,0.9028486377,-0.8392674898
5225,0.9111229785,-0.7959895256
5226,0.893828187,-0.8584997252
5227,0.9376730032,-0.850237565
5228,0.8960158897,-0.8539495923
5229,0.9237828545,-0.8484143423
5230,0.9385908296,-0.8285244424
5231,0.9657369271,-0.7901945146
5232,0.9441053063,-0.8206096257
5233,0.9827721772,-0.8319190235
5234,0.9059695861,-0.7845549254
5235,0.9581981907,-0.8747117457
5236,0.9197525909,-0.8658095185
5237,0.8901245458,-0.8625525335
5238,0.9508109762,-0.8520230606
5239,0.9447696341,-0.8483610304
5240,0.9610569056,-0.849483837
5241,0.9540558713,-0.8819558439
5242,0.9492917381,-0.8427277277
5243,0.9169401717,-0.8671159757
5244,0.9193463973,-0.8990574096
5245,0.9217732445,-0.8629225647
5246,0.9600460474,-0.8931455879
5247,0.9393500285,-0.9248210141
5248,0.9176674787,-0.8814274847
5249,0.9637302519,-0.8746114187
5250,0.9302778763,-0.875972356
5251,0.8954666565,-0.8883832407
5252,0.8958908399,-0.966395906
5253,0.9046777057,-0.9450788725
5254,0.9463096261,-0.9028281706
5255,0.9529724676,-0.8978598787
5256,0.9494801283,-0.9141491921
5257,0.9499686488,-0.9093412912
5258,0.9298799021,-0.8706803092
5259,0.9644805296,-0.9001783882
5260,0.9045296682,-0.9006417196
5261,0.9165541736,-0.8924684864
5262,0.9582808946,-0.9004326941
5263,0.9243021354,-0.885000559
5264,0.942291508,-0.8707340525
5265,0.9108606855,-0.8522470414
5266,0.9880099078,-0.8306538331
5267,0.9738389191,-0.8673393915
5268,0.9399299968,-0.8414090685
5269,0.9359234748,-0.8533374962
5270,0.9697319611,-0.8612353158
5271,0.9100735176,-0.8701820545
5272,0.9757858543,-0.8686563055
5273,0.9245536386,-0.8716694923
5274,0.9994699011,-0.8281255305
5275,0.9879460664,-0.8955762886
5276,0.9949371808,-0.8850297959
5277,0.9708245914,-0.857925752
5278,0.9649142917,-0.8593341068
5279,0.9493514967,-0.8978950945
5280,0.9414965679,-0.8680497071
5281,0.9390661367,-0.8916365947
5282,0.9324551336,-0.9101213014
5283,0.9839218935,-0.9023715846
5284,0.9767591257,-0.9068455797
5285,0.9386394337,-0.8927023683
5286,0.9946807208,-0.8408273356
5287,0.9682404782,-0.8917563653
5288,0.9736006136,-0.9014434507
5289,0.955453234,-0.8958480625
5290,0.922702319,-0.8836610488
5291,0.968782884,-0.884377362
5292,0.9764448952,-0.9045176963
5293,0.9535721644,-0.8912383147
5294,0.9711695068,-0.9230871097
5295,0.9857084168,-0.8862668564
5296,0.9776833225,-0.9135561508
5297,0.9417708925,-0.938539248
5298,0.97923145,-0.8946183779
5299,0.9191524581,-0.9335662694
5300,0.9605354002,-0.8846240059
5301,0.9273601876,-0.8969962309
5302,0.8920829631,-0.9007448819
5303,0.9756163492,-0.8955770678
5304,0.9688918736,-0.8998880469
5305,0.8910449266,-0.8690021022
5306,0.9544734517,-0.9082563059
5307,0.9168629739,-0.9282176878
5308,0.8753099622,-0.9083959131
5309,0.9022981315,-0.8305513971
5310,0.8993441707,-0.8933907675
5311,0.9226654009,-0.8242395196
5312,0.8577465789,-0.8767988747
5313,0.8857187348,-0.8408066433
5314,0.8336426932,-0.8853457545
5315,0.8870529292,-0.8648995898
5316,0.9202895662,-0.8641371915
5317,0.8905933665,-0.8673845209
5318,0.904801241,-0.8599610906
5319,0.8896195694,-0.8768703831
5320,0.8751755292,-0.7978476363
5321,0.8813697218,-0.8116011928
5322,0.8556780267,-0.8303475855
5323,0.8469650755,-0.848856566
5324,0.9187445988,-0.792758126
5325,0.9368976542,-0.787097481
5326,0.8713187441,-0.8525025632
5327,0.8728682638,-0.8079850555
5328,0.8878974545,-0.8825974234
5329,0.9310644178,-0.8171145957
5330,0.8736312352,-0.8520403913
5331,0.8591183413,-0.8436354679
5332,0.8608622683,-0.8228103833
5333,0.9096904215,-0.8443203431
5334,0.8573578117,-0.8679957997
5335,0.9056400012,-0.8376073261
5336,0.8950898013,-0.9024501822
5337,0.8848697947,-0.83515095
5338,0.8881148403,-0.8816156602
5339,0.8887612714,-0.8905105773
5340,0.9041588132,-0.8561500315
5341,0.8668045442,-0.873682676
5342,0.8815375941,-0.8210372679
5343,0.8821281305,-0.8555305658
5344,0.9001218543,-0.8865873209
5345,0.9346760418,-0.8255071972
5346,0.937793194,-0.8341008673
