"Respondent","Bx","By"
1,0.7842068364,0.6080496029
2,1.376971676,1.511597368
3,0.3912748121,0.2331816484
4,0.596639194,0.5377136622
5,0.3453520088,0.3050403832
6,0.8680228152,1.422364089
7,1.34889908,1.600014579
8,1.420249582,1.102801994
9,0.4215257915,1.29066992
10,1.243240647,1.589139475
11,1.09889005,0.9995869799
12,1.422017957,1.636198067
13,0.5023759411,0.8859292579
14,1.091230566,0.6682744815
15,0.6909198568,0.8946317529
16,0.574984789,0.6264000828
17,0.9234332285,0.8155672099
18,1.581930036,1.533730191
19,1.315261868,1.289438109
20,1.010741384,1.605097066
21,0.8288865137,0.5756240778
22,1.158827197,1.741118371
23,0.4535704056,0.7942939984
24,1.205325261,1.508933026
25,1.099391737,0.8142539668
26,1.611727027,1.052408613
27,1.22927086,0.9793020029
28,0.5939894826,0.7725959242
29,0.4266034922,0.3276911665
30,0.9286101362,1.133675945
31,1.16159911,1.645691449
32,1.284218131,1.386627957
33,1.252616047,1.569682017
34,1.340657999,1.368776366
35,1.480039612,1.478686192
36,1.314558518,1.695050954
37,1.301670657,1.500354294
38,0.7333135999,0.7062401565
39,0.5875112617,0.914827269
40,1.228879794,1.908573881
41,1.191077614,0.6957181721
42,1.523645458,1.539022746
43,1.491204816,1.539835481
44,0.9468019338,0.5017208922
45,1.439440805,0.6789140852
46,1.159661034,1.579111424
47,1.374366354,1.653269117
48,0.6255309893,0.7948262482
49,1.328438051,1.493065252
50,1.626772959,1.576976014
51,1.390832118,1.308549039
52,1.104053325,1.481353144
53,1.216386517,1.273192157
54,0.485438923,1.117826542
55,1.138372782,1.553326478
56,1.299940843,1.728621027
57,1.055759044,1.100959663
58,1.43055628,1.102392787
59,1.543815224,1.553368232
60,1.038904157,1.727346947
61,1.122707126,1.664846437
62,0.2357084109,1.161155088
63,0.7074662715,0.3889556106
64,1.370305959,1.530636388
65,1.049340133,1.755611086
66,0.8763626526,1.112718117
67,0.4317813458,1.104188015
68,1.271269958,1.442559422
69,1.089188929,0.8782785578
70,0.5859340195,0.880006416
71,1.530299876,1.481030726
72,0.3621880138,0.4026122452
73,0.9590645938,0.9912615361
74,1.355871036,1.622231157
75,1.115755932,1.552576581
76,1.08101859,1.590722584
77,1.038566954,0.5092079817
78,0.9984191307,1.624534171
79,1.025987518,1.697735842
80,1.318398499,1.500237388
81,0.6620441133,1.189629644
82,1.116708709,1.643869662
83,0.9994076653,1.027837186
84,1.317982719,1.60003182
85,0.7264244236,0.7744140226
86,0.8395874724,1.210930884
87,0.8117446347,0.4766383464
88,1.511225022,1.174696629
89,1.44539573,1.361015402
90,1.341525914,1.720680296
91,0.4967054395,1.243056768
92,1.594716443,1.628797496
93,0.852395997,1.059804077
94,0.8676070712,1.172866823
95,0.6918448371,1.26311318
96,1.412716819,1.491375481
97,0.6761807696,0.790949666
98,1.204513002,1.669093288
99,0.8904101693,1.176923757
100,1.415153286,1.263297619
101,1.723360097,1.542846132
102,0.4712845743,1.039092362
103,0.877899678,0.3332912536
104,1.188778364,1.228339293
105,1.385013353,1.556104719
106,1.466496575,1.104238626
107,1.350398447,1.083839741
108,0.5504926756,1.269645218
109,1.132190251,1.552610352
110,0.8397816247,0.4512846869
111,1.356985845,1.366781299
112,1.337356062,1.596596933
113,0.8686584792,0.7758689828
114,1.210880531,1.617778943
115,1.146297656,1.485773703
116,1.295298036,1.319153047
117,1.056153865,1.598304918
118,0.9115112658,0.6116760144
119,1.050528665,1.828879089
120,1.284652056,1.591381814
121,0.5740058617,0.8601671234
122,1.331343423,1.164141757
123,1.353992758,1.545917832
124,1.244807732,1.614119253
125,0.9670813049,0.9666476302
126,1.230991961,1.216841249
127,0.8801813273,0.684703527
128,1.359421893,1.210625259
129,1.147874955,1.682321413
130,1.40408675,1.037687917
131,0.9508108286,1.289594993
132,0.5288057726,1.243589858
133,0.594293226,0.6328276384
134,1.118014466,1.609952008
135,1.263646546,1.56109407
136,0.6662235301,1.464417695
137,0.3252176962,1.00840661
138,1.569252686,1.621736245
139,0.7061413392,1.130551654
140,1.398310463,1.75286563
141,1.501212667,1.535495831
142,1.412826791,1.659498791
143,1.455111224,1.486285336
144,1.160098162,1.516897902
145,1.265342643,1.769160664
146,1.008300131,0.6960532637
147,1.399062726,1.70256538
148,1.318759888,1.624825993
149,1.294635346,1.677332559
150,1.087318499,1.735702432
151,1.318112885,1.035359571
152,1.148001373,0.7769575345
153,1.114513814,0.8279217578
154,1.002655311,0.8200804296
155,1.260383791,0.5817410623
156,1.131270876,1.82576984
157,1.38756676,1.538049342
158,1.613652862,1.552633251
159,0.3578925064,0.4514356488
160,1.395381516,1.679202908
161,1.318162191,1.589417407
162,1.152825263,1.597187728
163,0.9338390127,0.2882928122
164,1.084002388,1.426308901
165,1.19068514,1.713074128
166,1.185258676,1.593018104
167,1.385122595,1.097472209
168,1.349679053,1.741709359
169,0.4638816825,0.6080051429
170,1.514660741,1.800866404
171,1.162451716,0.3736594758
172,1.372802091,1.206418676
173,1.187831674,1.590531836
174,1.252771853,1.703266905
175,1.226072185,1.475843228
176,1.406984102,1.645541977
177,0.8838490848,0.9179617429
178,1.323241004,1.518795251
179,1.116156594,1.728375293
180,0.4433933683,1.406037778
181,0.3858127682,0.2556084169
182,1.177103692,1.285814196
183,0.6348911948,0.929098367
184,0.8398732367,0.4436219032
185,1.550452317,1.466150601
186,1.111203219,1.565788414
187,0.5435906974,0.7733216351
188,1.19724775,1.671697602
189,1.083771162,0.5542998202
190,1.273090682,1.414785239
191,0.4718945316,1.060499079
192,0.9332550236,0.8158701809
193,1.232970596,1.42701288
194,1.029177897,0.9760710497
195,1.08343579,0.6754237691
196,1.466279457,1.538318459
197,0.8100958712,0.6204528795
198,1.066860785,1.770631562
199,1.363876356,1.658061446
200,0.27460872,0.9528169553
201,0.9945583051,1.194102139
202,1.261292662,1.747132577
203,1.14110449,0.3245505253
204,1.360930482,1.712448436
205,0.8308570561,0.6957897132
206,1.22032463,1.684159328
207,1.286637038,1.715083098
208,0.7045668523,1.025831998
209,1.464808098,1.304222868
210,0.8374940514,1.080194241
211,1.336412219,1.806627204
212,1.210110008,0.7337645127
213,0.621038929,1.250717978
214,1.361464506,1.593847577
215,1.218836051,1.519492546
216,0.4214306634,1.100095077
217,1.389829644,1.57623664
218,1.435388568,1.597713182
219,1.242549669,1.549690777
220,0.6846103142,1.043126625
221,0.3648051928,1.248540853
222,1.221910924,1.658318249
223,0.8647679227,1.267808016
224,1.674343447,1.479091169
225,1.181869347,0.9376541528
226,0.5176435151,1.244604425
227,0.7665308202,1.282614781
228,1.206026097,1.67253977
229,1.383982272,1.181079114
230,1.223720974,1.566537315
231,1.153692872,0.5718544761
232,1.104992483,0.7368434588
233,0.50172793,1.310704693
234,0.6397022391,0.7883850394
235,1.5848956,1.340226179
236,1.126779142,1.481691905
237,1.698615183,1.395390333
238,1.45375879,1.533756038
239,1.298961787,1.573944907
240,0.9705752616,1.395408542
241,1.086641832,1.445965838
242,1.57399155,1.176207894
243,1.352104948,1.638923062
244,1.132830046,1.700038465
245,1.340105805,1.509980168
246,0.5773034568,1.221060712
247,1.183960485,1.132612229
248,1.091972881,1.573080015
249,1.535979248,1.565175316
250,1.476888637,1.537773078
251,0.8764736392,0.9935772194
252,0.8328920702,1.011733161
253,0.7849127717,0.4054265011
254,1.35606424,1.618587996
255,1.791867212,1.33777945
256,0.3162071708,0.982524676
257,0.7633577568,0.7675234315
258,1.355641068,1.337808784
259,0.8183461133,1.187050154
260,0.6624807571,1.071752209
261,1.468182005,1.506744934
262,0.308929564,1.082909557
263,0.692654966,1.223287009
264,1.329825991,1.41899781
265,0.2655307032,0.6289653185
266,1.59304171,1.614227025
267,1.181600973,1.568820734
268,1.275007825,1.448395998
269,1.222174922,1.161034101
270,1.29157389,1.549260158
271,1.577308452,1.480635858
272,1.364790634,1.205989907
273,0.891538806,1.079881715
274,0.6419938904,0.4931522798
275,0.9219500643,0.9689114583
276,0.8727219066,0.8916564564
277,1.382815147,0.7900588545
278,1.143838175,1.614032383
279,1.065217506,1.588857069
280,1.242803086,1.140800669
281,1.258157491,1.135661357
282,1.268375655,1.180916252
283,1.429772235,1.74006636
284,1.225105907,1.546583681
285,1.530609155,1.579460801
286,1.290297281,1.537170559
287,0.6966736021,1.321391103
288,0.2935970251,1.445227622
289,1.237390411,1.632389801
290,0.757977857,0.5570055394
291,1.249153649,1.62536311
292,1.200759166,1.642056355
293,1.438400868,1.501103317
294,1.136234046,1.505519793
295,1.538654869,1.539108173
296,1.072551606,1.605078388
297,1.092313934,1.522804215
298,0.3479587764,1.168658262
299,1.487961101,1.548930455
300,0.5876907992,0.9424943845
301,0.7370876106,1.252853776
302,1.277497282,1.577739353
303,1.505118479,0.5680537534
304,1.093015182,0.6278830739
305,1.264245996,1.383566465
306,1.23643409,1.4918419
307,0.3669275594,0.4937857266
308,1.14539576,0.5970515625
309,0.8201360022,0.7461209255
310,0.3711382868,0.4357824461
311,1.401870783,1.166939865
312,1.117332909,1.714439682
313,1.399634949,1.042189695
314,1.014367585,0.9338765099
315,1.293344948,1.746269099
316,1.404050417,1.441774566
317,1.208444723,1.391725125
318,1.694122355,1.414007939
319,1.14923591,1.619284703
320,1.580654665,1.443529947
321,1.581206799,1.503391854
322,1.138088372,1.527348672
323,1.578115113,1.558697091
324,1.221155389,1.623307448
325,1.223153082,0.612856442
326,0.9037736997,0.9660521468
327,1.495558505,1.727639671
328,1.574341021,1.187809484
329,1.041714219,1.644451224
330,1.008614207,1.055507949
331,1.270882572,1.507393264
332,0.9657521008,1.358541177
333,1.381581017,1.653809647
334,1.047819001,0.4164402043
335,1.592885198,1.506012469
336,1.540864977,1.602543217
337,0.6166519226,0.5218516706
338,1.273297126,1.633501571
339,1.306787373,1.709018363
340,1.039926624,0.8500128903
341,0.8174242233,0.9523820476
342,0.937984267,0.8878971341
343,0.4186586554,1.478859461
344,1.364599858,1.555869149
345,1.298663759,1.475479977
346,1.000978873,1.019721007
347,0.7914359265,0.9172161898
348,1.328736942,1.726562049
349,1.153513665,1.617769236
350,1.082809928,0.9299295575
351,0.8842155165,0.8260438608
352,0.4087737541,0.9307146681
353,1.01640034,0.3519975628
354,1.118325761,1.897293732
355,1.219456944,1.165960205
356,1.054120464,1.661995644
357,1.153356089,1.617353894
358,0.6625750903,1.217682086
359,1.17581097,1.573307481
360,1.170278746,1.713426277
361,1.407559225,1.564455425
362,1.264422155,1.411938272
363,0.6614317039,1.269316598
364,1.268317433,1.589837471
365,0.7771156704,1.133586399
366,0.9465524432,0.8894414142
367,1.283756831,1.538095088
368,0.6425316005,0.6476129908
369,0.5964860585,1.26926652
370,0.6309303339,1.228245926
371,1.177993356,1.747436229
372,1.459470853,1.471823291
373,0.8090236028,1.212474875
374,1.092813266,0.8746945017
375,1.176952743,1.57186037
376,0.6058413339,1.03079324
377,1.807871562,0.3632253626
378,0.432543837,0.4453685423
379,0.9138056234,1.184431757
380,1.105499726,0.5771477871
381,1.03659021,0.9440079739
382,1.678294117,0.9505931691
383,0.3487790786,1.292062144
384,1.303173247,1.754799996
385,0.5239007233,0.9346743541
386,0.6912243785,1.184508089
387,1.49147124,1.573490359
388,1.355800149,1.168966364
389,1.092294378,0.7739434084
390,0.4994180472,0.5363102382
391,1.195811853,0.3786197378
392,1.117644228,1.613963987
