"Respondent","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
2,1.180557773,-1.623453898,-1.559078333,-4.172999936,-1.362289483,-2.144234929,-2.750289013,-3.250326141
4,2.295204087,-2.49523928,-1.65237502,-3.441800631,-1.256464789,-2.187799788,-2.847704799,-3.673473199
5,2.189734329,-2.816829421,-0.9378621395,-4.189604392,-1.245223902,-2.103538388,-3.005927874,-3.629268704
6,1.840600707,-1.947426682,-1.486556911,-4.5186895,-1.203555422,-2.107269955,-2.747790828,-3.319332325
8,2.179825567,-2.145621123,-1.40014483,-4.482731647,-1.019048966,-2.097084112,-2.781992612,-3.434714273
10,2.381281469,-2.651675694,-0.7404474275,-4.656496133,-0.807954541,-1.724817835,-2.635494781,-3.316713956
11,2.860809556,-2.740608447,-1.588225445,-4.712404033,-1.118933936,-1.980466991,-2.683658076,-3.37437945
12,1.004487534,-1.461913273,-0.7814043317,-4.447522781,-1.004294659,-1.968987562,-2.584113128,-3.218587001
13,1.759262174,-1.990321257,-1.559266123,-4.57344003,-1.122019523,-1.915932752,-2.631604712,-3.300178457
16,2.303937729,-2.199159641,-1.462368008,-4.765401798,-1.10541673,-2.085344441,-2.761540056,-3.363747862
17,1.049458537,-2.091617,-0.242220801,-4.319451385,-0.9181027006,-1.841315391,-2.622792478,-3.402344824
18,0.7929804293,-0.8866199726,-1.383212968,-3.879482769,-0.9470689035,-2.089704431,-2.737758898,-3.307068056
21,2.430032645,-2.784452442,-1.069796444,-4.580315917,-1.056200466,-1.900740216,-2.748656464,-3.490601564
22,2.857251678,-3.0144663,-0.762316313,-4.642201113,-1.008398189,-1.748762266,-2.560732754,-3.353308202
25,2.29133325,-2.702824781,-0.9130893,-4.616667398,-1.057187523,-1.953545906,-2.837338772,-3.495801436
27,2.339261547,-2.391164589,-0.7788379871,-4.122417676,-0.9829360457,-1.966632236,-2.795399401,-3.57195533
33,1.012134099,-0.8508654252,-1.569737445,-3.902286981,-1.222558785,-2.144394048,-2.738798376,-3.303199546
36,1.969805098,-2.34470769,-0.9252067392,-4.757293518,-1.055394314,-2.035427218,-2.80921842,-3.371657497
